length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
125,SE125,rope_property,1.0,0.001851851851851852,0.001851851851851852,0.001851851851851852,0.18888888888888888,0.0020379050496307574,0.0020379050496307574,78.0,125,121,15625,14641,nearest_linear_probe,0.32098765432098764,0.32295823145397445,2000
125,SE125,spaced_kmer_phase,1.0,0.001851851851851852,0.001851851851851852,0.001851851851851852,0.18888888888888888,0.0020379050496307574,0.0020379050496307574,78.0,125,121,15625,14641,nearest_linear_probe,0.29012345679012347,0.28635936160208003,1904
125,SE125,cspaced_property_l2,1.0,0.001851851851851852,0.001851851851851852,0.001851851851851852,0.18888888888888888,0.0020379050496307574,0.0020379050496307574,78.0,125,121,15625,14641,nearest_linear_probe,0.38271604938271603,0.38280587464343535,147
125,SE125,oracle_motif_pair,1.0,0.001851851851851852,0.001851851851851852,0.001851851851851852,0.18888888888888888,0.0020379050496307574,0.0020379050496307574,78.0,125,121,15625,14641,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
150,SE150,kmer5_presence,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,150,146,22500,21316,nearest_linear_probe,0.9814814814814815,0.9815375837697139,1024
150,SE150,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,150,146,22500,21316,nearest_linear_probe,0.9814814814814815,0.9815375837697139,1024
150,SE150,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,150,146,22500,21316,nearest_linear_probe,0.9876543209876543,0.9876537917207843,512
150,SE150,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,150,146,22500,21316,nearest_linear_probe,1.0,1.0,750
150,SE150,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,150,146,22500,21316,nearest_linear_probe,1.0,1.0,2400
150,SE150,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,150,146,22500,21316,nearest_linear_probe,1.0,1.0,2304
150,SE150,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,150,146,22500,21316,nearest_linear_probe,0.7716049382716049,0.771600088219888,147
150,SE150,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,150,146,22500,21316,nearest_linear_probe,1.0,1.0,11
300,PE150,kmer5_presence,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,300,296,90000,87616,nearest_linear_probe,0.9814814814814815,0.9813574804400492,1024
300,PE150,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,300,296,90000,87616,nearest_linear_probe,0.9753086419753086,0.9752943419610087,1024
300,PE150,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,300,296,90000,87616,nearest_linear_probe,0.9135802469135802,0.9136934867850425,512
300,PE150,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,300,296,90000,87616,nearest_linear_probe,1.0,1.0,1500
300,PE150,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,300,296,90000,87616,nearest_linear_probe,1.0,1.0,4800
300,PE150,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,300,296,90000,87616,nearest_linear_probe,1.0,1.0,4704
300,PE150,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,300,296,90000,87616,nearest_linear_probe,0.5679012345679012,0.5667697761416605,147
300,PE150,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.92222222222222,300,296,90000,87616,nearest_linear_probe,1.0,1.0,11
