representation,representation_label,n_lengths,median_features,ms_per_10k_reads,microseconds_per_read,peak_python_allocation_mib,density
ck4,CK4,4,136.0,1457.9284998035291,145.7928499803529,2.450669288635254,0.43972426470588233
ck4_p,CK4+P,4,147.0,3099.10462499829,309.910462499829,2.450669288635254,0.4748469387755102
hash_k15_d222,"Hashed k=15, d=222",4,222.0,3314.452375125257,331.44523751252564,3.553476333618164,0.284634009009009
minhash_k15_s222,"MinHash k=15, s=222",4,222.0,3387.7037501952145,338.77037501952145,1.4728927612304688,1.0
ck4p_msp,CK4P-MSP,4,222.0,6579.0696248586755,657.9069624858676,2.800382614135742,0.5846396396396396
rp_ck15_d222,"CK15 random projection, d=222",4,222.0,8086.406374786748,808.6406374786748,12.571563720703125,0.32957207207207206
