length,n_reads,p_dim,msp_dim,p_rank,msp_rank,pc1_corr_abs,cca1_abs,cca_mean_abs,row_cosine_median_abs,row_cosine_p95_abs
69,400,11,75,8,25,0.9840920463572826,0.9999728128809694,0.7967908555978702,0.35706668536089214,0.7531637768455579
75,400,11,75,8,25,0.9819182366849687,0.9999771640327184,0.7853660177069297,0.3978598582937633,0.7570967601081934
100,400,11,75,8,25,0.9876508599239419,0.9999816982435863,0.8106268258205992,0.439158604635538,0.7773593580906041
150,400,11,75,8,25,0.991747986307703,0.9999822943121147,0.8349819897175943,0.48890346966814857,0.7837628201460132
