representation,representation_label,n_template_cells,n_features,spatial_effect_mean,chemistry_effect_mean,chemistry_readout_macro_f1,spatial_readout_macro_f1
ck4,CK4,3000,136.0,-0.0901082951275103,0.0007384782594365456,0.5032051482248864,0.9158234341277337
ck4_msp,CK4+MSP,3000,211.0,-0.06357508798630437,0.0007203690112194371,0.680361013896388,0.9766381475732456
ck4_p,CK4+P,3000,147.0,-0.06369452296422778,0.0005516633307623621,0.6184782065771899,0.9122478702109437
ck4p_msp,CK4P-MSP,3000,222.0,-0.05189467375807955,0.0006094432970632146,0.7103471763512247,0.9769708375069738
msp,MSP,3000,75.0,-0.0009456782128828946,0.003930543616469786,0.7273164731756657,0.9621473622638047
p,P,3000,11.0,-7.715812750761629e-05,0.0011998245352625718,0.6649154845043362,0.496199427211746
p_msp,P+MSP,3000,86.0,-0.0007388870402272537,0.0029477657953267612,0.7579075044865594,0.9643511166293898
