sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L150_right_00223,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.013810225238736228,86
L150_right_00224,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.011408859219784385,86
L150_right_00225,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.012338190536835747,86
L150_right_00226,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.01180086489502778,86
L150_right_00227,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.012000143704171594,86
L150_right_00228,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.011613503081951323,86
L150_right_00229,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.01237817097363112,86
L150_right_00230,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.013181312680890433,86
L150_right_00231,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.015774234121243992,86
L150_right_00232,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.017431140847555985,86
L150_right_00233,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.008904526082138972,86
L150_right_00234,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.00923170186347573,86
L150_right_00235,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.011528301028925764,86
L150_right_00236,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.00908618078994613,86
L150_right_00237,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.013830799868019215,86
L150_right_00238,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.016453807962537474,86
L150_right_00239,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.013595483261579321,86
L150_right_00240,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.009753364837687083,86
L150_right_00241,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.013081165232622819,86
L150_right_00242,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.013852554985888195,86
L150_right_00243,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.012723491015886346,86
L150_right_00244,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.014120312644563378,86
L150_right_00245,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.0170902443990178,86
L150_right_00246,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.012999031817806981,86
L150_right_00247,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.015507440569605882,86
L150_right_00248,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.014317102565134932,86
L150_right_00249,150,right,p_msp,P+MSP,dispersed_property,dispersed,property,0.014249744437310146,86
L150_right_00000,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.021342315665421413,86
L150_right_00001,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013135223019636093,86
L150_right_00002,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008280901007289959,86
L150_right_00003,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011356038078812327,86
L150_right_00004,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.009100548845030126,86
L150_right_00005,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012794500585954776,86
