contrast,target,paired_unit,n_cells,full_mean,comparator_mean,mean_macro_f1_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,wilcoxon_two_sided_p,bh_q
K | P+MSP,spatial_pattern,length+local_mode,12,0.9769708375069738,0.9643511166293898,0.01261972087758407,0.0012676397363635156,0.025245055419490993,0.12939453125,0.1552734375
K | P+MSP,chemistry,length+local_mode,12,0.7103471763512247,0.7579075044865594,-0.0475603281353347,-0.05759106859412121,-0.036878338109013364,0.00048828125,0.0009765625
P | CK4+MSP,spatial_pattern,length+local_mode,12,0.9769708375069738,0.9766381475732456,0.00033268993372821226,-0.0011763702323229698,0.001836045602975992,0.51953125,0.51953125
P | CK4+MSP,chemistry,length+local_mode,12,0.7103471763512247,0.6803610138963881,0.02998616245483664,0.012553654610019354,0.048343447448916416,0.02099609375,0.031494140625
MSP | CK4+P,spatial_pattern,length+local_mode,12,0.9769708375069738,0.9122478702109437,0.0647229672960302,0.03443403724566149,0.09805468850708245,0.00048828125,0.0009765625
MSP | CK4+P,chemistry,length+local_mode,12,0.7103471763512247,0.6184782065771898,0.0918689697740348,0.05850826255097484,0.12962876400391068,0.00048828125,0.0009765625
