feature_set,n_cells,mean_knn_mi_bits,median_knn_mi_bits,mean_perm_p,mean_subsample_ci_low,mean_subsample_ci_high
dK_dP_dM,12,0.889199813774909,0.927228115124086,0.009900990099009901,0.8676115305399952,0.9083458063120253
dK_dM,12,0.8625469374132919,0.8995108339618128,0.009900990099009901,0.8404401495332515,0.8861451198068643
dK_dP,12,0.8325855462530146,0.899302400659061,0.009900990099009901,0.807828974857567,0.8612739060266336
dK,12,0.7516441399987576,0.8252093398945187,0.009900990099009901,0.726087627852166,0.7905028260153523
dP_dM,12,0.718691666602096,0.7116231370512862,0.009900990099009901,0.6757826768605503,0.7438308841774796
dM,12,0.46284734727182236,0.4512769638845967,0.009900990099009901,0.4254822905856656,0.5067303369510007
dP,12,0.4233966629671851,0.4303472354860257,0.009900990099009901,0.388489929437761,0.4642447125377845
increment_dP_dM_given_dK,12,0.13755567377615144,0.09191751334751802,,,
