representation,representation_label,candidate_weight,n_features,wgs_l2,wgs_retrieval,local_macro_f1,motif_macro_f1,art_l2,cami_mean_retention,runtime_seconds,reverse_complement_l2
ck4p_msp,CK4P-MSP,0.0,222,0.1289274533960475,0.9999166666666668,0.8882007720066482,0.6322556705654582,0.1571938469255467,0.9910278595890324,0.7944566999794915,0.0776676339930175
ck4p_msp_pkm_w025,CK4P-MSP-PKM,0.25,297,0.1379478253903335,0.9999166666666668,0.9282803916805178,0.710275154004627,0.1651282056654492,0.992832211585438,1.4351564000244252,0.2511404995301562
