length,fold,representation,representation_label,n_features,macro_f1,accuracy
75,3,pkm_weight_w010,PKM weight=0.1,297,0.691812865497076,0.7037037037037037
75,4,pkm_weight_w010,PKM weight=0.1,297,0.5884671420903306,0.6111111111111112
75,5,pkm_weight_w010,PKM weight=0.1,297,0.4838570628044312,0.48148148148148145
75,1,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7602931511042685,0.7619047619047619
75,2,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.6756843800322061,0.7037037037037037
75,3,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7977262977262978,0.7962962962962963
75,4,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7171071520316726,0.7407407407407407
75,5,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.5544973544973545,0.5555555555555556
75,1,pkm_weight_w050,PKM weight=0.5,297,0.7453806356245379,0.746031746031746
75,2,pkm_weight_w050,PKM weight=0.5,297,0.6992485669310048,0.7222222222222222
75,3,pkm_weight_w050,PKM weight=0.5,297,0.7774337805297558,0.7777777777777778
75,4,pkm_weight_w050,PKM weight=0.5,297,0.7912698412698412,0.7962962962962963
75,5,pkm_weight_w050,PKM weight=0.5,297,0.665204678362573,0.6666666666666666
75,1,pkm_weight_w075,PKM weight=0.75,297,0.7946951894768116,0.7936507936507936
75,2,pkm_weight_w075,PKM weight=0.75,297,0.7099567099567099,0.7222222222222222
75,3,pkm_weight_w075,PKM weight=0.75,297,0.7977642714484819,0.7962962962962963
75,4,pkm_weight_w075,PKM weight=0.75,297,0.7398342398342398,0.7407407407407407
75,5,pkm_weight_w075,PKM weight=0.75,297,0.7587719298245613,0.7592592592592593
75,1,pkm_weight_w100,PKM weight=1,297,0.7950823362054219,0.7936507936507936
75,2,pkm_weight_w100,PKM weight=1,297,0.7311856006260596,0.7407407407407407
75,3,pkm_weight_w100,PKM weight=1,297,0.8155601421855292,0.8148148148148148
75,4,pkm_weight_w100,PKM weight=1,297,0.7595442332284437,0.7592592592592593
75,5,pkm_weight_w100,PKM weight=1,297,0.7587719298245613,0.7592592592592593
75,1,cpkm_weight_w010,CPKM weight=0.1,297,0.6746634026927785,0.6825396825396826
75,2,cpkm_weight_w010,CPKM weight=0.1,297,0.6068376068376068,0.6666666666666666
75,3,cpkm_weight_w010,CPKM weight=0.1,297,0.6854636591478697,0.7037037037037037
75,4,cpkm_weight_w010,CPKM weight=0.1,297,0.5606961476526694,0.5925925925925926
75,5,cpkm_weight_w010,CPKM weight=0.1,297,0.4838570628044312,0.48148148148148145
75,1,cpkm_weight_w025,CPKM weight=0.25,297,0.7371264085116461,0.746031746031746
75,2,cpkm_weight_w025,CPKM weight=0.25,297,0.7573023860253563,0.7777777777777778
75,3,cpkm_weight_w025,CPKM weight=0.25,297,0.7692018942018942,0.7777777777777778
