probe,genus,length,condition,method,parameter,k,pattern,canonical,add_property,n_samples,n_classes,accuracy,macro_f1,n_features,observed_vocab_size
within_genus_species,Burkholderia,69,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,160,3,0.375,0.3655885235676735,147,147
within_genus_species,Burkholderia,69,clean,canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,160,3,0.25,0.24385336100106894,136,136
within_genus_species,Burkholderia,69,clean,canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,160,3,0.2708333333333333,0.26555818491302363,147,147
within_genus_species,Burkholderia,69,clean,canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,160,3,0.3541666666666667,0.34021725401035746,136,136
within_genus_species,Burkholderia,69,clean,canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,160,3,0.3541666666666667,0.33903133903133903,147,147
target_background,Burkholderia,69,clean,k-mer,k=4,4,,False,False,160,2,0.6041666666666666,0.5822262940907008,255,255
target_background,Burkholderia,69,clean,k-mer,k=5,5,,False,False,160,2,0.5416666666666666,0.484375,903,903
target_background,Burkholderia,69,clean,k-mer,k=6,6,,False,False,160,2,0.6041666666666666,0.547394540942928,2314,2314
target_background,Burkholderia,69,clean,k-mer,k=7,7,,False,False,160,2,0.6458333333333334,0.540281690140845,4088,4088
target_background,Burkholderia,69,clean,k-mer,k=8,8,,False,False,160,2,0.5833333333333334,0.4103194103194103,5494,5494
target_background,Burkholderia,69,clean,k-mer,k=9,9,,False,False,160,2,0.625,0.43157894736842106,6202,6202
target_background,Burkholderia,69,clean,canonical k-mer,k=4,4,,True,False,160,2,0.5833333333333334,0.5445920303605313,136,136
target_background,Burkholderia,69,clean,canonical k-mer,k=5,5,,True,False,160,2,0.5625,0.5278688524590164,482,482
target_background,Burkholderia,69,clean,canonical k-mer,k=6,6,,True,False,160,2,0.5208333333333334,0.482903981264637,1477,1477
target_background,Burkholderia,69,clean,canonical k-mer,k=7,7,,True,False,160,2,0.5416666666666666,0.4197802197802198,3065,3065
target_background,Burkholderia,69,clean,canonical k-mer,k=8,8,,True,False,160,2,0.5625,0.399642644431209,4688,4688
target_background,Burkholderia,69,clean,canonical k-mer,k=9,9,,True,False,160,2,0.625,0.43157894736842106,5742,5742
target_background,Burkholderia,69,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,160,2,0.5833333333333334,0.5445920303605313,136,136
target_background,Burkholderia,69,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,160,2,0.5625,0.5278688524590164,147,147
target_background,Burkholderia,69,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,160,2,0.625,0.5901328273244781,136,136
target_background,Burkholderia,69,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,160,2,0.5833333333333334,0.5445920303605313,147,147
target_background,Burkholderia,69,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,160,2,0.5625,0.45893719806763283,136,136
target_background,Burkholderia,69,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,160,2,0.5625,0.45893719806763283,147,147
target_background,Burkholderia,69,clean,canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,160,2,0.5833333333333334,0.5555555555555556,136,136
target_background,Burkholderia,69,clean,canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,160,2,0.5416666666666666,0.5208711433756805,147,147
target_background,Burkholderia,69,clean,canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,160,2,0.5416666666666666,0.4990512333965844,136,136
target_background,Burkholderia,69,clean,canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,160,2,0.5625,0.5278688524590164,147,147
within_genus_species,Candida,69,clean,k-mer,k=4,4,,False,False,160,4,0.3541666666666667,0.35722610722610726,255,255
within_genus_species,Candida,69,clean,k-mer,k=5,5,,False,False,160,4,0.3333333333333333,0.3339130434782609,968,968
within_genus_species,Candida,69,clean,k-mer,k=6,6,,False,False,160,4,0.25,0.237907824933687,2744,2744
within_genus_species,Candida,69,clean,k-mer,k=7,7,,False,False,160,4,0.25,0.2332512315270936,4882,4882
within_genus_species,Candida,69,clean,k-mer,k=8,8,,False,False,160,4,0.22916666666666666,0.23435897435897435,6205,6205
within_genus_species,Candida,69,clean,k-mer,k=9,9,,False,False,160,4,0.20833333333333334,0.22498885918003567,6632,6632
within_genus_species,Candida,69,clean,canonical k-mer,k=4,4,,True,False,160,4,0.375,0.367850827333586,135,135
within_genus_species,Candida,69,clean,canonical k-mer,k=5,5,,True,False,160,4,0.3333333333333333,0.32116977225672877,500,500
within_genus_species,Candida,69,clean,canonical k-mer,k=6,6,,True,False,160,4,0.3333333333333333,0.31946964184655186,1695,1695
within_genus_species,Candida,69,clean,canonical k-mer,k=7,7,,True,False,160,4,0.3125,0.2983918128654971,3766,3766
within_genus_species,Candida,69,clean,canonical k-mer,k=8,8,,True,False,160,4,0.2708333333333333,0.2783382945654751,5617,5617
within_genus_species,Candida,69,clean,canonical k-mer,k=9,9,,True,False,160,4,0.2916666666666667,0.30451612903225805,6420,6420
within_genus_species,Candida,69,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,160,4,0.375,0.367850827333586,135,135
within_genus_species,Candida,69,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,160,4,0.375,0.36777520724889146,146,146
within_genus_species,Candida,69,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,160,4,0.3125,0.297008547008547,136,136
within_genus_species,Candida,69,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,160,4,0.2708333333333333,0.25648656898656896,147,147
within_genus_species,Candida,69,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,160,4,0.3333333333333333,0.3344988344988345,136,136
