split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.9916666666666667,0.9916660879227724,50,right,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9916666666666668,0.991665058846228,50,right,ck4_p_msp,CK4P-MSP,180,222,0.006804138174397693,0.0068054509542886
holdout,logistic,0.8833333333333333,0.8832035595105673,51,center,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9416666666666668,0.9415404121912273,51,center,ck4,CK4,180,136,0.016197088596792523,0.01627089121980104
holdout,logistic,0.5583333333333333,0.5575652173913044,51,center,p,P,180,11,,
5fold_grouped_cv,logistic,0.5888888888888889,0.5864701583927449,51,center,p,P,180,11,0.06724288020505671,0.06866387124301446
holdout,logistic,0.9583333333333334,0.9582608695652174,51,center,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9805555555555555,0.9805453677265369,51,center,msp,MSP,180,75,0.0068041381743977475,0.006813333716011712
holdout,logistic,0.9,0.8995535714285714,51,center,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9444444444444444,0.9443110877770773,51,center,ck4_p,CK4+P,180,147,0.008784104611578835,0.008867922304136806
holdout,logistic,0.9833333333333333,0.9833287024173382,51,center,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9805555555555555,0.9805357009173499,51,center,ck4_msp,CK4+MSP,180,211,0.01416394309331329,0.014188789501230384
holdout,logistic,0.9666666666666667,0.9666295884315907,51,center,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9777777777777779,0.9777638358846155,51,center,p_msp,P+MSP,180,86,0.0068041381743977475,0.006813333716011712
holdout,logistic,0.9833333333333333,0.9833287024173382,51,center,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,51,center,ck4_p_msp,CK4P-MSP,180,222,0.010393492741038736,0.010402379395098641
holdout,logistic,0.9083333333333333,0.9080203470141454,51,jittered,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9194444444444445,0.9193127379764153,51,jittered,ck4,CK4,180,136,0.013608276348795441,0.01357790595602763
holdout,logistic,0.6083333333333333,0.6069960281513483,51,jittered,p,P,180,11,,
5fold_grouped_cv,logistic,0.6027777777777777,0.600775252012153,51,jittered,p,P,180,11,0.04444444444444443,0.04257620967647246
holdout,logistic,0.9,0.899972214504029,51,jittered,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.8861111111111111,0.8851623132600853,51,jittered,msp,MSP,180,75,0.030932024237944538,0.03199021710425622
