retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,high_k,target_dim
1.0,0.973338448119889,0.8906771579674363,0.14247538767270804,0.4675956343847766,0.38261318110092474,1.0,50,substitution_1pct,ck4,CK4,420,136,,
1.0,0.9866587351761466,0.9453073830891262,0.10078769914743374,0.33073437510251036,0.19208040564748982,1.0,50,substitution_1pct,ck4_p,CK4+P,420,147,,
1.0,0.9910670027176404,0.9634151328232425,0.08248918452498248,0.270499012592174,0.13063462776239002,1.0,50,substitution_1pct,ck4p_msp,CK4P-MSP,420,222,,
0.9880952380952381,0.8577939465495484,0.4417625015174928,0.32374756625298323,1.0566335466124976,0.6513487567807599,0.9880952380952381,50,substitution_1pct,hash_k15_d222,"Hashed k=15, d=222",420,222,15.0,222.0
0.9928571428571429,0.9150529571854024,0.6600369063584959,0.24423015084831692,0.8245762239413568,0.7166090608597968,0.9928571428571429,50,substitution_1pct,rp_ck15_d222,"CK15 random projection, d=222",420,222,15.0,222.0
1.0,0.9452561168050533,0.9216688399728227,0.3267011130648127,0.3958058904229795,0.3633903317522691,1.0,50,N_3pct,ck4,CK4,420,136,,
1.0,0.970876305320347,0.959032948723382,0.23872438100877735,0.28624133531005824,0.18262534186462256,1.0,50,N_3pct,ck4_p,CK4+P,420,147,,
1.0,0.9799209565506596,0.9722445032184377,0.19843117644954603,0.23560769419947586,0.12436175095767431,1.0,50,N_3pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.693127338051211,0.4997716847153432,0.7655771018054196,1.0002277963727824,0.47946244287830436,1.0,50,N_3pct,hash_k15_d222,"Hashed k=15, d=222",420,222,15.0,222.0
1.0,0.6887977751894179,0.4446068375634719,0.7680288749225964,1.0539383175057593,0.48747686457696104,1.0,50,N_3pct,rp_ck15_d222,"CK15 random projection, d=222",420,222,15.0,222.0
1.0,0.9634474401953952,0.9516619028617732,0.2684068559841499,0.3109279567302595,0.3761590050457518,1.0,50,trim_5bp,ck4,CK4,420,136,,
1.0,0.9816670376954219,0.9757752435074589,0.19009850151306076,0.22011250017957296,0.18876916876529526,1.0,50,trim_5bp,ck4_p,CK4+P,420,147,,
1.0,0.9870201461706236,0.9829700970376272,0.16008658360066266,0.1845529527994083,0.12782373437237346,1.0,50,trim_5bp,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9271677271932511,0.9128709291752771,0.3808999772552548,0.41744238123296284,0.7205621326766461,1.0,50,trim_5bp,hash_k15_d222,"Hashed k=15, d=222",420,222,15.0,222.0
