split,classifier,accuracy,macro_f1,n_features,task,group_col,group,label_col,length,condition,representation,n_samples,n_classes
holdout,nearest_centroid,0.28125,0.2638868590914626,136,all_labels,genus,Candida,label,69,N_3pct,cspaced_count_l2,320,4
holdout,nearest_centroid,0.2916666666666667,0.2766939890710382,147,all_labels,genus,Candida,label,69,N_3pct,cspaced_property_l2,320,4
holdout,nearest_centroid,0.3229166666666667,0.3155140266124248,1008,all_labels,genus,Candida,label,69,N_3pct,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.3020833333333333,0.2888212977498692,1104,all_labels,genus,Candida,label,69,N_3pct,rope_property,320,4
holdout,nearest_centroid,0.2,0.2002945118843097,510,all_labels,genus,Enterobacter,label,69,N_3pct,ckmer5_count_l2,400,5
holdout,nearest_centroid,0.1833333333333333,0.1815684983918531,136,all_labels,genus,Enterobacter,label,69,N_3pct,cspaced_count_l2,400,5
holdout,nearest_centroid,0.1666666666666666,0.1630955934170708,147,all_labels,genus,Enterobacter,label,69,N_3pct,cspaced_property_l2,400,5
holdout,nearest_centroid,0.225,0.2219371512894781,1008,all_labels,genus,Enterobacter,label,69,N_3pct,spaced_kmer_phase,400,5
holdout,nearest_centroid,0.1916666666666666,0.191405766413214,1104,all_labels,genus,Enterobacter,label,69,N_3pct,rope_property,400,5
holdout,nearest_centroid,0.4583333333333333,0.4583333333333333,510,all_labels,genus,Escherichia,label,69,N_3pct,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.6458333333333334,0.6444444444444444,136,all_labels,genus,Escherichia,label,69,N_3pct,cspaced_count_l2,160,2
holdout,nearest_centroid,0.6458333333333334,0.6444444444444444,147,all_labels,genus,Escherichia,label,69,N_3pct,cspaced_property_l2,160,2
holdout,nearest_centroid,0.3958333333333333,0.3934640522875817,1008,all_labels,genus,Escherichia,label,69,N_3pct,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4375,0.4352941176470588,1104,all_labels,genus,Escherichia,label,69,N_3pct,rope_property,160,2
holdout,nearest_centroid,0.3333333333333333,0.3327659574468085,510,all_labels,genus,Klebsiella,label,69,N_3pct,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.3472222222222222,0.3473187147199305,136,all_labels,genus,Klebsiella,label,69,N_3pct,cspaced_count_l2,240,3
holdout,nearest_centroid,0.3611111111111111,0.3615031118830511,147,all_labels,genus,Klebsiella,label,69,N_3pct,cspaced_property_l2,240,3
holdout,nearest_centroid,0.375,0.3777863299552232,1008,all_labels,genus,Klebsiella,label,69,N_3pct,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.4722222222222222,0.4680175100343167,1104,all_labels,genus,Klebsiella,label,69,N_3pct,rope_property,240,3
holdout,nearest_centroid,0.21875,0.2083660753473583,512,all_labels,genus,Acinetobacter,label,75,clean,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.21875,0.2151515151515151,136,all_labels,genus,Acinetobacter,label,75,clean,cspaced_count_l2,320,4
holdout,nearest_centroid,0.21875,0.2147518309215228,147,all_labels,genus,Acinetobacter,label,75,clean,cspaced_property_l2,320,4
holdout,nearest_centroid,0.3229166666666667,0.3108407954719954,1104,all_labels,genus,Acinetobacter,label,75,clean,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.1770833333333333,0.1710235194277747,1200,all_labels,genus,Acinetobacter,label,75,clean,rope_property,320,4
holdout,nearest_centroid,0.3472222222222222,0.3382948021245893,501,all_labels,genus,Burkholderia,label,75,clean,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.2638888888888889,0.249959683921948,136,all_labels,genus,Burkholderia,label,75,clean,cspaced_count_l2,240,3
holdout,nearest_centroid,0.2777777777777778,0.2615834457939721,147,all_labels,genus,Burkholderia,label,75,clean,cspaced_property_l2,240,3
holdout,nearest_centroid,0.4166666666666667,0.4178080120937264,1104,all_labels,genus,Burkholderia,label,75,clean,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3611111111111111,0.3612486622771217,1200,all_labels,genus,Burkholderia,label,75,clean,rope_property,240,3
holdout,nearest_centroid,0.3229166666666667,0.3024089927013659,512,all_labels,genus,Candida,label,75,clean,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.3854166666666667,0.377716295342808,136,all_labels,genus,Candida,label,75,clean,cspaced_count_l2,320,4
holdout,nearest_centroid,0.375,0.3624338624338624,147,all_labels,genus,Candida,label,75,clean,cspaced_property_l2,320,4
holdout,nearest_centroid,0.2916666666666667,0.2925880279593708,1104,all_labels,genus,Candida,label,75,clean,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.28125,0.2701591802974291,1200,all_labels,genus,Candida,label,75,clean,rope_property,320,4
holdout,nearest_centroid,0.175,0.167131396326058,511,all_labels,genus,Enterobacter,label,75,clean,ckmer5_count_l2,400,5
holdout,nearest_centroid,0.2166666666666666,0.2146378251112827,136,all_labels,genus,Enterobacter,label,75,clean,cspaced_count_l2,400,5
holdout,nearest_centroid,0.2,0.1967658628616405,147,all_labels,genus,Enterobacter,label,75,clean,cspaced_property_l2,400,5
holdout,nearest_centroid,0.225,0.2210569063167859,1104,all_labels,genus,Enterobacter,label,75,clean,spaced_kmer_phase,400,5
holdout,nearest_centroid,0.2166666666666666,0.2176515603259789,1200,all_labels,genus,Enterobacter,label,75,clean,rope_property,400,5
holdout,nearest_centroid,0.4583333333333333,0.4497354497354497,507,all_labels,genus,Escherichia,label,75,clean,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.4583333333333333,0.4337568058076225,136,all_labels,genus,Escherichia,label,75,clean,cspaced_count_l2,160,2
holdout,nearest_centroid,0.4166666666666667,0.3901996370235935,147,all_labels,genus,Escherichia,label,75,clean,cspaced_property_l2,160,2
holdout,nearest_centroid,0.4375,0.4352941176470588,1104,all_labels,genus,Escherichia,label,75,clean,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.5625,0.5529933481152993,1200,all_labels,genus,Escherichia,label,75,clean,rope_property,160,2
holdout,nearest_centroid,0.4583333333333333,0.4600702062308029,510,all_labels,genus,Klebsiella,label,75,clean,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.3333333333333333,0.3336247086247086,136,all_labels,genus,Klebsiella,label,75,clean,cspaced_count_l2,240,3
holdout,nearest_centroid,0.3333333333333333,0.333540213938885,147,all_labels,genus,Klebsiella,label,75,clean,cspaced_property_l2,240,3
holdout,nearest_centroid,0.3611111111111111,0.3443175387148222,1104,all_labels,genus,Klebsiella,label,75,clean,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3611111111111111,0.3571489201741302,1200,all_labels,genus,Klebsiella,label,75,clean,rope_property,240,3
holdout,nearest_centroid,0.2604166666666667,0.2630661198103704,512,all_labels,genus,Acinetobacter,label,75,N_3pct,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.2083333333333333,0.2050405268490374,136,all_labels,genus,Acinetobacter,label,75,N_3pct,cspaced_count_l2,320,4
