split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std
holdout,nearest_centroid,0.7857142857142857,0.7849523538614707,69,jittered,base_property,500,690,,
holdout,logistic,0.8511904761904762,0.8496509754787901,69,jittered,base_property,500,690,,
5fold_grouped_cv,nearest_centroid,0.792,0.791591421399184,69,jittered,base_property,500,690,0.03815756805667782,0.038126508124545905
5fold_grouped_cv,logistic,0.898,0.8970552656789904,69,jittered,base_property,500,690,0.02039607805437116,0.020977421961740444
holdout,nearest_centroid,0.6309523809523809,0.6307430516165626,69,jittered,kmer_property,500,1040,,
holdout,logistic,0.8154761904761905,0.8154173312068049,69,jittered,kmer_property,500,1040,,
5fold_grouped_cv,nearest_centroid,0.732,0.7297457098906573,69,jittered,kmer_property,500,1040,0.0401995024844836,0.039684873411510155
5fold_grouped_cv,logistic,0.844,0.843767459458358,69,jittered,kmer_property,500,1040,0.0349857113690718,0.03499365930823047
holdout,nearest_centroid,0.7142857142857143,0.7136363636363636,69,left,ckmer4_count_l2,500,136,,
holdout,logistic,0.75,0.7498581962563812,69,left,ckmer4_count_l2,500,136,,
5fold_grouped_cv,nearest_centroid,0.7419999999999999,0.7402525851911628,69,left,ckmer4_count_l2,500,136,0.016000000000000014,0.017017268948896363
5fold_grouped_cv,logistic,0.772,0.7711475392004168,69,left,ckmer4_count_l2,500,136,0.04578209256903839,0.04596741296189939
holdout,nearest_centroid,0.7023809523809523,0.7020008514261388,69,left,ckmer4_property_l2,500,147,,
holdout,logistic,0.7738095238095238,0.7735206470838655,69,left,ckmer4_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.74,0.7379990551164883,69,left,ckmer4_property_l2,500,147,0.017888543819998333,0.018722060114571726
5fold_grouped_cv,logistic,0.77,0.7691672646511135,69,left,ckmer4_property_l2,500,147,0.02097617696340305,0.02109751443674456
holdout,nearest_centroid,0.75,0.7491110795050491,69,left,ck4p_msp,500,222,,
holdout,logistic,0.9880952380952381,0.9880935506732813,69,left,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.766,0.7642976189567331,69,left,ck4p_msp,500,222,0.022449944320643667,0.023918791645534995
5fold_grouped_cv,logistic,0.984,0.9839911938351078,69,left,ck4p_msp,500,222,0.01019803902718558,0.010206597892610593
holdout,nearest_centroid,0.47619047619047616,0.475,69,left,cspaced_property_l2,500,147,,
holdout,logistic,0.5357142857142857,0.5340634333665197,69,left,cspaced_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.526,0.5258276967828543,69,left,cspaced_property_l2,500,147,0.04029888335921977,0.040216736681221395
5fold_grouped_cv,logistic,0.5479999999999999,0.547271709767262,69,left,cspaced_property_l2,500,147,0.031874754901018446,0.03218991307160411
holdout,nearest_centroid,1.0,1.0,69,left,property_channels,500,345,,
holdout,logistic,0.9880952380952381,0.9880935506732813,69,left,property_channels,500,345,,
5fold_grouped_cv,nearest_centroid,0.998,0.9979997999799981,69,left,property_channels,500,345,0.0040000000000000036,0.004000400040003971
5fold_grouped_cv,logistic,0.998,0.9979997999799981,69,left,property_channels,500,345,0.0040000000000000036,0.004000400040003971
holdout,nearest_centroid,0.9940476190476191,0.9940474081422952,69,left,one_hot,500,345,,
holdout,logistic,0.9940476190476191,0.9940474081422952,69,left,one_hot,500,345,,
5fold_grouped_cv,nearest_centroid,0.992,0.99199439511562,69,left,one_hot,500,345,0.011661903789690611,0.011672134721666921
5fold_grouped_cv,logistic,0.986,0.9859853788269213,69,left,one_hot,500,345,0.014966629547095779,0.014989492828279839
holdout,nearest_centroid,1.0,1.0,69,left,base_property,500,690,,
holdout,logistic,0.9880952380952381,0.9880935506732813,69,left,base_property,500,690,,
5fold_grouped_cv,nearest_centroid,0.9960000000000001,0.9959983993597439,69,left,base_property,500,690,0.008000000000000007,0.00800320128051224
5fold_grouped_cv,logistic,0.998,0.9979997999799981,69,left,base_property,500,690,0.0040000000000000036,0.004000400040003971
holdout,nearest_centroid,0.8571428571428571,0.8561438561438561,69,left,kmer_property,500,1040,,
holdout,logistic,0.9940476190476191,0.9940474081422952,69,left,kmer_property,500,1040,,
5fold_grouped_cv,nearest_centroid,0.8300000000000001,0.8268313938898384,69,left,kmer_property,500,1040,0.046475800154488996,0.04828383655381958
5fold_grouped_cv,logistic,0.9940000000000001,0.9939981993397419,69,left,kmer_property,500,1040,0.008000000000000007,0.008002901214878018
holdout,nearest_centroid,0.7023809523809523,0.6989247311827957,69,right,ckmer4_count_l2,500,136,,
holdout,logistic,0.75,0.7498581962563812,69,right,ckmer4_count_l2,500,136,,
5fold_grouped_cv,nearest_centroid,0.746,0.7446535150595182,69,right,ckmer4_count_l2,500,136,0.03136877428271627,0.031973572875577734
5fold_grouped_cv,logistic,0.75,0.7497843183730689,69,right,ckmer4_count_l2,500,136,0.02966479394838268,0.0296155723010466
holdout,nearest_centroid,0.6785714285714286,0.6729632299927901,69,right,ckmer4_property_l2,500,147,,
holdout,logistic,0.7976190476190477,0.7975042541123085,69,right,ckmer4_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.736,0.7348532559824641,69,right,ckmer4_property_l2,500,147,0.026532998322843223,0.026860018255873534
5fold_grouped_cv,logistic,0.7600000000000001,0.7596567358484627,69,right,ckmer4_property_l2,500,147,0.02097617696340305,0.021066864124272236
holdout,nearest_centroid,0.7559523809523809,0.7534275997852157,69,right,ck4p_msp,500,222,,
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.77,0.7687081258375056,69,right,ck4p_msp,500,222,0.02756809750418043,0.028127813402582278
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,ck4p_msp,500,222,0.011661903789690611,0.011673165031177182
holdout,nearest_centroid,0.5952380952380952,0.595008508224617,69,right,cspaced_property_l2,500,147,,
holdout,logistic,0.6607142857142857,0.6606060606060606,69,right,cspaced_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.614,0.613783126911815,69,right,cspaced_property_l2,500,147,0.016248076809271934,0.01645371280558885
5fold_grouped_cv,logistic,0.656,0.6555155406393013,69,right,cspaced_property_l2,500,147,0.018547236990991384,0.0186041611271648
holdout,nearest_centroid,1.0,1.0,69,right,property_channels,500,345,,
holdout,logistic,0.9940476190476191,0.9940474081422952,69,right,property_channels,500,345,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,69,right,property_channels,500,345,0.0,0.0
5fold_grouped_cv,logistic,0.9960000000000001,0.9959983993597439,69,right,property_channels,500,345,0.008000000000000007,0.00800320128051224
holdout,nearest_centroid,0.9940476190476191,0.9940474081422952,69,right,one_hot,500,345,,
holdout,logistic,0.9880952380952381,0.9880935506732813,69,right,one_hot,500,345,,
