sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features,density,avg_nnz_per_read
L150_center_00059,150,center,kmer_property,0.9910684113926733,0.9979937967629169,0.1336531975474381,0.06334355905826423,-0.07030963848917386,0.4739397202658128,2336,1.0,2336.0
L150_center_00060,150,center,kmer_property,0.9883021894053238,0.9793741928568923,0.1529562721478065,0.2031049341749649,0.0501486620271584,1.3278627369964806,2336,1.0,2336.0
L150_center_00061,150,center,kmer_property,0.9849895672763463,0.9914726042851612,0.17326530364532178,0.13059399461566343,-0.04267130902965835,0.753722712326713,2336,1.0,2336.0
L150_center_00062,150,center,kmer_property,0.9858323333310939,0.9951654369586429,0.16833102309975648,0.09833171453154395,-0.06999930856821253,0.5841568162588219,2336,1.0,2336.0
L150_center_00063,150,center,kmer_property,0.9877149042959328,0.9715421816450693,0.1567488162894161,0.23856998283493377,0.08182116654551769,1.5219890553715294,2336,1.0,2336.0
L150_center_00064,150,center,kmer_property,0.9904814404428102,0.9889103957437089,0.13797506700263149,0.1489268562502507,0.01095178924761922,1.0793751326637178,2336,1.0,2336.0
L150_center_00065,150,center,kmer_property,0.9872526745523225,0.979134690581227,0.15967044465196767,0.20428073535590266,0.04461029070393499,1.2793897818796187,2336,1.0,2336.0
L150_center_00066,150,center,kmer_property,0.9882773211211007,0.9857020510026209,0.15311877010281114,0.16910321698524122,0.015984446882430087,1.104392471750507,2336,1.0,2336.0
L150_center_00067,150,center,kmer_property,0.987541425307426,0.9828267263529589,0.15785166893367378,0.18532821505124442,0.027476546117570638,1.174065604140782,2336,1.0,2336.0
L150_center_00068,150,center,kmer_property,0.9852267046986445,0.9922550358567773,0.1718912173518782,0.12445854043192307,-0.04743267691995513,0.7240540985706339,2336,1.0,2336.0
L150_center_00069,150,center,kmer_property,0.9847209349609891,0.9849912646780887,0.17480883867248465,0.17325550682106464,-0.001553331851420009,0.9911141114876332,2336,1.0,2336.0
L150_center_00070,150,center,kmer_property,0.9874768146096988,0.9958833489637509,0.1582604523581371,0.0907375449992916,-0.0675229073588455,0.5733431419364083,2336,1.0,2336.0
L150_center_00071,150,center,kmer_property,0.9868276398260563,0.9899380590202955,0.1623105675792149,0.1418586689610762,-0.020451898618138675,0.8739952738557382,2336,1.0,2336.0
L150_center_00072,150,center,kmer_property,0.9881480938267168,0.9683437760927717,0.1539604246115406,0.2516196491024831,0.09765922449094247,1.6343138162767974,2336,1.0,2336.0
L150_center_00073,150,center,kmer_property,0.9821412848636688,0.9701125852351276,0.18899055604093615,0.24448891494246605,0.055498358901529904,1.2936567840432658,2336,1.0,2336.0
L150_center_00074,150,center,kmer_property,0.9840002755547028,0.9639557728746027,0.1788838977957338,0.2684929314726805,0.0896090336769467,1.500934040353205,2336,1.0,2336.0
L150_center_00075,150,center,kmer_property,0.9811612367715415,0.9818228608123591,0.19410699744449436,0.19066797941783947,-0.0034390180266548886,0.9822828745386251,2336,1.0,2336.0
L150_center_00076,150,center,kmer_property,0.9870917517410351,0.9697534311586267,0.16067512725350683,0.24595352748587862,0.08527840023237179,1.5307504757585966,2336,1.0,2336.0
L150_center_00077,150,center,kmer_property,0.988704449695023,0.9731538611317747,0.1503033619382941,0.23171594191261435,0.08141257997432025,1.5416550829231854,2336,1.0,2336.0
L150_center_00078,150,center,kmer_property,0.9877318567270695,0.9676057296302751,0.15664062865636927,0.25453593211853554,0.09789530346216627,1.6249675087612443,2336,1.0,2336.0
