representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
cspaced_property_l2,mlp,2252,30,147,0.14201183431952663,0.12980337053903035,label_probe,69,N_3pct,label
hybrid_ckmer5_csp,nearest_centroid,2252,30,659,0.2514792899408284,0.24037156175105198,label_probe,69,N_3pct,label
hybrid_ckmer5_csp,logistic,2252,30,659,0.20266272189349113,0.19238868555101898,label_probe,69,N_3pct,label
hybrid_ckmer5_csp,mlp,2252,30,659,0.1863905325443787,0.17962589109090166,label_probe,69,N_3pct,label
minhash_k5_s128,nearest_centroid,2252,30,128,0.16124260355029585,0.14868939987060756,label_probe,69,N_3pct,label
minhash_k5_s128,logistic,2252,30,128,0.1346153846153846,0.12417380668193201,label_probe,69,N_3pct,label
minhash_k5_s128,mlp,2252,30,128,0.05917159763313609,0.0537789040679237,label_probe,69,N_3pct,label
eiip_l2,nearest_centroid,2252,30,69,0.03698224852071006,0.03554131738710538,label_probe,69,N_3pct,label
eiip_l2,logistic,2252,30,69,0.07396449704142012,0.06552301053420842,label_probe,69,N_3pct,label
eiip_l2,mlp,2252,30,69,0.03106508875739645,0.020222213808198837,label_probe,69,N_3pct,label
eiip_summary_l2,nearest_centroid,2252,30,8,0.09763313609467456,0.07296604351172734,label_probe,69,N_3pct,label
eiip_summary_l2,logistic,2252,30,8,0.13165680473372782,0.10057338010998455,label_probe,69,N_3pct,label
eiip_summary_l2,mlp,2252,30,8,0.0695266272189349,0.03596889670278796,label_probe,69,N_3pct,label
ckmer5_count_l2,nearest_centroid,160,2,512,0.8541666666666666,0.8535947712418301,target_background,69,N_3pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.7708333333333334,0.7699346405228757,target_background,69,N_3pct,target_binary
ckmer5_count_l2,mlp,160,2,512,0.5625,0.4997518610421836,target_background,69,N_3pct,target_binary
ckmer7_count_l2,nearest_centroid,160,2,4711,0.6875,0.6873643074250977,target_background,69,N_3pct,target_binary
ckmer7_count_l2,logistic,160,2,4711,0.6666666666666666,0.6660869565217391,target_background,69,N_3pct,target_binary
ckmer7_count_l2,mlp,160,2,4711,0.6666666666666666,0.6643356643356644,target_background,69,N_3pct,target_binary
cspaced_count_l2,nearest_centroid,160,2,136,0.8333333333333334,0.8321678321678322,target_background,69,N_3pct,target_binary
cspaced_count_l2,logistic,160,2,136,0.8333333333333334,0.8330434782608696,target_background,69,N_3pct,target_binary
cspaced_count_l2,mlp,160,2,136,0.7708333333333334,0.7699346405228757,target_background,69,N_3pct,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.8333333333333334,0.8321678321678322,target_background,69,N_3pct,target_binary
cspaced_property_l2,logistic,160,2,147,0.8333333333333334,0.8321678321678322,target_background,69,N_3pct,target_binary
cspaced_property_l2,mlp,160,2,147,0.5416666666666666,0.484375,target_background,69,N_3pct,target_binary
hybrid_ckmer5_csp,nearest_centroid,160,2,659,0.8125,0.8117647058823529,target_background,69,N_3pct,target_binary
hybrid_ckmer5_csp,logistic,160,2,659,0.8541666666666666,0.8535947712418301,target_background,69,N_3pct,target_binary
hybrid_ckmer5_csp,mlp,160,2,659,0.6041666666666666,0.547394540942928,target_background,69,N_3pct,target_binary
minhash_k5_s128,nearest_centroid,160,2,128,0.6666666666666666,0.6666666666666666,target_background,69,N_3pct,target_binary
minhash_k5_s128,logistic,160,2,128,0.6458333333333334,0.6419482229047828,target_background,69,N_3pct,target_binary
minhash_k5_s128,mlp,160,2,128,0.5416666666666666,0.44537815126050423,target_background,69,N_3pct,target_binary
eiip_l2,nearest_centroid,160,2,69,0.5625,0.5529933481152993,target_background,69,N_3pct,target_binary
eiip_l2,logistic,160,2,69,0.625,0.6142857142857143,target_background,69,N_3pct,target_binary
eiip_l2,mlp,160,2,69,0.4791666666666667,0.45029775538250116,target_background,69,N_3pct,target_binary
eiip_summary_l2,nearest_centroid,160,2,8,0.8333333333333334,0.8321678321678322,target_background,69,N_3pct,target_binary
eiip_summary_l2,logistic,160,2,8,0.7916666666666666,0.7902097902097902,target_background,69,N_3pct,target_binary
eiip_summary_l2,mlp,160,2,8,0.4583333333333333,0.4583333333333333,target_background,69,N_3pct,target_binary
ckmer5_count_l2,nearest_centroid,2252,30,512,0.25,0.23184961880490168,label_probe,69,substitution_1pct,label
ckmer5_count_l2,logistic,2252,30,512,0.20266272189349113,0.19531786669505438,label_probe,69,substitution_1pct,label
ckmer5_count_l2,mlp,2252,30,512,0.1937869822485207,0.18900178587245098,label_probe,69,substitution_1pct,label
ckmer7_count_l2,nearest_centroid,2252,30,8189,0.1952662721893491,0.17679345148589137,label_probe,69,substitution_1pct,label
ckmer7_count_l2,logistic,2252,30,8189,0.1760355029585799,0.154890220504074,label_probe,69,substitution_1pct,label
ckmer7_count_l2,mlp,2252,30,8189,0.12130177514792899,0.11167516077832888,label_probe,69,substitution_1pct,label
cspaced_count_l2,nearest_centroid,2252,30,136,0.17159763313609466,0.15790081769970607,label_probe,69,substitution_1pct,label
cspaced_count_l2,logistic,2252,30,136,0.12721893491124261,0.1222236996277152,label_probe,69,substitution_1pct,label
cspaced_count_l2,mlp,2252,30,136,0.10946745562130178,0.09808335593886905,label_probe,69,substitution_1pct,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.17159763313609466,0.15847172417932182,label_probe,69,substitution_1pct,label
cspaced_property_l2,logistic,2252,30,147,0.11834319526627218,0.11264963236490491,label_probe,69,substitution_1pct,label
cspaced_property_l2,mlp,2252,30,147,0.10946745562130178,0.09761197351085953,label_probe,69,substitution_1pct,label
hybrid_ckmer5_csp,nearest_centroid,2252,30,659,0.25443786982248523,0.23749556670931898,label_probe,69,substitution_1pct,label
hybrid_ckmer5_csp,logistic,2252,30,659,0.1952662721893491,0.18703474156684408,label_probe,69,substitution_1pct,label
hybrid_ckmer5_csp,mlp,2252,30,659,0.1760355029585799,0.16482130604388387,label_probe,69,substitution_1pct,label
minhash_k5_s128,nearest_centroid,2252,30,128,0.16420118343195267,0.1545347551842027,label_probe,69,substitution_1pct,label
minhash_k5_s128,logistic,2252,30,128,0.11834319526627218,0.11218379979381984,label_probe,69,substitution_1pct,label
minhash_k5_s128,mlp,2252,30,128,0.07248520710059171,0.06219916380851511,label_probe,69,substitution_1pct,label
eiip_l2,nearest_centroid,2252,30,69,0.03106508875739645,0.030103864185860564,label_probe,69,substitution_1pct,label
eiip_l2,logistic,2252,30,69,0.05029585798816568,0.04409703973771369,label_probe,69,substitution_1pct,label
eiip_l2,mlp,2252,30,69,0.03106508875739645,0.020281437844701003,label_probe,69,substitution_1pct,label
eiip_summary_l2,nearest_centroid,2252,30,8,0.08727810650887574,0.06485906081224736,label_probe,69,substitution_1pct,label
eiip_summary_l2,logistic,2252,30,8,0.1301775147928994,0.09893199247358653,label_probe,69,substitution_1pct,label
eiip_summary_l2,mlp,2252,30,8,0.0695266272189349,0.0321712132496161,label_probe,69,substitution_1pct,label
ckmer5_count_l2,nearest_centroid,160,2,512,0.7916666666666666,0.7883597883597884,target_background,69,substitution_1pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8125,0.8104431768319438,target_background,69,substitution_1pct,target_binary
ckmer5_count_l2,mlp,160,2,512,0.7291666666666666,0.7141548327989007,target_background,69,substitution_1pct,target_binary
ckmer7_count_l2,nearest_centroid,160,2,5316,0.75,0.7482517482517483,target_background,69,substitution_1pct,target_binary
ckmer7_count_l2,logistic,160,2,5316,0.7708333333333334,0.7683194383501536,target_background,69,substitution_1pct,target_binary
ckmer7_count_l2,mlp,160,2,5316,0.5833333333333334,0.5804195804195804,target_background,69,substitution_1pct,target_binary
cspaced_count_l2,nearest_centroid,160,2,136,0.7916666666666666,0.7902097902097902,target_background,69,substitution_1pct,target_binary
cspaced_count_l2,logistic,160,2,136,0.7916666666666666,0.791304347826087,target_background,69,substitution_1pct,target_binary
cspaced_count_l2,mlp,160,2,136,0.7708333333333334,0.7699346405228757,target_background,69,substitution_1pct,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.7916666666666666,0.7902097902097902,target_background,69,substitution_1pct,target_binary
cspaced_property_l2,logistic,160,2,147,0.7916666666666666,0.7916666666666666,target_background,69,substitution_1pct,target_binary
cspaced_property_l2,mlp,160,2,147,0.5208333333333334,0.46897546897546893,target_background,69,substitution_1pct,target_binary
hybrid_ckmer5_csp,nearest_centroid,160,2,659,0.7916666666666666,0.7883597883597884,target_background,69,substitution_1pct,target_binary
hybrid_ckmer5_csp,logistic,160,2,659,0.7916666666666666,0.7902097902097902,target_background,69,substitution_1pct,target_binary
hybrid_ckmer5_csp,mlp,160,2,659,0.6666666666666666,0.6356736242884251,target_background,69,substitution_1pct,target_binary
minhash_k5_s128,nearest_centroid,160,2,128,0.6041666666666666,0.6026143790849673,target_background,69,substitution_1pct,target_binary
minhash_k5_s128,logistic,160,2,128,0.5625,0.5577007459412022,target_background,69,substitution_1pct,target_binary
minhash_k5_s128,mlp,160,2,128,0.6041666666666666,0.547394540942928,target_background,69,substitution_1pct,target_binary
eiip_l2,nearest_centroid,160,2,69,0.5833333333333334,0.5555555555555556,target_background,69,substitution_1pct,target_binary
eiip_l2,logistic,160,2,69,0.5833333333333334,0.5714285714285714,target_background,69,substitution_1pct,target_binary
eiip_l2,mlp,160,2,69,0.4791666666666667,0.4379391100702576,target_background,69,substitution_1pct,target_binary
eiip_summary_l2,nearest_centroid,160,2,8,0.8125,0.8104431768319438,target_background,69,substitution_1pct,target_binary
eiip_summary_l2,logistic,160,2,8,0.8125,0.8104431768319438,target_background,69,substitution_1pct,target_binary
eiip_summary_l2,mlp,160,2,8,0.5,0.49650349650349646,target_background,69,substitution_1pct,target_binary
ckmer5_count_l2,nearest_centroid,2252,30,512,0.3062130177514793,0.28779975218956505,label_probe,75,clean,label
ckmer5_count_l2,logistic,2252,30,512,0.2485207100591716,0.23645129626563405,label_probe,75,clean,label
ckmer5_count_l2,mlp,2252,30,512,0.20857988165680474,0.19160552477556042,label_probe,75,clean,label
ckmer7_count_l2,nearest_centroid,2252,30,8186,0.23076923076923078,0.21298242101886056,label_probe,75,clean,label
