omitted_p_group,n_cells,paired_cosine,l2_drift,retrieval_top1
hydrogen,24,0.9844531156429434,0.1552091542756389,1.0
entropy,24,0.984369217629578,0.15565472136717862,1.0
n_fraction,24,0.9843603505066515,0.15570086829427768,1.0
eiip,24,0.9843525139286219,0.15574253578964403,1.0
none,24,0.984352355048928,0.15574337520239054,1.0
scaled_length,24,0.9843456826017113,0.15577107203568985,1.0
purine,24,0.9843394862401741,0.15581300848185137,1.0
gc,24,0.9843390315344643,0.15581647005869553,1.0
