Motif position,First length with full motif-pair visibility,Maximum pair visibility,Lengths tested
120,130,1.0,"110,115,120,125,130,135,138,140,142,145,148,150,155,160"
130,140,1.0,"110,115,120,125,130,135,138,140,142,145,148,150,155,160"
138,148,1.0,"110,115,120,125,130,135,138,140,142,145,148,150,155,160"
145,155,1.0,"110,115,120,125,130,135,138,140,142,145,148,150,155,160"
