Comparison,Mean cosine gain,Minimum gain,Maximum gain,Wins,Comparisons
CSP minus Canonical 5-mer,0.04450493268587187,0.004154714519316038,0.11087179993767893,42,42
CSP minus Canonical 7-mer,0.0799941125713037,0.007548016342807218,0.16284885224552692,42,42
CSP minus Canonical spaced seed,0.028466176276825555,0.002014944764084814,0.10240641801373329,42,42
CSP minus Canonical 5-mer + CSP,0.022252466342935935,0.0020773572596580747,0.055435899968839575,42,42
