component,Mean_cosine_gain,Mean_L2_change,Max_cosine_gain,Min_L2_change
hydrogen,0.03231360937233271,-0.14775440958098499,0.0984483706203963,-0.3000180883587406
entropy,0.01558634604103318,-0.055964888702429105,0.0463789801860093,-0.1088948963740451
purine,0.012612049972821712,-0.04418442049944745,0.0377281696279203,-0.086429592775082
gc,0.012422159403402576,-0.04346205038521921,0.0374565466813909,-0.0858925566444384
length,0.006498174281850472,-0.023773259999720835,0.013880097823116,-0.0545414920212685
eiip,0.00052839651563855,-0.001681402178358096,0.0016186784841742,-0.0033795082029514
n_fraction,-0.00012617153031528058,0.0004788581178307958,2.220446049250313e-16,-5.551115123125783e-17
