Boundary task,Condition,Length,Representation,Mean paired cosine,Mean L2 drift,Nearest-clean retrieval,Features
arg_allele,3% N mask,69,CSP,0.9944741159272312,0.1047504678473382,0.125,78
arg_allele,3% N mask,75,CSP,0.9949877882793288,0.0997735569564169,0.1138888888888888,81
arg_allele,3% N mask,100,CSP,0.9943016595475852,0.1065170979159061,0.125,94
arg_allele,3% N mask,150,CSP,0.9955959957002064,0.0936901443812633,0.1055555555555555,110
arg_allele,6-bp local mismatch,69,CSP,0.9900931793274652,0.1394979519097864,0.1194444444444444,78
arg_allele,6-bp local mismatch,75,CSP,0.9912566766072162,0.1311903697384956,0.1194444444444444,81
arg_allele,6-bp local mismatch,100,CSP,0.9936332210350944,0.1121149774167176,0.1083333333333333,94
arg_allele,6-bp local mismatch,150,CSP,0.9960434662948696,0.0885275159534,0.1083333333333333,110
arg_allele,1% substitution,69,CSP,0.99797069182533,0.0423829718835182,0.1388888888888889,78
arg_allele,1% substitution,75,CSP,0.9980764496989856,0.0436706736491851,0.1333333333333333,81
arg_allele,1% substitution,100,CSP,0.9978507685977632,0.0502081425838609,0.125,94
arg_allele,1% substitution,150,CSP,0.9979743439036614,0.0545446868591941,0.1222222222222222,110
arg_allele,1% substitution + 3% N,69,CSP,0.9923935577848652,0.1212849153634638,0.1166666666666666,78
arg_allele,1% substitution + 3% N,75,CSP,0.993296888617005,0.1140465992579515,0.1166666666666666,81
arg_allele,1% substitution + 3% N,100,CSP,0.9924882502724304,0.1212222558422284,0.1138888888888888,94
arg_allele,1% substitution + 3% N,150,CSP,0.993863226352675,0.1097872217851024,0.1166666666666666,110
arg_allele,5-bp trim,69,CSP,0.9973562492194978,0.0726418447164931,0.0944444444444444,78
arg_allele,5-bp trim,75,CSP,0.9976270791021076,0.0688145206150586,0.0833333333333333,81
arg_allele,5-bp trim,100,CSP,0.9982735195289176,0.0587031178075394,0.0305555555555555,94
arg_allele,5-bp trim,150,CSP,0.9990278929130236,0.0440906868613465,0.0305555555555555,110
arg_family,3% N mask,69,CSP,0.9944307142081558,0.1051671937736598,0.1083333333333333,101
arg_family,3% N mask,75,CSP,0.9950822524308796,0.0988035701077786,0.1222222222222222,107
arg_family,3% N mask,100,CSP,0.9949752973915365,0.0999359754555822,0.1166666666666666,122
arg_family,3% N mask,150,CSP,0.9962947508089708,0.0859453385199902,0.1277777777777777,137
arg_family,6-bp local mismatch,69,CSP,0.9893817605917188,0.1446948636467919,0.0944444444444444,101
arg_family,6-bp local mismatch,75,CSP,0.9904346009028258,0.137327589816139,0.1055555555555555,107
arg_family,6-bp local mismatch,100,CSP,0.9938887308806732,0.1096617188117438,0.0944444444444444,122
arg_family,6-bp local mismatch,150,CSP,0.9965686736902836,0.0825243216794336,0.1083333333333333,137
arg_family,1% substitution,69,CSP,0.9976435929294768,0.0478216240846156,0.1305555555555555,101
arg_family,1% substitution,75,CSP,0.9977727141517824,0.0466697630655612,0.1416666666666666,107
arg_family,1% substitution,100,CSP,0.9980287140646308,0.0491804763072097,0.125,122
arg_family,1% substitution,150,CSP,0.9983679316324192,0.0485043153442403,0.1277777777777777,137
arg_family,1% substitution + 3% N,69,CSP,0.9922860132516812,0.1221831569108786,0.125,101
arg_family,1% substitution + 3% N,75,CSP,0.9929184723349344,0.1169479064702409,0.1055555555555555,107
arg_family,1% substitution + 3% N,100,CSP,0.9927430644146924,0.1189966178556597,0.1083333333333333,122
arg_family,1% substitution + 3% N,150,CSP,0.9946349411910704,0.1025661134459349,0.1083333333333333,137
arg_family,5-bp trim,69,CSP,0.9972083624619668,0.0744057613358221,0.0305555555555555,101
arg_family,5-bp trim,75,CSP,0.9975149253863796,0.0700911082006355,0.0277777777777777,107
arg_family,5-bp trim,100,CSP,0.9985195991891124,0.0540085111599682,0.0555555555555555,122
arg_family,5-bp trim,150,CSP,0.999193414663902,0.0400190063416735,0.0333333333333333,137
resistance_snp,3% N mask,69,CSP,0.9950531366284092,0.0991172484226815,0.0416666666666666,56
resistance_snp,3% N mask,75,CSP,0.9957566570466232,0.0918039220691599,0.0277777777777777,57
resistance_snp,6-bp local mismatch,69,CSP,0.9925604025460651,0.120530927371297,0.025,56
resistance_snp,6-bp local mismatch,75,CSP,0.9936675459343762,0.1113203367291284,0.0305555555555555,57
resistance_snp,1% substitution,69,CSP,0.9985341966861968,0.0374601624219709,0.0388888888888888,56
resistance_snp,1% substitution,75,CSP,0.998696967450207,0.0354714285956108,0.0361111111111111,57
resistance_snp,1% substitution + 3% N,69,CSP,0.9935334325941528,0.1121793521984766,0.0333333333333333,56
resistance_snp,1% substitution + 3% N,75,CSP,0.9944813042022136,0.1036002745749707,0.0333333333333333,57
resistance_snp,5-bp trim,69,CSP,0.9979183411566048,0.0645089401611879,0.0194444444444444,56
resistance_snp,5-bp trim,75,CSP,0.9982682946751478,0.0588413811001727,0.0083333333333333,57
