length,local_mode,binset,bins,max_bin_count,gamma,n_triplets,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean,k_dim,p_dim,m_dim,total_dim,split,classifier,accuracy,macro_f1,accuracy_std,macro_f1_std
69,center,2,2,2,0.0,250,0.27549142576723984,0.2233618384665283,-0.052129587300711565,0.8221328600532111,136,11,10,157,holdout,logistic,0.7857142857142857,0.7856839121190644,,
69,center,2,2,2,0.0,250,0.27549142576723984,0.2233618384665283,-0.052129587300711565,0.8221328600532111,136,11,10,157,5fold_grouped_cv,logistic,0.8160000000000001,0.815338288644349,0.0431740662898458,0.0429505030140898
69,center,2,2,2,0.25,250,0.27129546792360226,0.2199743038521232,-0.05132116407147908,0.8221851755912588,136,11,10,157,holdout,logistic,0.9464285714285714,0.9463810773431682,,
69,center,2,2,2,0.25,250,0.27129546792360226,0.2199743038521232,-0.05132116407147908,0.8221851755912588,136,11,10,157,5fold_grouped_cv,logistic,0.942,0.9419705759190474,0.01720465053408523,0.017226818258337877
69,center,2,2,2,0.5,250,0.2597751161208553,0.2106732680762708,-0.049101848044584506,0.822336511214425,136,11,10,157,holdout,logistic,0.9464285714285714,0.9463810773431682,,
69,center,2,2,2,0.5,250,0.2597751161208553,0.2106732680762708,-0.049101848044584506,0.822336511214425,136,11,10,157,5fold_grouped_cv,logistic,0.942,0.9419705759190474,0.01720465053408523,0.017226818258337877
69,center,2,2,2,1.0,250,0.22507393048710964,0.18266131260702909,-0.04241261788008053,0.8229051471913436,136,11,10,157,holdout,logistic,0.9464285714285714,0.9463810773431682,,
69,center,2,2,2,1.0,250,0.22507393048710964,0.18266131260702909,-0.04241261788008053,0.8229051471913436,136,11,10,157,5fold_grouped_cv,logistic,0.942,0.9419705759190474,0.01720465053408523,0.017226818258337877
69,center,2,2,2,2.0,250,0.1594395319855442,0.12973819640154988,-0.029701335583994272,0.8250257867681369,136,11,10,157,holdout,logistic,0.9464285714285714,0.9463810773431682,,
69,center,2,2,2,2.0,250,0.1594395319855442,0.12973819640154988,-0.029701335583994272,0.8250257867681369,136,11,10,157,5fold_grouped_cv,logistic,0.942,0.9419705759190474,0.01720465053408523,0.017226818258337877
69,center,2_3,2+3,3,0.0,250,0.27549142576723984,0.2233618384665283,-0.052129587300711565,0.8221328600532111,136,11,25,172,holdout,logistic,0.7857142857142857,0.7856839121190644,,
69,center,2_3,2+3,3,0.0,250,0.27549142576723984,0.2233618384665283,-0.052129587300711565,0.8221328600532111,136,11,25,172,5fold_grouped_cv,logistic,0.8160000000000001,0.815338288644349,0.0431740662898458,0.0429505030140898
69,center,2_3,2+3,3,0.25,250,0.2712999723067909,0.2199832443931028,-0.051316727913688145,0.8222042723228649,136,11,25,172,holdout,logistic,0.9702380952380952,0.9702286018075492,,
