length,binset,gamma,n_cells,paired_cosine_mean,l2_delta_mean,retrieval_top1_mean,m_dim
69,2,0.0,5,0.9776293091421833,0.1859728906149561,1.0,10.0
69,2,0.25,5,0.9783006409436222,0.18316411192695803,1.0,10.0
69,2,0.5,5,0.9800908590807931,0.17545423409562427,1.0,10.0
69,2,1.0,5,0.9850139589580124,0.1522510782902012,1.0,10.0
69,2,2.0,5,0.9923986087738417,0.10850357731439945,1.0,10.0
69,2_3,0.0,5,0.9776293091421833,0.1859728906149561,1.0,25.0
69,2_3,0.25,5,0.9782974000046742,0.18317937100834847,1.0,25.0
69,2_3,0.5,5,0.9800789756379832,0.1755125584432018,1.0,25.0
69,2_3,1.0,5,0.9849783086295831,0.15245190660307173,1.0,25.0
69,2_3,2.0,5,0.9923273081169828,0.10906065657125237,1.0,25.0
69,2_3_4,0.0,5,0.9776293091421833,0.1859728906149561,1.0,45.0
69,2_3_4,0.25,5,0.9782943812365182,0.18319364165719,1.0,45.0
69,2_3_4,0.5,5,0.9800679068214115,0.17556708676619476,1.0,45.0
69,2_3_4,1.0,5,0.9849451021798682,0.1526394226106629,1.0,45.0
69,2_3_4,2.0,5,0.9922608952175533,0.10957815494575533,1.0,45.0
69,2_3_4_6,0.0,5,0.9776293091421833,0.1859728906149561,1.0,75.0
69,2_3_4_6,0.25,5,0.9782887579384788,0.18322039165034393,1.0,75.0
69,2_3_4_6,0.5,5,0.9800472880619335,0.17566920724047924,1.0,75.0
69,2_3_4_6,1.0,5,0.9848832459014341,0.15298953606827634,1.0,75.0
69,2_3_4_6,2.0,5,0.992137182660685,0.11053459894466115,1.0,75.0
75,2,0.0,5,0.9805929026523961,0.17028267090181884,1.0,10.0
75,2,0.25,5,0.981175137007285,0.16771174638656,1.0,10.0
75,2,0.5,5,0.9827277619536556,0.16065483159546828,1.0,10.0
75,2,1.0,5,0.9869974805561746,0.13941757519950168,1.0,10.0
75,2,2.0,5,0.9934020584599533,0.09938209405088201,1.0,10.0
75,2_3,0.0,5,0.9805929026523961,0.17028267090181884,1.0,25.0
75,2_3,0.25,5,0.9811726041889453,0.16772439069434264,1.0,25.0
75,2_3,0.5,5,0.9827184749530767,0.1607031573963406,1.0,25.0
75,2_3,1.0,5,0.986969619554438,0.13958396192118003,1.0,25.0
75,2_3,2.0,5,0.9933463364564801,0.09984375974203667,1.0,25.0
75,2_3_4,0.0,5,0.9805929026523961,0.17028267090181884,1.0,45.0
75,2_3_4,0.25,5,0.9811697572475666,0.16773874151329085,1.0,45.0
75,2_3_4,0.5,5,0.982708036168022,0.16075798098292532,1.0,45.0
75,2_3_4,1.0,5,0.9869383031992738,0.1397723905337352,1.0,45.0
75,2_3_4,2.0,5,0.9932837037461516,0.10036294832139855,1.0,45.0
75,2_3_4_6,0.0,5,0.9805929026523961,0.17028267090181884,1.0,75.0
75,2_3_4_6,0.25,5,0.9811648727358098,0.16776343134867175,1.0,75.0
75,2_3_4_6,0.5,5,0.9826901262915797,0.1608522369744911,1.0,75.0
75,2_3_4_6,1.0,5,0.986884573569947,0.1400955687576571,1.0,75.0
75,2_3_4_6,2.0,5,0.9931762444874979,0.1012460444826698,1.0,75.0
