ck4_distance_mi_bits,p_distance_mi_bits,msp_distance_mi_bits,pmsp_joint_mi_bits,joint_ck4_pmsp_mi_bits,pmsp_conditional_on_ck4_mi_bits,joint_minus_ck4_mi_bits,pmsp_conditional_perm_p,joint_minus_ck4_perm_p,length,local_mode,n_triplets
0.5195817910046816,0.21371745578548199,0.542032209454982,0.657194749715347,0.8572081938151465,0.3992114911270628,0.33762640281046485,0.004975124378109453,0.004975124378109453,69,center,250
0.4612832583488545,0.27275659103654887,0.42949703243405674,0.5747014282105969,0.8006621264015842,0.3786764995772192,0.3393788680527297,0.004975124378109453,0.004975124378109453,69,jittered,250
0.4843233123251893,0.20220621441374503,0.365381661238862,0.6047450913346837,0.8188355096349145,0.39464970777456354,0.33451219730972515,0.004975124378109453,0.004975124378109453,69,left,250
0.43690969228775883,0.2043949375167269,0.4421087338685472,0.6822611801204151,0.8392960408559225,0.4757642863862743,0.40238634856816363,0.004975124378109453,0.004975124378109453,69,right,250
0.7643795069839822,0.33586510803635405,0.3310736420170528,0.6323358004493739,0.8820414335814435,0.20611071801169095,0.11766192659746133,0.004975124378109453,0.004975124378109453,100,center,250
0.8206189490363855,0.36326720375956084,0.47464814814491724,0.6449438977896125,0.9175644975472025,0.1698712759592874,0.09694554851081694,0.004975124378109453,0.004975124378109453,100,jittered,250
0.7623645751926762,0.31392462577994584,0.3501668957555037,0.5877523404313607,0.8896719931572228,0.22012564980299676,0.1273074179645466,0.004975124378109453,0.004975124378109453,100,left,250
0.8266779868271801,0.3191069084499464,0.30593979268288374,0.6816067158414068,0.9019116114350765,0.1613220131728199,0.0752336246078964,0.004975124378109453,0.004975124378109453,100,right,250
0.907776377982577,0.19095175311993245,0.18316671199310008,0.3856491732887152,0.8751552312248602,0.06651411607287619,-0.03262114675771688,0.04477611940298507,0.004975124378109453,150,center,250
0.8862459175822659,0.203675021812126,0.19028272733910637,0.41651345418207325,0.8728759597714898,0.07563129444049342,-0.0133699578107761,0.009950248756218905,0.004975124378109453,150,jittered,250
0.944965754374449,0.20941619373260487,0.16645540171361473,0.4645717730147856,0.893585245752341,0.04454402062987804,-0.05138050862210797,0.06467661691542288,0.004975124378109453,150,left,250
0.9148023327442553,0.244793562235036,0.10913285156626726,0.5001493852427694,0.9107932821317452,0.07719766725574476,-0.004009050612510112,0.004975124378109453,0.004975124378109453,150,right,250
