representation,representation_label,n_cells,mi_bits_mean,mi_perm_p_median,mi_perm_mean
ck4p_msp,CK4P-MSP,12,0.7274550725968817,0.004975124378109453,0.01025596589497064
ck4,CK4,12,0.7272152681593621,0.004975124378109453,0.010267858627927276
ck4_permuted_pmsp,CK4 + permuted P/MSP,12,0.7169350512146305,0.004975124378109453,0.009997325544994733
ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,12,0.011604613795617084,0.5621890547263682,0.010208958721311416
