representation,representation_label,n_cells,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean
ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,3000,0.9402622729442686,0.9336115034616088,-0.006650769482659745,1.0203684583407564
ck4_permuted_pmsp,CK4 + permuted P/MSP,3000,0.2129333987447551,0.16387276149422603,-0.049060637250529074,0.7709221499035924
ck4p_msp,CK4P-MSP,3000,0.2053166724229271,0.15397936894902037,-0.05133730347390671,0.7522808536306759
ck4,CK4,3000,0.3550744936559554,0.265599102723422,-0.0894753909325334,0.7503827403948462
