block,n_cells,paired_cosine_mean,l2_delta_mean,l2_delta_p95_mean
multiscale_property_MSP,20,0.9995528917732937,0.024508466366395237,0.04117185443940258
global_property_P,20,0.9992367166574709,0.027576975241679326,0.0339860243300108
identity_CK4,20,0.9661330785216393,0.22927398664120185,0.35237578798100255
