split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_samples,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.944,0.9439025398842038,100,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.014966629547095737,0.015013206545024664
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.9440000000000002,0.9439410771899801,100,left,ck4,CK4,500,136,0.025768197453450225,0.02582148443660233
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,ck4p_msp,CK4P-MSP,500,222,0.0040000000000000036,0.004002801240508269
holdout,logistic,0.9107142857142857,0.9105590062111801,100,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.942,0.9419380744873077,100,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.019390719429665283,0.019469613125863337
holdout,logistic,0.9285714285714286,0.9285613040396882,100,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.942,0.9419392958057966,100,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.01166190378969057,0.011653300924234812
holdout,logistic,0.9761904761904762,0.9761904761904762,100,right,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.9559999999999998,0.9559209725139108,100,right,ck4,CK4,500,136,0.013564659966250548,0.013628137278632336
holdout,logistic,1.0,1.0,100,right,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.99,0.989997799299738,100,right,ck4p_msp,CK4P-MSP,500,222,0.006324555320336764,0.006327086325664201
holdout,logistic,0.9523809523809523,0.9523809523809523,100,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.9559999999999998,0.9559438991487254,100,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.016248076809271934,0.016274020636608287
holdout,logistic,0.9464285714285714,0.9464266732806577,100,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.9480000000000001,0.9479238500019742,100,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.021354156504062593,0.021407695007041483
holdout,logistic,0.9821428571428571,0.9821371610845295,150,center,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.968,0.9679442335490933,150,center,ck4,CK4,500,136,0.014696938456699083,0.014776768256046876
holdout,logistic,0.9940476190476191,0.9940474081422952,150,center,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879927944753639,150,center,ck4p_msp,CK4P-MSP,500,222,0.011661903789690611,0.011671310656271255
holdout,logistic,0.9761904761904762,0.9761871013465627,150,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.97,0.9699440335290912,150,center,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.016733200530681523,0.01680975677836188
holdout,logistic,0.9702380952380952,0.9702117096350934,150,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.9659999999999999,0.9659436334890872,150,center,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.013564659966250548,0.013642761755711117
holdout,logistic,0.9880952380952381,0.9880935506732813,150,jittered,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.982,0.9819729366630984,150,jittered,ck4,CK4,500,136,0.017204650534085267,0.01725127338534565
holdout,logistic,1.0,1.0,150,jittered,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,jittered,ck4p_msp,CK4P-MSP,500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9940476190476191,0.9940474081422952,150,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.9760000000000002,0.9759530425975889,150,jittered,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.018547236990991423,0.018630406498633765
holdout,logistic,0.9880952380952381,0.9880935506732813,150,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
