representation,representation_label,classifier,n_cells,n_features,macro_f1_mean,macro_f1_std_mean,accuracy_mean
ck4p_msp,CK4P-MSP,logistic,12,222.0,0.978630385373886,0.008992777621473972,0.9786666666666667
ck4_msp,CK4+MSP,logistic,12,211.0,0.9779744055640748,0.010192048090149888,0.9780000000000001
p_msp,P+MSP,logistic,12,86.0,0.9704137018661654,0.012477679640927976,0.9704999999999999
msp,MSP,logistic,12,75.0,0.9651862175133727,0.013291843996568893,0.9653333333333333
ck4_p,CK4+P,logistic,12,147.0,0.9043111385266598,0.023046265210768302,0.9045
ck4,CK4,logistic,12,136.0,0.8922999894700521,0.02636358919737365,0.8925
p,P,logistic,12,11.0,0.6390735838086702,0.04266794886632282,0.6406666666666667
