representation,representation_label,n_cells,n_features,paired_cosine_mean,l2_delta_mean,retrieval_top1_mean
p,P,24,11.0,0.9993568241851599,0.024665435479345948,0.29475
msp,MSP,24,75.0,0.9994982484678063,0.02651651419472441,0.9580833333333333
p_msp,P+MSP,24,86.0,0.9994275363264832,0.02728854825334923,0.94175
ck4_p_msp,CK4P-MSP,24,222.0,0.9894042476879276,0.12856011081480942,0.9999166666666667
ck4_msp,CK4+MSP,24,211.0,0.9844279594393114,0.15572018239921284,0.9999166666666667
ck4_p,CK4+P,24,147.0,0.9843572472979883,0.15601934567191153,0.9999166666666667
ck4,CK4,24,136.0,0.9693576704108166,0.21815972790870977,0.9998333333333332
