split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,ck4_p_msp,CK4P-MSP,250,222,0.011661903789690611,0.011673165031177182
holdout,logistic,0.8988095238095238,0.8987198127593177,100,center,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.9119999999999999,0.9118676515654874,100,center,ck4,CK4,250,136,0.03310589071449369,0.03320658142088433
holdout,logistic,0.625,0.6249867129646034,100,center,p,P,250,11,,
5fold_grouped_cv,logistic,0.634,0.6326058370305818,100,center,p,P,250,11,0.05122499389946278,0.0522783626519495
holdout,logistic,0.9880952380952381,0.9880935506732813,100,center,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.976,0.9759675317987204,100,center,msp,MSP,250,75,0.014966629547095779,0.015011540761978918
holdout,logistic,0.9226190476190477,0.9226163058498389,100,center,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.9259999999999999,0.9259409239100428,100,center,ck4_p,CK4+P,250,147,0.02653299832284318,0.02659116955136928
holdout,logistic,0.9940476190476191,0.9940474081422952,100,center,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,ck4_msp,CK4+MSP,250,211,0.007483314773547889,0.007493695086588851
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.982,0.981990993815106,100,center,p_msp,P+MSP,250,86,0.007483314773547889,0.007492410306373802
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,ck4_p_msp,CK4P-MSP,250,222,0.007483314773547889,0.007493695086588851
holdout,logistic,0.9583333333333334,0.958331856996067,100,jittered,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.9399999999999998,0.9398941496896447,100,jittered,ck4,CK4,250,136,0.012649110640673493,0.01266953387134547
holdout,logistic,0.625,0.6249867129646034,100,jittered,p,P,250,11,,
5fold_grouped_cv,logistic,0.654,0.6538985355695033,100,jittered,p,P,250,11,0.030066592756745815,0.03005481386659138
holdout,logistic,0.9404761904761905,0.9404677533664068,100,jittered,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.9339999999999999,0.9339180131520164,100,jittered,msp,MSP,250,75,0.018547236990991377,0.01853518061665215
holdout,logistic,0.9702380952380952,0.9702286018075492,100,jittered,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.9460000000000001,0.9459098475933019,100,jittered,ck4_p,CK4+P,250,147,0.016248076809271893,0.016326829305584527
holdout,logistic,1.0,1.0,100,jittered,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.97,0.9699757706596189,100,jittered,ck4_msp,CK4+MSP,250,211,0.014142135623730963,0.014162534245342964
holdout,logistic,0.9464285714285714,0.9464114832535885,100,jittered,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.946,0.9459112164805124,100,jittered,p_msp,P+MSP,250,86,0.013564659966250496,0.013597071043727281
holdout,logistic,0.9940476190476191,0.9940474081422952,100,jittered,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.9719999999999999,0.9719827877102197,100,jittered,ck4_p_msp,CK4P-MSP,250,222,0.007483314773547889,0.00748791839453844
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.9440000000000002,0.9439410771899801,100,left,ck4,CK4,250,136,0.025768197453450225,0.02582148443660233
holdout,logistic,0.6785714285714286,0.6774285307922059,100,left,p,P,250,11,,
5fold_grouped_cv,logistic,0.6940000000000001,0.6925858552258585,100,left,p,P,250,11,0.02727636339397169,0.027265711891235354
holdout,logistic,0.9761904761904762,0.9761769710720363,100,left,msp,MSP,250,75,,
