sample_id,length,local_mode,representation,representation_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,selective_sensitivity_ratio_valid,n_features
L69_center_00000,69,center,ck4,CK4,0.3867487860080217,0.2870057842476352,-0.09974300176038653,0.7420987334183443,True,136
L69_center_00001,69,center,ck4,CK4,0.42758316196789975,0.3428072033373178,-0.08477595863058196,0.8017322332329204,True,136
L69_center_00002,69,center,ck4,CK4,0.3567010405518228,0.3201856212896195,-0.03651541926220325,0.8976301857552385,True,136
L69_center_00003,69,center,ck4,CK4,0.4136317173818703,0.29159029654960805,-0.12204142083226227,0.7049514925868414,True,136
L69_center_00004,69,center,ck4,CK4,0.4287051026134091,0.33502296205323323,-0.09368214056017587,0.7814764975058973,True,136
L69_center_00005,69,center,ck4,CK4,0.3940100488092576,0.34405490470599487,-0.04995514410326274,0.8732135277914034,True,136
L69_center_00006,69,center,ck4,CK4,0.39646821133663623,0.3549113635827631,-0.04155684775387314,0.8951823965564095,True,136
L69_center_00007,69,center,ck4,CK4,0.34275548659830724,0.26791769535447674,-0.0748377912438305,0.781658371142176,True,136
L69_center_00008,69,center,ck4,CK4,0.4062762501747619,0.30448011492172583,-0.10179613525303605,0.7494410879069404,True,136
L69_center_00009,69,center,ck4,CK4,0.4446272289437324,0.3335959356230092,-0.1110312933207232,0.750282290213103,True,136
L69_center_00010,69,center,ck4,CK4,0.37709583633437693,0.33333333333333337,-0.04376250300104356,0.8839485913542714,True,136
L69_center_00011,69,center,ck4,CK4,0.3469133983697076,0.3391696214633471,-0.007743776906360467,0.9776780691009579,True,136
L69_center_00012,69,center,ck4,CK4,0.3164452620629015,0.325506096812002,0.009060834749100466,1.0286331818970302,True,136
L69_center_00013,69,center,ck4,CK4,0.37796447300922725,0.18898223650461365,-0.1889822365046136,0.5000000000000001,True,136
L69_center_00014,69,center,ck4,CK4,0.38324497171815186,0.26434519582377486,-0.118899775894377,0.6897551574875744,True,136
L69_center_00015,69,center,ck4,CK4,0.3979014577296566,0.31766840611216557,-0.08023305161749106,0.7983594931386172,True,136
L69_center_00016,69,center,ck4,CK4,0.44232586846469146,0.3629811639446371,-0.07934470452005438,0.8206193438438067,True,136
L69_center_00017,69,center,ck4,CK4,0.4009963098498396,0.21170828717033713,-0.18928802267950245,0.5279556992671957,True,136
L69_center_00018,69,center,ck4,CK4,0.4156188286543954,0.30846670096033324,-0.10715212769406218,0.7421865413533425,True,136
L69_center_00019,69,center,ck4,CK4,0.3728795967275627,0.32428101640449497,-0.04859858032306774,0.8696668287844793,True,136
L69_center_00020,69,center,ck4,CK4,0.4517538851274586,0.4418434842250627,-0.009910400902395922,0.9780623892153141,True,136
L69_center_00021,69,center,ck4,CK4,0.4216370213557839,0.3698959174898306,-0.05174110386595332,0.8772851973491831,True,136
L69_center_00022,69,center,ck4,CK4,0.38098285131231924,0.29735621972151605,-0.08362663159080319,0.7804976489027103,True,136
L69_center_00023,69,center,ck4,CK4,0.37216960114423925,0.31092795673025947,-0.06124164441397978,0.8354469461619334,True,136
L69_center_00024,69,center,ck4,CK4,0.41949419718211917,0.33637626868090725,-0.08311792850121191,0.8018615536054076,True,136
L69_center_00025,69,center,ck4,CK4,0.2879535632686286,0.31966374033321343,0.031710177064584844,1.1101225374835968,True,136
L69_center_00026,69,center,ck4,CK4,0.4129041493992052,0.2696799449852969,-0.14322420441390832,0.6531296558237397,True,136
L69_center_00027,69,center,ck4,CK4,0.3494033329852303,0.27618802989947494,-0.07321530308575536,0.7904561972542767,True,136
L69_center_00028,69,center,ck4,CK4,0.39402139690762195,0.3095185065884909,-0.08450289031913105,0.7855373058866072,True,136
L69_center_00029,69,center,ck4,CK4,0.44250157343361185,0.30846670096033313,-0.13403487247327872,0.6970974104493487,True,136
L69_center_00030,69,center,ck4,CK4,0.36115755925730764,0.3335959356230092,-0.027561623634298427,0.92368531980619,True,136
L69_center_00031,69,center,ck4,CK4,0.47710321788357757,0.32774604204307783,-0.14935717584049973,0.6869499717418679,True,136
L69_center_00032,69,center,ck4,CK4,0.3969923420930044,0.3194382824999699,-0.07755405959303446,0.8046459556772365,True,136
L69_center_00033,69,center,ck4,CK4,0.41026768295872545,0.3188188346742346,-0.09144884828449085,0.7770995569892573,True,136
L69_center_00034,69,center,ck4,CK4,0.40189845597485985,0.30212482735353363,-0.09977362862132622,0.7517441852835399,True,136
L69_center_00035,69,center,ck4,CK4,0.4211029323752247,0.325506096812002,-0.09559683556322274,0.7729846357896151,True,136
L69_center_00036,69,center,ck4,CK4,0.47718561127048176,0.3484140633988152,-0.12877154787166656,0.7301436907772239,True,136
L69_center_00037,69,center,ck4,CK4,0.3277460420430778,0.31695088621397555,-0.010795155829102232,0.9670624372401014,True,136
L69_center_00038,69,center,ck4,CK4,0.3446902360150943,0.3065947257481726,-0.038095510266921706,0.8894789979915373,True,136
L69_center_00039,69,center,ck4,CK4,0.2937775489075743,0.2823359046115955,-0.01144164429597877,0.9610533740970845,True,136
L69_center_00040,69,center,ck4,CK4,0.37725130079126845,0.3412822330681097,-0.035969067723158776,0.9046548874776171,True,136
L69_center_00041,69,center,ck4,CK4,0.36158552609006844,0.28271240120606195,-0.0788731248840065,0.7818686888911595,True,136
L69_center_00042,69,center,ck4,CK4,0.47710321788357746,0.3326327494157107,-0.14447046846786676,0.6971924249248715,True,136
L69_center_00043,69,center,ck4,CK4,0.3982653429934891,0.37726717045721103,-0.02099817253627806,0.9472759231861625,True,136
L69_center_00044,69,center,ck4,CK4,0.33804946646586614,0.30098747554519056,-0.03706199092067558,0.8903651843970065,True,136
L69_center_00045,69,center,ck4,CK4,0.33071970322017813,0.27328057184997256,-0.057439131370205565,0.8263208063779459,True,136
