representation,representation_label,n_cells,n_features,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_n_valid,selective_sensitivity_ratio_valid_fraction
msp,MSP,3000,75.0,0.017856846904401646,0.02106572730326099,0.0032088803988593456,1.398967339398918,2988,0.996
p_msp,P+MSP,3000,86.0,0.013466185930504434,0.015850140156316164,0.002383954225811731,1.3077471704482782,2988,0.996
p,P,3000,11.0,0.006050416793503652,0.007296749266844425,0.0012463324733407726,1.8562184592853905,2854,0.9513333333333334
ck4p_msp,CK4P-MSP,3000,222.0,0.2053166724229271,0.15397936894902037,-0.05133730347390671,0.7522808536306759,3000,1.0
ck4_msp,CK4+MSP,3000,211.0,0.2514141944615911,0.1884936525573398,-0.06292054190425128,0.7520596611640157,3000,1.0
ck4_p,CK4+P,3000,147.0,0.2511220054608411,0.1879031024081129,-0.06321890305272822,0.7506209306972205,3000,1.0
ck4,CK4,3000,136.0,0.3550744936559554,0.265599102723422,-0.0894753909325334,0.7503827403948462,3000,1.0
