length,local_mode,representation,representation_label,n_features,n_triplets,noise_l2_mean,local_l2_mean,macro_f1,macro_f1_sd,accuracy
69,center,ck4p_msp,CK4P-MSP,222,250,0.22529572709555212,0.18308783037220677,0.7995514450535459,0.017555189579918723,0.8
69,center,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23267940257217876,0.18433698722285136,0.8913904633883278,0.027692025336746234,0.892
69,center,cpkm_weight_w025,CPKM weight=0.25,297,250,0.23448085528062362,0.18533859945583725,0.8914927337449164,0.025178217601466504,0.892
69,jittered,ck4p_msp,CK4P-MSP,222,250,0.2229787478889802,0.1853811105304908,0.7013244241146198,0.043105901816144425,0.704
69,jittered,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23162997000128707,0.18794673573897305,0.8330703312591238,0.0260033231611808,0.834
69,jittered,cpkm_weight_w025,CPKM weight=0.25,297,250,0.23281990443666994,0.1885301089833331,0.8229100041671884,0.04511611193853327,0.8240000000000001
69,left,ck4p_msp,CK4P-MSP,222,250,0.2247745739427872,0.18398809474649053,0.7642976189567331,0.023918791645534995,0.766
69,left,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23247440008182524,0.18781420324759107,0.8251472071499688,0.015461161388567497,0.826
69,left,cpkm_weight_w025,CPKM weight=0.25,297,250,0.23369120508383118,0.18954775548314967,0.8063245079564136,0.020058596259034094,0.808
69,right,ck4p_msp,CK4P-MSP,222,250,0.2215141166591312,0.18434763199627965,0.7687081258375056,0.028127813402582278,0.77
69,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22954012727092019,0.18824427410562547,0.828352514921253,0.032223350189482254,0.8300000000000001
69,right,cpkm_weight_w025,CPKM weight=0.25,297,250,0.23031183568104052,0.1893315530253042,0.8163361807440971,0.019675136832227564,0.818
100,center,ck4p_msp,CK4P-MSP,222,250,0.20999528147548877,0.15463577341656493,0.9155534647223057,0.030341739324455604,0.916
100,center,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.21943400812131528,0.15618849319737474,0.9679184518157896,0.020522335013375897,0.968
100,center,cpkm_weight_w025,CPKM weight=0.25,297,250,0.22025672141667377,0.1568053344698786,0.9578679053127253,0.01958134350064097,0.958
100,jittered,ck4p_msp,CK4P-MSP,222,250,0.21233931960126554,0.15522936661196993,0.9397416615785469,0.01919784442931051,0.9400000000000001
100,jittered,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22117378169461283,0.15777471549147698,0.963933852893384,0.013616401333472992,0.9640000000000001
100,jittered,cpkm_weight_w025,CPKM weight=0.25,297,250,0.22248434493048522,0.15905827069333642,0.9579006192583941,0.01611490963077582,0.958
100,left,ck4p_msp,CK4P-MSP,222,250,0.21182297920438584,0.1555066251811852,0.941799430492696,0.017311289427981595,0.942
100,left,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22083606370972406,0.15932456255440863,0.951890510308788,0.01476431272704401,0.952
100,left,cpkm_weight_w025,CPKM weight=0.25,297,250,0.2219974304215232,0.16137156683605658,0.9519182504276984,0.011688658949320054,0.952
100,right,ck4p_msp,CK4P-MSP,222,250,0.21151656623910817,0.15596974348221784,0.9376077011400851,0.028253066999242356,0.938
100,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22072384922674207,0.1602207493789605,0.9497214364381433,0.03070461988924004,0.95
100,right,cpkm_weight_w025,CPKM weight=0.25,297,250,0.22233016710964854,0.1617973909185423,0.9476423830290347,0.03586512100425677,0.9480000000000001
150,center,ck4p_msp,CK4P-MSP,222,250,0.17916978484237348,0.12179577919949845,0.9679366178806486,0.017279195451306482,0.968
150,center,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.18865433108626564,0.12351135156043562,0.9799763697584236,0.01675498644144348,0.9799999999999999
150,center,cpkm_weight_w025,CPKM weight=0.25,297,250,0.19011243605034822,0.12396946495623845,0.9799811745627958,0.012673181553731224,0.9800000000000001
150,jittered,ck4p_msp,CK4P-MSP,222,250,0.18049840290225805,0.12317928201522645,0.9739661311784662,0.013608952784753667,0.974
150,jittered,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19048436883857514,0.12598734720700755,0.9839923944353599,0.008009809125884766,0.984
150,jittered,cpkm_weight_w025,CPKM weight=0.25,297,250,0.19197680405348222,0.12691113894849007,0.9819909938151058,0.007492410306373803,0.982
150,left,ck4p_msp,CK4P-MSP,222,250,0.18135675194209183,0.12250502026304397,0.979987189590984,0.008955910618377909,0.9800000000000001
150,left,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19098165643255544,0.1266356922518958,0.9859949980592297,0.00800350151499776,0.986
150,left,cpkm_weight_w025,CPKM weight=0.25,297,250,0.1926119560504131,0.12813266209476967,0.9879963986794837,0.0074866303087065015,0.9879999999999999
150,right,ck4p_msp,CK4P-MSP,222,250,0.18253781728170287,0.12212616957307014,0.9679354535336401,0.019441557907647924,0.968
150,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19214321625082167,0.12621514108744966,0.9779761697384217,0.014718364036590199,0.978
150,right,cpkm_weight_w025,CPKM weight=0.25,297,250,0.19342531204023014,0.1278318744341815,0.9779785733422892,0.013286675490088082,0.978
