length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
100,short_indel,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.995088287037659,0.9850945406197812,0.07468772331913553,0.17265787736654434,0.11716283999628496,1.0
150,substitution_1pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9948511146471474,0.9869823129280106,0.08675709697284792,0.161354700337337,0.08176943353912024,1.0
150,N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9922437344546583,0.9890918506080976,0.12372497310868591,0.14770339972001179,0.08212321973153712,1.0
150,trim_5bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9976575473230211,0.9968236452771365,0.0678944965872697,0.07970388022458516,0.08434735346808216,1.0
150,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9868800195426879,0.9763192869319519,0.15861250688115397,0.217625628379059,0.0775198056847157,1.0
150,local_mismatch_6bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9920279946801347,0.9892844534553139,0.12531549230869266,0.14639360853094843,0.07918999534133607,1.0
150,short_indel,ck4p_msp,CK4P-MSP,222,500,1.0,0.9963908618450615,0.990384991001541,0.07163887557619003,0.1386723399989036,0.08254624629649612,1.0
150,substitution_1pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9941199658762477,0.9851898326419465,0.092757468808153,0.17210556962681953,0.09828116233779642,1.0
150,N_3pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.991211886924425,0.987808002322713,0.13177746033499924,0.1561537491270807,0.09815403504810699,1.0
150,trim_5bp,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.996151496982038,0.9945379774587091,0.08697539415934608,0.10451814983226143,0.10001598657962985,1.0
150,substitution_1pct_N_3pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9851605975092382,0.9730749800104874,0.16874767662735626,0.23205603114880477,0.09296120269617718,1.0
150,local_mismatch_6bp,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9909627149522239,0.9872461031812817,0.13344868297100915,0.15971159360086265,0.09538812131312115,1.0
150,short_indel,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9958566756711896,0.9893446801484872,0.0768262736036347,0.14598158497345265,0.09917810461973417,1.0
150,substitution_1pct,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9940039876924373,0.9848343130560309,0.09383349875683095,0.17415893095032972,0.098863795881859,1.0
150,N_3pct,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9908046796523277,0.9875318802518408,0.1348281606686833,0.15791211836054403,0.09853111844960288,1.0
150,trim_5bp,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9960795939696573,0.9943524153360537,0.08773426638133026,0.1062785695762305,0.10078564240449245,1.0
150,substitution_1pct_N_3pct,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9847725131406319,0.9731820286003977,0.17120555402596033,0.23159428325679468,0.09326756555659446,1.0
150,local_mismatch_6bp,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9908612760792278,0.9870948566534979,0.13430331673143978,0.16065573383262532,0.09601397156972327,1.0
150,short_indel,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9957749190492877,0.9890132636905683,0.07760163726839259,0.1482342619455114,0.09983356041951068,1.0
