weight_name,weight_label,n_cells,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio
property_only,"property_only (k=0, P=1, MSP=1)",12,0.013466185930504436,0.015850140156316167,0.0023839542258117306,1.171917593917288
property_dominant,"property_dominant (k=1, P=2, MSP=2)",12,0.11908195525116483,0.08997218804847695,-0.02910976720268788,0.750560652026942
ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",12,0.2053166724229271,0.1539793689490204,-0.05133730347390671,0.7450417829361995
identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",12,0.29002831916261046,0.21709114574878882,-0.07293717341382162,0.7436166559904446
ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",12,0.2511220054608411,0.18790310240811292,-0.06321890305272822,0.7433555269722484
identity_only,"identity_only (k=1, P=0, MSP=0)",12,0.3550744936559554,0.26559910272342196,-0.08947539093253341,0.743115909272833
