sample_id,length,local_mode,weight_name,weight_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,selective_sensitivity_ratio_valid,n_features
L69_center_00005,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.014287366012209838,0.02307597012636166,0.00878860411415182,1.615131165999469,True,222
L69_center_00006,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.016530648682229723,0.02224595534438212,0.005715306662152399,1.3457400112976992,True,222
L69_center_00007,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.013532227698777495,0.022829600837589104,0.00929737313881161,1.687054145538176,True,222
L69_center_00008,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.023304203561603617,0.020239659886507538,-0.003064543675096079,0.8684982446623806,True,222
L69_center_00009,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.017483443303114455,0.019823358495662913,0.002339915192548458,1.133836061465743,True,222
L69_center_00010,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.01042551491247331,0.019929409404722657,0.009503894492249346,1.9115995298111061,True,222
L69_center_00011,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.014431180668925478,0.023167623065060414,0.008736442396134936,1.6053865304969144,True,222
L69_center_00012,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.011306735164958837,0.01959823679516706,0.008291501630208222,1.7333241213524442,True,222
L69_center_00013,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.01942680386252401,0.019476264830564385,4.9460968040374725e-05,1.0025460167503821,True,222
L69_center_00014,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.015836873241641455,0.019120574456766404,0.003283701215124949,1.207345298849194,True,222
L69_center_00015,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.02112665332402465,0.018346196549736668,-0.0027804567742879815,0.8683910446371493,True,222
L69_center_00016,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.020213949150675033,0.020186031408324794,-2.791774235023914e-05,0.9986188872771896,True,222
L69_center_00017,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.01812153387573331,0.020779053633790456,0.0026575197580571454,1.1466498242522312,True,222
L69_center_00018,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.015940575628780772,0.020538282374122203,0.004597706745341431,1.2884278994944356,True,222
L69_center_00019,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.014024811686150903,0.017794005261303644,0.00376919357515274,1.2687518135359144,True,222
L69_center_00020,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.0056383683681535,0.020212710922619094,0.014574342554465594,3.5848510779792346,True,222
L69_center_00021,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.017720292616823046,0.018651391148691986,0.0009310985318689395,1.052544196193746,True,222
L69_center_00022,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.01864577502591854,0.021192635084952945,0.002546860059034404,1.1365918046042143,True,222
L69_center_00023,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.020028497058171453,0.021070752827537887,0.001042255769366434,1.0520386410592502,True,222
L69_center_00024,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.0178951821404088,0.022994946931782605,0.005099764791373803,1.2849797644617493,True,222
L69_center_00025,69,center,property_only,"property_only (k=0, P=1, MSP=1)",0.013855566735036424,0.022342947045877772,0.008487380310841348,1.612561035802267,True,222
