split,classifier,accuracy,macro_f1,length,local_mode,weight_name,weight_label,n_samples,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.7700000000000001,0.7696628223353592,69,right,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.027568097504180468,0.027532102170626765
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.011661903789690611,0.011673165031177182
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.011661903789690611,0.011673165031177182
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.011661903789690611,0.011673165031177182
holdout,logistic,0.8988095238095238,0.8987198127593177,100,center,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9119999999999999,0.9118676515654874,100,center,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.03310589071449369,0.03320658142088433
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.982,0.981990993815106,100,center,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.007483314773547889,0.007492410306373802
holdout,logistic,0.9226190476190477,0.9226163058498389,100,center,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9259999999999999,0.9259409239100428,100,center,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.02653299832284318,0.02659116955136928
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.007483314773547889,0.007493695086588851
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.007483314773547889,0.007493695086588851
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.007483314773547889,0.007493695086588851
holdout,logistic,0.9583333333333334,0.958331856996067,100,jittered,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9399999999999998,0.9398941496896447,100,jittered,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.012649110640673493,0.01266953387134547
holdout,logistic,0.9464285714285714,0.9464114832535885,100,jittered,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.946,0.9459112164805124,100,jittered,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.013564659966250496,0.013597071043727281
holdout,logistic,0.9702380952380952,0.9702286018075492,100,jittered,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9460000000000001,0.9459098475933019,100,jittered,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.016248076809271893,0.016326829305584527
holdout,logistic,0.9940476190476191,0.9940474081422952,100,jittered,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9719999999999999,0.9719827877102197,100,jittered,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.007483314773547889,0.00748791839453844
holdout,logistic,0.9940476190476191,0.9940474081422952,100,jittered,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9719999999999999,0.9719827877102197,100,jittered,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.007483314773547889,0.00748791839453844
holdout,logistic,0.9940476190476191,0.9940474081422952,100,jittered,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.9719999999999999,0.9719827877102197,100,jittered,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.007483314773547889,0.00748791839453844
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9440000000000002,0.9439410771899801,100,left,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.025768197453450225,0.02582148443660233
holdout,logistic,0.9821428571428571,0.9821371610845295,100,left,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.984,0.9839947980392276,100,left,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.00489897948556636,0.004902410290512393
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9620000000000001,0.9619717770002605,100,left,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.01720465053408523,0.017221780038555363
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.0040000000000000036,0.004002801240508269
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.0040000000000000036,0.004002801240508269
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.0040000000000000036,0.004002801240508269
holdout,logistic,0.9761904761904762,0.9761904761904762,100,right,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9559999999999998,0.9559209725139108,100,right,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.013564659966250548,0.013628137278632336
holdout,logistic,0.9940476190476191,0.9940474081422952,100,right,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9879999999999999,0.9879927944753639,100,right,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.011661903789690613,0.011671310656271255
holdout,logistic,0.9821428571428571,0.9821422244268858,100,right,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.958,0.9579043179045599,100,right,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.014696938456699083,0.014774455455728834
holdout,logistic,1.0,1.0,100,right,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.99,0.989997799299738,100,right,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.006324555320336764,0.006327086325664201
holdout,logistic,1.0,1.0,100,right,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.99,0.989997799299738,100,right,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.006324555320336764,0.006327086325664201
holdout,logistic,1.0,1.0,100,right,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.99,0.989997799299738,100,right,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.006324555320336764,0.006327086325664201
holdout,logistic,0.9821428571428571,0.9821371610845295,150,center,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.968,0.9679442335490933,150,center,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.014696938456699083,0.014776768256046876
holdout,logistic,0.9642857142857143,0.9642401021711366,150,center,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9800000000000001,0.9799691324389765,150,center,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.017888543819998333,0.017933382007483036
holdout,logistic,0.9642857142857143,0.9642401021711366,150,center,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.968,0.9679442335490933,150,center,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.014696938456699083,0.014776768256046876
holdout,logistic,0.9940476190476191,0.9940474081422952,150,center,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879927944753639,150,center,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.011661903789690611,0.011671310656271255
holdout,logistic,0.9940476190476191,0.9940474081422952,150,center,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879927944753639,150,center,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.011661903789690611,0.011671310656271255
holdout,logistic,0.9940476190476191,0.9940474081422952,150,center,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879927944753639,150,center,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.011661903789690611,0.011671310656271255
holdout,logistic,0.9880952380952381,0.9880935506732813,150,jittered,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.982,0.9819729366630984,150,jittered,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.017204650534085267,0.01725127338534565
holdout,logistic,0.9345238095238095,0.9345029239766082,150,jittered,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.944,0.943910848173552,150,jittered,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.021540659228537984,0.02159965533533759
holdout,logistic,0.9880952380952381,0.9880935506732813,150,jittered,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.982,0.9819729366630984,150,jittered,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.017204650534085267,0.01725127338534565
holdout,logistic,1.0,1.0,150,jittered,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,jittered,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,1.0,1.0,150,jittered,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
