retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,weight_name,weight_label,count_weight,property_weight,msp_weight,n_pairs,n_features
1.0,0.9457218703785647,0.928736729384821,0.3275241538168879,0.3775268583895443,0.21181634095453655,1.0,69,local_mismatch_6bp,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9905856011296743,0.9874399188466251,0.1363996096239419,0.15849308048308614,0.03752614059249717,1.0,69,local_mismatch_6bp,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.979729905126683,0.9302111017775424,0.14312095609456843,0.37354179175042185,0.3673206281557423,1.0,69,short_indel,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
1.0,0.9999370335699789,0.9997973894863794,0.007997913595530674,0.020129370246000155,0.0009545925335838867,1.0,69,short_indel,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9898613772686583,0.9650902220858628,0.10122079017794307,0.26419191071886183,0.18405966643901722,1.0,69,short_indel,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9932013240888805,0.9766238285458804,0.08291459411139544,0.21619310851547102,0.12461076212866143,1.0,69,short_indel,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9864656146077817,0.9534174651617116,0.11695826480605107,0.3051827180412916,0.2459847481443031,1.0,69,short_indel,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9976917970762795,0.9920947374686603,0.04835702844844152,0.12572926952353508,0.043534323165662615,1.0,69,short_indel,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9783719460795532,0.9278902195053311,0.1417921692034039,0.37976144502769865,0.36019314412392056,1.0,75,substitution_1pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
1.0,0.9999609082135898,0.9998546712065486,0.005981498514789363,0.017048451060248437,0.0010275528361708296,1.0,75,substitution_1pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9891808140524204,0.9639256672460386,0.10030088660257848,0.2686043486691666,0.18058109168055766,1.0,75,substitution_1pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
