representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
hybrid_ckmer5_csp,mlp,127,2,630,0.46153846153846156,0.4484848484848485,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,174,4,508,0.32075471698113206,0.30310160427807487,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,logistic,174,4,508,0.32075471698113206,0.2965165796048149,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,mlp,174,4,508,0.2830188679245283,0.20953598830836684,within_genus_species,Candida,69,clean,label
ckmer7_count_l2,nearest_centroid,174,4,4649,0.33962264150943394,0.33673271173271174,within_genus_species,Candida,69,clean,label
ckmer7_count_l2,logistic,174,4,4649,0.33962264150943394,0.28340955284552843,within_genus_species,Candida,69,clean,label
ckmer7_count_l2,mlp,174,4,4649,0.2830188679245283,0.269017094017094,within_genus_species,Candida,69,clean,label
cspaced_count_l2,nearest_centroid,174,4,136,0.16981132075471697,0.1323529411764706,within_genus_species,Candida,69,clean,label
cspaced_count_l2,logistic,174,4,136,0.22641509433962265,0.20178905762429789,within_genus_species,Candida,69,clean,label
cspaced_count_l2,mlp,174,4,136,0.20754716981132076,0.20880688687914106,within_genus_species,Candida,69,clean,label
cspaced_property_l2,nearest_centroid,174,4,147,0.16981132075471697,0.12983193277310925,within_genus_species,Candida,69,clean,label
cspaced_property_l2,logistic,174,4,147,0.22641509433962265,0.17443064182194618,within_genus_species,Candida,69,clean,label
cspaced_property_l2,mlp,174,4,147,0.3018867924528302,0.26564487281399046,within_genus_species,Candida,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,174,4,655,0.32075471698113206,0.311984126984127,within_genus_species,Candida,69,clean,label
hybrid_ckmer5_csp,logistic,174,4,655,0.24528301886792453,0.2217948717948718,within_genus_species,Candida,69,clean,label
hybrid_ckmer5_csp,mlp,174,4,655,0.2641509433962264,0.25213307563579795,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,nearest_centroid,125,2,502,0.5526315789473685,0.4933333333333333,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,logistic,125,2,502,0.6052631578947368,0.5691609977324263,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,mlp,125,2,502,0.5526315789473685,0.5117157974300831,target_background,Candida,69,clean,target_binary
ckmer7_count_l2,nearest_centroid,125,2,3918,0.6052631578947368,0.4317048853439681,target_background,Candida,69,clean,target_binary
ckmer7_count_l2,logistic,125,2,3918,0.5789473684210527,0.4176245210727969,target_background,Candida,69,clean,target_binary
ckmer7_count_l2,mlp,125,2,3918,0.39473684210526316,0.3909407665505227,target_background,Candida,69,clean,target_binary
cspaced_count_l2,nearest_centroid,125,2,136,0.4473684210526316,0.4376321353065539,target_background,Candida,69,clean,target_binary
cspaced_count_l2,logistic,125,2,136,0.47368421052631576,0.4602272727272727,target_background,Candida,69,clean,target_binary
cspaced_count_l2,mlp,125,2,136,0.4473684210526316,0.4145267791636097,target_background,Candida,69,clean,target_binary
cspaced_property_l2,nearest_centroid,125,2,147,0.4473684210526316,0.4376321353065539,target_background,Candida,69,clean,target_binary
cspaced_property_l2,logistic,125,2,147,0.4473684210526316,0.4376321353065539,target_background,Candida,69,clean,target_binary
cspaced_property_l2,mlp,125,2,147,0.47368421052631576,0.47368421052631576,target_background,Candida,69,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,125,2,649,0.5789473684210527,0.5128205128205128,target_background,Candida,69,clean,target_binary
hybrid_ckmer5_csp,logistic,125,2,649,0.6578947368421053,0.6125490196078431,target_background,Candida,69,clean,target_binary
hybrid_ckmer5_csp,mlp,125,2,649,0.6052631578947368,0.4317048853439681,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,214,5,508,0.2153846153846154,0.2158391367087019,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,logistic,214,5,508,0.15384615384615385,0.1518787878787879,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,mlp,214,5,508,0.23076923076923078,0.20490015360983102,within_genus_species,Enterobacter,69,clean,label
ckmer7_count_l2,nearest_centroid,214,5,5729,0.26153846153846155,0.22933822372379323,within_genus_species,Enterobacter,69,clean,label
ckmer7_count_l2,logistic,214,5,5729,0.23076923076923078,0.21776756082760979,within_genus_species,Enterobacter,69,clean,label
ckmer7_count_l2,mlp,214,5,5729,0.2,0.16349927849927848,within_genus_species,Enterobacter,69,clean,label
cspaced_count_l2,nearest_centroid,214,5,136,0.2,0.19687848383500556,within_genus_species,Enterobacter,69,clean,label
cspaced_count_l2,logistic,214,5,136,0.2,0.1968829954524204,within_genus_species,Enterobacter,69,clean,label
cspaced_count_l2,mlp,214,5,136,0.2153846153846154,0.19308300395256917,within_genus_species,Enterobacter,69,clean,label
cspaced_property_l2,nearest_centroid,214,5,147,0.2,0.196308683265205,within_genus_species,Enterobacter,69,clean,label
cspaced_property_l2,logistic,214,5,147,0.16923076923076924,0.16579795146415063,within_genus_species,Enterobacter,69,clean,label
cspaced_property_l2,mlp,214,5,147,0.2153846153846154,0.1943439091265178,within_genus_species,Enterobacter,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,214,5,655,0.2153846153846154,0.21583913670870195,within_genus_species,Enterobacter,69,clean,label
hybrid_ckmer5_csp,logistic,214,5,655,0.15384615384615385,0.1540633484162896,within_genus_species,Enterobacter,69,clean,label
hybrid_ckmer5_csp,mlp,214,5,655,0.2923076923076923,0.248859160163508,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,nearest_centroid,119,2,507,0.5555555555555556,0.4763636363636364,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,logistic,119,2,507,0.5,0.4109090909090909,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,mlp,119,2,507,0.3333333333333333,0.25,target_background,Enterobacter,69,clean,target_binary
ckmer7_count_l2,nearest_centroid,119,2,4307,0.6666666666666666,0.4,target_background,Enterobacter,69,clean,target_binary
ckmer7_count_l2,logistic,119,2,4307,0.6666666666666666,0.4,target_background,Enterobacter,69,clean,target_binary
ckmer7_count_l2,mlp,119,2,4307,0.3055555555555556,0.305019305019305,target_background,Enterobacter,69,clean,target_binary
cspaced_count_l2,nearest_centroid,119,2,136,0.6111111111111112,0.5625,target_background,Enterobacter,69,clean,target_binary
cspaced_count_l2,logistic,119,2,136,0.5555555555555556,0.5,target_background,Enterobacter,69,clean,target_binary
cspaced_count_l2,mlp,119,2,136,0.5833333333333334,0.3684210526315789,target_background,Enterobacter,69,clean,target_binary
cspaced_property_l2,nearest_centroid,119,2,147,0.5833333333333334,0.520851818988465,target_background,Enterobacter,69,clean,target_binary
