length,condition,condition_label,method,pattern,cardinality,span,role,add_property,n_pairs,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1,n_features
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-3-6,4,7,primary four-position scan,False,240,0.8988942764932741,0.8683729387625687,0.446529690258159,0.5130824937747377,1.0,136
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-3-6,4,7,primary four-position scan,True,240,0.9890704161976219,0.9854735893410108,0.14681745522962536,0.17044887332715428,1.0,147
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-4-6,4,7,primary four-position scan,False,240,0.899517838563989,0.8623466014136012,0.44472343493304495,0.5246968544994421,1.0,136
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-4-6,4,7,primary four-position scan,True,240,0.9891386333032604,0.9850411013778587,0.14621167186311754,0.17296747657613004,1.0,147
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-4-7,4,8,primary four-position scan,False,240,0.8889619501359997,0.8515045854380547,0.46733858747449447,0.5449686205171194,1.0,136
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-4-7,4,8,primary four-position scan,True,240,0.9880112261505649,0.9835833557070103,0.15356963793899367,0.1811995058789279,1.0,147
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-5-7,4,8,primary four-position scan,False,240,0.8875494483225776,0.8475592423107493,0.4704804063360084,0.552160355157409,1.0,136
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-5-7,4,8,primary four-position scan,True,240,0.9878627481229476,0.9830517821146144,0.15458176026766532,0.18410982812529786,1.0,147
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-5-8,4,9,primary four-position scan,False,240,0.8782256270142175,0.8336495580109764,0.48942942647156945,0.5768018842192806,1.0,136
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-5-8,4,9,primary four-position scan,True,240,0.9868413257875375,0.9819439416598409,0.16083558443979534,0.19003185160966216,1.0,147
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-3-5-8,4,9,primary four-position scan,False,240,0.8780314155825502,0.8315097524166092,0.489653158496569,0.580498963971927,1.0,136
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-3-5-8,4,9,primary four-position scan,True,240,0.9868282271607985,0.981718634084125,0.1608833123723973,0.19121381212306085,1.0,147
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-3-6-9,4,10,primary four-position scan,False,240,0.8690873744481291,0.8126727875588746,0.5058676965161232,0.6120902092236379,1.0,136
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-3-6-9,4,10,primary four-position scan,True,240,0.9858827921635942,0.9799711159631933,0.16613827815121862,0.20014427427432002,1.0,147
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-2-3-4,5,5,cardinality sanity check,False,240,0.8875929611463588,0.8620034919249242,0.47188403254796274,0.5253500949753963,1.0,512
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-2-3-4,5,5,cardinality sanity check,True,240,0.9878345024027321,0.9850567851597768,0.15515729514745719,0.17287673320936225,1.0,523
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-3-6-9,5,10,cardinality sanity check,False,240,0.8194915115197176,0.7780780201274211,0.5967405259176543,0.666216150918875,1.0,512
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-3-6-9,5,10,cardinality sanity check,True,240,0.980553611022801,0.9750725059415994,0.19581505199925042,0.22328229113640338,1.0,523
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-4-6-8,5,9,cardinality sanity check,False,240,0.8343154800137247,0.7932387001741327,0.5718680640852085,0.6430571713151468,1.0,512
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-4-6-8,5,9,cardinality sanity check,True,240,0.9821431831152821,0.9767837613596172,0.18769773450637803,0.21548191116186827,1.0,523
