length,condition,condition_label,method,pattern,cardinality,span,role,add_property,n_pairs,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1,n_features
69,substitution_1pct,1% substitution,canonical spaced,0-2-4,3,5,cardinality sanity check,False,240,0.9903504892607854,0.9666784387860888,0.09812442545241186,0.2581522639698052,1.0,32
69,substitution_1pct,1% substitution,canonical spaced + property,0-2-4,3,5,cardinality sanity check,True,240,0.9989529640608562,0.9965013683906934,0.03231302212026596,0.08364964523769919,1.0,43
69,substitution_1pct,1% substitution,canonical spaced,0-3-6,3,7,cardinality sanity check,False,240,0.9900213376210966,0.9659213086974939,0.09933247428188446,0.26106742675411504,1.0,32
69,substitution_1pct,1% substitution,canonical spaced + property,0-3-6,3,7,cardinality sanity check,True,240,0.9989166382947813,0.9961851130300381,0.03273523034331357,0.08734810360311544,1.0,43
69,substitution_1pct,1% substitution,canonical spaced,0-1-2-3,4,4,primary four-position scan,False,240,0.9755816363586298,0.9158372308514164,0.1565609383152257,0.41027495328483415,1.0,136
69,substitution_1pct,1% substitution,canonical spaced + property,0-1-2-3,4,4,primary four-position scan,True,240,0.9973684218761657,0.9910117033489906,0.0513377312305112,0.1340764645771281,1.0,147
69,substitution_1pct,1% substitution,canonical spaced,0-1-3-6,4,7,primary four-position scan,False,240,0.9735256928538509,0.9122737478962583,0.16336377971814667,0.4188703565015315,1.0,136
69,substitution_1pct,1% substitution,canonical spaced + property,0-1-3-6,4,7,primary four-position scan,True,240,0.9971485857529878,0.9905501688588335,0.05354928546633784,0.13747580192764702,1.0,147
69,substitution_1pct,1% substitution,canonical spaced,0-2-4-6,4,7,primary four-position scan,False,240,0.9741371209852475,0.9129960354349129,0.16134584108365288,0.41714124513615436,1.0,136
69,substitution_1pct,1% substitution,canonical spaced + property,0-2-4-6,4,7,primary four-position scan,True,240,0.9972125455653311,0.9910102234725866,0.052906914251543036,0.13408774991702538,1.0,147
69,substitution_1pct,1% substitution,canonical spaced,0-1-4-7,4,8,primary four-position scan,False,240,0.9738008528341214,0.9130508826156244,0.16252773856681582,0.4170055014835043,1.0,136
69,substitution_1pct,1% substitution,canonical spaced + property,0-1-4-7,4,8,primary four-position scan,True,240,0.9971812467013831,0.9904917459289491,0.053270704729826125,0.13790010793430998,1.0,147
69,substitution_1pct,1% substitution,canonical spaced,0-2-5-7,4,8,primary four-position scan,False,240,0.9739124324681977,0.9089587002803527,0.16209242413792743,0.4267092674838431,1.0,136
69,substitution_1pct,1% substitution,canonical spaced + property,0-2-5-7,4,8,primary four-position scan,True,240,0.9971820003635873,0.9901136348602358,0.05318056584077651,0.14061553973399907,1.0,147
69,substitution_1pct,1% substitution,canonical spaced,0-2-5-8,4,9,primary four-position scan,False,240,0.9730416393228267,0.9074872736738332,0.16427676643323633,0.4301456425987737,1.0,136
69,substitution_1pct,1% substitution,canonical spaced + property,0-2-5-8,4,9,primary four-position scan,True,240,0.9970914102911782,0.9901693472359866,0.05387676958424416,0.14021854378290408,1.0,147
69,substitution_1pct,1% substitution,canonical spaced,0-3-5-8,4,9,primary four-position scan,False,240,0.9731659696314369,0.9154077458044281,0.16441894608705512,0.4113200591400064,1.0,136
69,substitution_1pct,1% substitution,canonical spaced + property,0-3-5-8,4,9,primary four-position scan,True,240,0.9971004108061176,0.9903077246200249,0.05394102888969164,0.1392284119810411,1.0,147
69,substitution_1pct,1% substitution,canonical spaced,0-3-6-9,4,10,primary four-position scan,False,240,0.9732821147519164,0.9084793587104745,0.16366918506196673,0.4278318680734754,1.0,136
69,substitution_1pct,1% substitution,canonical spaced + property,0-3-6-9,4,10,primary four-position scan,True,240,0.9971177222203792,0.9896540737373293,0.05367917380977119,0.14384617272208705,1.0,147
69,substitution_1pct,1% substitution,canonical spaced,0-1-2-3-4,5,5,cardinality sanity check,False,240,0.9570454239059619,0.8595821287824641,0.20772583233309475,0.5299393252586369,1.0,512
69,substitution_1pct,1% substitution,canonical spaced + property,0-1-2-3-4,5,5,cardinality sanity check,True,240,0.9953727276355887,0.9846495859010226,0.06805617081155599,0.17521644967124525,1.0,523
69,substitution_1pct,1% substitution,canonical spaced,0-1-3-6-9,5,10,cardinality sanity check,False,240,0.9570684005358293,0.8552322892931392,0.20798862735137616,0.5380849566034261,1.0,512
69,substitution_1pct,1% substitution,canonical spaced + property,0-1-3-6-9,5,10,cardinality sanity check,True,240,0.9953693061014927,0.9848849370721438,0.06817726893209425,0.17386725983156548,1.0,523
69,substitution_1pct,1% substitution,canonical spaced,0-2-4-6-8,5,9,cardinality sanity check,False,240,0.9568521294139851,0.8610495562411585,0.20802607830562264,0.5271617121633367,1.0,512
69,substitution_1pct,1% substitution,canonical spaced + property,0-2-4-6-8,5,9,cardinality sanity check,True,240,0.995351687615072,0.984693540065306,0.06816062593458959,0.17496544723302254,1.0,523
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-2,3,3,cardinality sanity check,False,240,0.9673330829062695,0.9471297599527481,0.2518245594455156,0.3251776003753767,1.0,32
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-2,3,3,cardinality sanity check,True,240,0.9963609488542863,0.9942327398581808,0.08407743085138754,0.10739878698021717,1.0,43
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-4,3,5,cardinality sanity check,False,240,0.9546079799509086,0.9318687558334774,0.2973262685821049,0.36913483650638385,1.0,32
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-4,3,5,cardinality sanity check,True,240,0.995001185780061,0.9924352951581135,0.09870242243720329,0.12300163270183703,1.0,43
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-3-6,3,7,cardinality sanity check,False,240,0.9428209677242686,0.9077211071270804,0.3328511209418757,0.429601885087915,0.9958333333333333,32
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-3-6,3,7,cardinality sanity check,True,240,0.9937348623563425,0.9900380923815707,0.11022939758408223,0.14115168499828062,1.0,43
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-2-3,4,4,primary four-position scan,False,240,0.9217149577763813,0.895340560610145,0.3930714838813383,0.4575137949462887,1.0,136
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-2-3,4,4,primary four-position scan,True,240,0.9914682019580315,0.9885696530826918,0.1298001472184272,0.15119749276595776,1.0,147
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-3-6,4,7,primary four-position scan,False,240,0.88901322026195,0.852761569235065,0.4677014391651351,0.5426572200856298,1.0,136
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-3-6,4,7,primary four-position scan,True,240,0.9879324896992085,0.9839298440471839,0.15417337351195176,0.17927706457854445,1.0,147
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-4-6,4,7,primary four-position scan,False,240,0.8877834621091323,0.852608047280817,0.4700925174403517,0.5429400440421919,1.0,136
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-4-6,4,7,primary four-position scan,True,240,0.9878161960338796,0.9836475798542181,0.15489471237502858,0.18084477672734448,1.0,147
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-4-7,4,8,primary four-position scan,False,240,0.8766346266304836,0.8335026987009616,0.4922506742755942,0.5770563061701242,1.0,136
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-4-7,4,8,primary four-position scan,True,240,0.9866117333678948,0.9818566316755488,0.16215076024307654,0.19049076945528173,1.0,147
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-5-7,4,8,primary four-position scan,False,240,0.8773405839067328,0.8291218542913575,0.4907340821564728,0.5845991141876578,1.0,136
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-5-7,4,8,primary four-position scan,True,240,0.9866679992745628,0.9813717206030035,0.1617135525756548,0.193019580527808,1.0,147
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-5-8,4,9,primary four-position scan,False,240,0.8699882049891915,0.8234329760779859,0.5056306032689463,0.5942506608472362,1.0,136
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-5-8,4,9,primary four-position scan,True,240,0.9858930559248699,0.9806968823886381,0.1665305202695976,0.19648467811861556,1.0,147
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-3-5-8,4,9,primary four-position scan,False,240,0.8681605981639542,0.8188977316015337,0.5084487876432967,0.6018343031336766,1.0,136
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-3-5-8,4,9,primary four-position scan,True,240,0.985697141248653,0.9804393200114796,0.16744777034676595,0.19779119528763722,1.0,147
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-3-6-9,4,10,primary four-position scan,False,240,0.8594014532772509,0.8021278221265253,0.5242202801057727,0.6290805430146955,1.0,136
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-3-6-9,4,10,primary four-position scan,True,240,0.9847412463376071,0.9783308487927359,0.1726356907698986,0.2081785265322254,1.0,147
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-2-3-4,5,5,cardinality sanity check,False,240,0.8776810446705182,0.8483595845862448,0.49227289730096485,0.5507093782175094,1.0,512
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-2-3-4,5,5,cardinality sanity check,True,240,0.9867213650050198,0.9832759054286672,0.1621673836932801,0.18288813114227612,1.0,523
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-3-6-9,5,10,cardinality sanity check,False,240,0.8115378387960661,0.760526840340389,0.6090490027256686,0.6920592851081918,1.0,512
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-3-6-9,5,10,cardinality sanity check,True,240,0.9795856137131221,0.9731045997126041,0.20035880037418305,0.23192841218088464,1.0,523
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-4-6-8,5,9,cardinality sanity check,False,240,0.8234279395385483,0.7763639272435378,0.589819875662311,0.6687837540669095,1.0,512
69,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-4-6-8,5,9,cardinality sanity check,True,240,0.980875570323946,0.9751637045461329,0.19403672871649721,0.2228733539499109,1.0,523
75,N_3pct,3% N mask,canonical spaced,0-1-2,3,3,cardinality sanity check,False,240,0.9895686664591099,0.9830576046930866,0.14192085242965286,0.18407794307535644,1.0,32
75,N_3pct,3% N mask,canonical spaced + property,0-1-2,3,3,cardinality sanity check,True,240,0.9973226365498477,0.9966654393755696,0.07299471369746774,0.08166468659923258,1.0,43
75,N_3pct,3% N mask,canonical spaced,0-2-4,3,5,cardinality sanity check,False,240,0.9888289233541546,0.9817473609622724,0.14678372485837426,0.19106351166261912,1.0,32
75,N_3pct,3% N mask,canonical spaced + property,0-2-4,3,5,cardinality sanity check,True,240,0.9972458697917654,0.9965311679602383,0.0739946145706726,0.08329262282276814,1.0,43
75,N_3pct,3% N mask,canonical spaced,0-3-6,3,7,cardinality sanity check,False,240,0.98856996138524,0.979199310671876,0.148224843100288,0.20396368604552176,1.0,32
75,N_3pct,3% N mask,canonical spaced + property,0-3-6,3,7,cardinality sanity check,True,240,0.9972154681689177,0.9962287226809535,0.07438779044268035,0.08684774129467614,1.0,43
