cardinality,role,n_patterns,n_stability_cells,min_features,median_features,max_features,mean_paired_cosine,min_paired_cosine,max_paired_cosine,mean_l2_delta,mean_retrieval_top1
3,cardinality sanity check,3,18,43,43.0,43,0.9971237513810524,0.9937348623563425,0.9991499179667716,0.06757765010257565,0.9997685185185186
4,primary four-position scan,8,48,147,147.0,147,0.9931700760456715,0.9847412463376071,0.9975214968780544,0.10377160398132466,1.0
5,cardinality sanity check,3,18,523,523.0,523,0.9901071928577889,0.9795856137131221,0.9956065728536321,0.12557242979498523,1.0
