sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L69_center_00070,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3942636878361687,136
L69_center_00071,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3995395969903197,136
L69_center_00072,69,center,ck4,CK4,dispersed_random,dispersed,random,0.323993059913773,136
L69_center_00073,69,center,ck4,CK4,dispersed_random,dispersed,random,0.44190183641058267,136
L69_center_00074,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3865900819941633,136
L69_center_00075,69,center,ck4,CK4,dispersed_random,dispersed,random,0.31381232220005373,136
L69_center_00076,69,center,ck4,CK4,dispersed_random,dispersed,random,0.34287345611263476,136
L69_center_00077,69,center,ck4,CK4,dispersed_random,dispersed,random,0.37592461747527545,136
L69_center_00078,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4238347446394493,136
L69_center_00079,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4398226310670825,136
L69_center_00080,69,center,ck4,CK4,dispersed_random,dispersed,random,0.42418979151653297,136
L69_center_00081,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4211356625464837,136
L69_center_00082,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3689706316840182,136
L69_center_00083,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4211029323752247,136
L69_center_00084,69,center,ck4,CK4,dispersed_random,dispersed,random,0.437952812590876,136
L69_center_00085,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39790145772965674,136
L69_center_00086,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4214156539482266,136
L69_center_00087,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41256849850351734,136
L69_center_00088,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39179673879351173,136
L69_center_00089,69,center,ck4,CK4,dispersed_random,dispersed,random,0.42418979151653297,136
L69_center_00090,69,center,ck4,CK4,dispersed_random,dispersed,random,0.2886751345948129,136
L69_center_00091,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39999999999999997,136
L69_center_00092,69,center,ck4,CK4,dispersed_random,dispersed,random,0.32576146110642096,136
L69_center_00093,69,center,ck4,CK4,dispersed_random,dispersed,random,0.31451028200169434,136
L69_center_00094,69,center,ck4,CK4,dispersed_random,dispersed,random,0.475982755993532,136
L69_center_00095,69,center,ck4,CK4,dispersed_random,dispersed,random,0.37796447300922714,136
L69_center_00096,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3868157788995369,136
L69_center_00097,69,center,ck4,CK4,dispersed_random,dispersed,random,0.32901153193317956,136
L69_center_00098,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3379914221132525,136
L69_center_00099,69,center,ck4,CK4,dispersed_random,dispersed,random,0.44671623082078904,136
L69_center_00100,69,center,ck4,CK4,dispersed_random,dispersed,random,0.414653261313358,136
L69_center_00101,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41465326131335806,136
L69_center_00102,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4050557759856631,136
L69_center_00103,69,center,ck4,CK4,dispersed_random,dispersed,random,0.35739487902514994,136
L69_center_00104,69,center,ck4,CK4,dispersed_random,dispersed,random,0.36897063168401817,136
L69_center_00105,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3611575592573075,136
L69_center_00106,69,center,ck4,CK4,dispersed_random,dispersed,random,0.42277690431974174,136
L69_center_00107,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3779644730092272,136
L69_center_00108,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4303652598382903,136
L69_center_00109,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4120660855599384,136
L69_center_00110,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3865900819941633,136
L69_center_00111,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4258502413745205,136
L69_center_00112,69,center,ck4,CK4,dispersed_random,dispersed,random,0.420084025208403,136
L69_center_00113,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41949419718211917,136
L69_center_00114,69,center,ck4,CK4,dispersed_random,dispersed,random,0.40505577598566306,136
L69_center_00115,69,center,ck4,CK4,dispersed_random,dispersed,random,0.34952596154202475,136
L69_center_00116,69,center,ck4,CK4,dispersed_random,dispersed,random,0.30151134457776363,136
