contrast,target,paired_unit,n_cells,full_mean,comparator_mean,mean_macro_f1_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,wilcoxon_two_sided_p,bh_q
K | P+MSP,spatial_pattern,length+local_mode,12,0.9764705984914608,0.965763202842825,0.010707395648636034,-0.00035800266195872184,0.023869363377207572,0.17626953125,0.17626953125
K | P+MSP,chemistry,length+local_mode,12,0.7091762146595469,0.7591608288097166,-0.04998461415016953,-0.06132139402432117,-0.03901446475224343,0.00048828125,0.0009765625
P | CK4+MSP,spatial_pattern,length+local_mode,12,0.9764705984914608,0.974965740477379,0.0015048580140818446,8.451463733266315e-05,0.0032558218658386793,0.130859375,0.15703125
P | CK4+MSP,chemistry,length+local_mode,12,0.7091762146595469,0.6845453611336382,0.024630853525908908,0.008338314133303057,0.04095578674942065,0.0341796875,0.05126953125
MSP | CK4+P,spatial_pattern,length+local_mode,12,0.9764705984914608,0.9093365489380405,0.06713404955342048,0.03543755467704773,0.10232525098827944,0.00048828125,0.0009765625
MSP | CK4+P,chemistry,length+local_mode,12,0.7091762146595469,0.6191444756030614,0.09003173905648554,0.05435176671601126,0.13141196587012596,0.00048828125,0.0009765625
