comparator,n_targets,mean_absolute_f1_difference,absolute_target_bootstrap_ci_low,absolute_target_bootstrap_ci_high,absolute_target_wilcoxon_p,n_targets_absolute_favour_ck4p_msp,mean_relative_drop_difference,relative_target_bootstrap_ci_low,relative_target_bootstrap_ci_high,relative_target_wilcoxon_p,n_targets_relative_favour_ck4p_msp,absolute_target_wilcoxon_q,relative_target_wilcoxon_q
ck4,6,-9.476036963222458e-05,-0.0042558153760376945,0.00416714976743513,1.0,3,0.0069211870815947055,0.0011392069778672655,0.012671256064744634,0.15625,4,1.0,0.4166666666666667
ck4_msp,6,0.0001308165905924974,-0.0018751734886068823,0.002224843813562585,0.84375,3,0.00213168315887143,-0.0008656912475198366,0.0050326278271291885,0.3125,4,0.9642857142857143,0.5
ck4_p,6,-0.0010156131368092892,-0.0021434584993666253,0.00017108104894098162,0.21875,2,0.000832792993245258,-0.0015203359388942005,0.002904485243726683,0.5625,4,0.4375,0.6923076923076923
ck5,6,-0.001338859789184114,-0.0036698224981465224,0.0003696121999841387,0.3125,2,-0.0004897691473351359,-0.005870570650469104,0.004782361786695615,1.0,3,0.5,1.0
hash_k15_d222,6,0.28814185149616167,0.22575507656592722,0.34720360567416053,0.03125,6,-0.022469311161437012,-0.03600528663718902,-0.011179546227869179,0.03125,0,0.1,0.1
ncp_anf,6,0.13285032150582785,0.08484685796868201,0.17837317969103808,0.03125,6,0.00948067139818475,-0.0152577912974629,0.033786488552732974,0.5625,4,0.1,0.6923076923076923
pseeiip,6,0.012033534666020295,0.0056154839578378525,0.01801413961366665,0.03125,6,0.004166033811112624,0.00030562196789848256,0.008444837581415872,0.21875,4,0.1,0.4375
pseknc_k3_l3,6,0.010156936304145827,0.005639110724154917,0.014718009351163637,0.03125,6,-0.002373638573611704,-0.007872970847430372,0.002339525192589037,0.4375,2,0.1,0.6363636363636364
