target_label,length,condition,comparator,absolute_f1_difference,absolute_ci_low,absolute_ci_high,relative_drop_difference,relative_drop_ci_low,relative_drop_ci_high
tax_434085,69,N_3pct,ck4,0.018630031037027983,0.008814223255293246,0.029180605249684605,0.03041026610226827,0.018233916774879764,0.04323880452407178
tax_434085,69,N_3pct,ck4_p,0.006749817635124056,0.0012463910946704155,0.013031872955159854,0.010938055829193494,0.0037068618029944406,0.018510836022555568
tax_434085,69,N_3pct,ck4_msp,0.014021680876936005,0.005423259557727792,0.02227903173295956,0.017800034961493294,0.0076438373615585085,0.026566769216818376
tax_434085,69,N_3pct,ck5,-0.007438230586647165,-0.020008104842556877,0.006346183162077214,0.006457760525290901,-0.007857826667210164,0.022464112289289004
tax_434085,69,N_3pct,pseknc_k3_l3,0.013599305452830501,-0.0019300968110739665,0.02779837366542382,0.008559188640322457,-0.01031570773091385,0.024924834425356205
tax_434085,69,N_3pct,ncp_anf,0.19791982916572248,0.17293859540928297,0.2237846252046099,0.004232436503138981,-0.02012821848231878,0.02957005108885838
tax_434085,69,N_3pct,pseeiip,0.027765506241450244,0.012560426979391043,0.042431557863210775,0.026155903987248874,0.008711639743289456,0.043999727383782355
tax_434085,69,N_3pct,hash_k15_d222,0.20677881026998168,0.1807916719557829,0.2351186870821217,-0.03910569939802522,-0.06569175215164065,-0.01189265118561256
tax_434085,69,clean,ck4,0.011729527435789144,0.003224127784494946,0.020299397665796165,0.02350976250102943,0.012612849643077975,0.03499222804929773
tax_434085,69,clean,ck4_p,0.001423573874819506,-0.00398098453336328,0.007026142112886142,0.005611812068888944,-0.001693294706321188,0.013342808708557549
tax_434085,69,clean,ck4_msp,0.0027583634429094728,-0.003489864508413973,0.00868277592112407,0.006536717527466762,-0.0010506064510436561,0.014438504627341144
tax_434085,69,clean,ck5,-0.0016021498436351589,-0.014522078606993633,0.010546025996472013,0.012293841268302907,-0.0036456027643234187,0.02933167971736231
tax_434085,69,clean,pseknc_k3_l3,0.01634370524945694,0.0019859841119111905,0.031177503442148178,0.011303588436948897,-0.005276735008595454,0.028562368495968906
tax_434085,69,clean,ncp_anf,0.20244864117076988,0.17739673154682387,0.22799959106441914,0.008761248508186381,-0.014694088429726623,0.03340413110142575
tax_434085,69,clean,pseeiip,0.017395545138994772,0.0016773620379030327,0.032232499601437925,0.015785942884793402,-0.0031121057197542345,0.033396970097295316
tax_434085,69,clean,hash_k15_d222,0.22228176625474638,0.1933395884972742,0.24586055757153996,-0.02360274341326052,-0.049661789138827746,0.00048388632516087733
tax_434085,69,substitution_1pct,ck4,0.007364140584409706,-0.0010193644248485591,0.016560086493931158,0.01914437564964999,0.00757657469873117,0.030747379077423802
tax_434085,69,substitution_1pct,ck4_p,-0.00027291533192119743,-0.005883683772239912,0.005615691683149432,0.0039153228621482405,-0.003191691277643685,0.012042664326114444
tax_434085,69,substitution_1pct,ck4_msp,0.0031464776946315,-0.003506728357079014,0.008825609633048395,0.006924831779188789,-0.00035406791342268684,0.014655533212400056
tax_434085,69,substitution_1pct,ck5,-0.003085701826368803,-0.015866823576624934,0.009982279326304484,0.010810289285569263,-0.0055656608120917914,0.026129570908600047
tax_434085,69,substitution_1pct,pseknc_k3_l3,0.009553189306101051,-0.005328703696663678,0.0237868934181644,0.004513072493593007,-0.011391121672162607,0.021183884883597612
tax_434085,69,substitution_1pct,ncp_anf,0.19668574852397702,0.1703971439377255,0.221744312676512,0.00299835586139352,-0.02090642993693187,0.02745805064291437
tax_434085,69,substitution_1pct,pseeiip,0.012407684051961354,-0.0036438662566868367,0.02717060825313014,0.010798081797759984,-0.009044601501253227,0.028538605285887902
tax_434085,69,substitution_1pct,hash_k15_d222,0.23619420310120198,0.20935169411171395,0.261328594597617,-0.009690306566804918,-0.037065577873819276,0.014873602457966928
tax_434085,75,N_3pct,ck4,0.006636774586323502,-0.0032764468526549043,0.016046174222294422,0.018417009651563787,0.007040613437240465,0.03000530192871018
tax_434085,75,N_3pct,ck4_p,0.0003021647476005862,-0.004859858799129651,0.00497883245442249,0.004490402941670024,-0.002015763017404395,0.011141422012535814
tax_434085,75,N_3pct,ck4_msp,0.005016373247676342,-0.0013608037056256571,0.011586428429569369,0.008794727332233632,0.0008950741480874798,0.017018687073455486
tax_434085,75,N_3pct,ck5,-0.010638065902414007,-0.022995773384428923,0.002273964619063407,0.0032579252095240596,-0.01234236277093024,0.019000445576588584
tax_434085,75,N_3pct,pseknc_k3_l3,0.0011132914333469301,-0.013362143262802415,0.015649607216069367,-0.003926825379161114,-0.020028517401886225,0.012434115742542048
tax_434085,75,N_3pct,ncp_anf,0.15472728030537375,0.12879046823107507,0.17948188941996385,-0.03896011235720975,-0.05950380646692011,-0.015951549949944983
tax_434085,75,N_3pct,pseeiip,0.014557860856840854,0.0005877716196383972,0.030511333056491736,0.012948258602639484,-0.005064261893241021,0.03073779623142303
tax_434085,75,N_3pct,hash_k15_d222,0.22989486263854075,0.2019125774634883,0.25585340833990744,-0.015989647029466147,-0.04209821909645301,0.009181229820574125
tax_434085,75,clean,ck4,0.001219454242317508,-0.007515477173893284,0.010020794896551603,0.012999689307557794,0.0021404147660140263,0.024407926338552766
tax_434085,75,clean,ck4_p,0.0009914944166317108,-0.003934292051106925,0.005894670824109384,0.005179732610701149,-0.0015953761147245503,0.01182400808657562
tax_434085,75,clean,ck4_msp,0.0014725075493194906,-0.004055788467956725,0.006846383333031241,0.00525086163387678,-0.001475916731950108,0.012273494748824582
tax_434085,75,clean,ck5,-0.004128506563698009,-0.017022353240810896,0.008400746239481597,0.009767484548240057,-0.0051102527150896195,0.02443743756385961
tax_434085,75,clean,pseknc_k3_l3,0.020291312424356334,0.0060076321140888405,0.03492874855887175,0.01525119561184829,-0.0007130891127432787,0.030969206825339105
tax_434085,75,clean,ncp_anf,0.17711849506145683,0.15188251192272126,0.20106799947010454,-0.016568897601126675,-0.03632644432617584,0.004311123627571915
tax_434085,75,clean,pseeiip,0.017897459708774877,0.0014468922953034481,0.03393850968752003,0.016287857454573507,-0.0003609087890765633,0.032388796692469614
tax_434085,75,clean,hash_k15_d222,0.23515306528275226,0.208070161649836,0.2601150448137217,-0.01073144438525464,-0.03321530834738284,0.013331032371008864
tax_434085,75,substitution_1pct,ck4,-0.0007210327969205954,-0.010490286720477643,0.008115772949779778,0.01105920226831969,-0.00028131335520779866,0.022349967634535176
tax_434085,75,substitution_1pct,ck4_p,-0.001853699333999148,-0.007202449488831375,0.003827546858483278,0.00233453886007029,-0.004427004782163618,0.00954992507883044
tax_434085,75,substitution_1pct,ck4_msp,0.00031040413745531126,-0.00554484577704312,0.006149590076533026,0.004088758222012601,-0.0034446871249829815,0.01128422616803766
tax_434085,75,substitution_1pct,ck5,-0.007526365585802108,-0.0205113932161627,0.004702184145137719,0.006369625526135958,-0.00893420870721116,0.021603038137998604
tax_434085,75,substitution_1pct,pseknc_k3_l3,0.015604650493231564,0.0005782434772256484,0.029634250530285452,0.01056453368072352,-0.006541165990165351,0.027145226807229396
tax_434085,75,substitution_1pct,ncp_anf,0.1642956623925581,0.13854205964675892,0.18883964267125827,-0.029391730270025396,-0.05091998883031513,-0.009147659467180838
tax_434085,75,substitution_1pct,pseeiip,0.01240114800504355,-0.0027747113186495057,0.02840497356156463,0.01079154575084218,-0.0072924514623383336,0.02930969754255383
tax_434085,75,substitution_1pct,hash_k15_d222,0.21047189060857308,0.1847119714043697,0.2378773267074225,-0.035412619059433825,-0.060777197461873,-0.011792189237674224
tax_434085,100,N_3pct,ck4,-0.001494492140826864,-0.009381985566026438,0.006681494231785755,0.010285742924413421,-0.00011290369691766812,0.020162799901057845
