target_label,representation,representation_label,n_features,c_value,length,condition,n_test_sources,accuracy,balanced_accuracy,mcc,macro_f1,auroc,auprc,macro_f1_ci_low,macro_f1_ci_high,baseline_macro_f1,delta_macro_f1,label_retention_ratio
tax_434085,ck4,CK4,136,1.0,69,N_3pct,2400,0.7079166666666666,0.7079166666666666,0.43371320430165594,0.7018986948145363,0.8170638888888889,0.7951372116928928,0.6833404108481032,0.7205785423165412,0.7776634113962102,-0.07576471658167394,0.9025738957608322
tax_434085,ck4,CK4,136,1.0,69,clean,2400,0.7216666666666667,0.7216666666666667,0.45112033772022125,0.7192646246109945,0.8258340277777778,0.8024627974199666,0.7016685679686889,0.7371505361899557,0.7776634113962102,-0.058398786785215706,0.924904803377123
tax_434085,ck4,CK4,136,1.0,69,substitution_1pct,2400,0.7220833333333333,0.7220833333333333,0.4520406358352615,0.7196630422619171,0.8198472222222223,0.7938689623147985,0.7034525684514487,0.7389484620113966,0.7776634113962102,-0.05800036913429307,0.925417129976374
tax_434085,ck4,CK4,136,1.0,75,N_3pct,2400,0.7225,0.7225,0.4535572040108338,0.7198824571832345,0.8235513888888889,0.7982809964719191,0.7002751472390616,0.7388847271014746,0.7776634113962102,-0.05778095421297569,0.9256992763627181
tax_434085,ck4,CK4,136,1.0,75,clean,2400,0.74375,0.74375,0.49161833685766354,0.7426767027401618,0.8354041666666666,0.8120504101964087,0.7262215367140973,0.7608322564214072,0.7776634113962102,-0.03498670865604836,0.9550104734987679
tax_434085,ck4,CK4,136,1.0,75,substitution_1pct,2400,0.7391666666666666,0.7391666666666667,0.48320675453483836,0.7378513723368987,0.8312763888888889,0.8093151798357408,0.719159543281497,0.7548539160963689,0.7776634113962102,-0.03981203905931152,0.9488055648807839
tax_434085,ck4,CK4,136,1.0,100,N_3pct,2400,0.7633333333333333,0.7633333333333334,0.5266695926169755,0.7633326759240997,0.8542555555555555,0.8363502895787295,0.7465805819756592,0.7812364715967108,0.7776634113962102,-0.0143307354721105,0.9815720589883723
tax_434085,ck4,CK4,136,1.0,100,clean,2400,0.7779166666666667,0.7779166666666666,0.5571039346812018,0.7776634113962102,0.8656180555555556,0.8472471731044624,0.7609058787810842,0.7936268922172295,0.7776634113962102,0.0,1.0
tax_434085,ck4,CK4,136,1.0,100,substitution_1pct,2400,0.7695833333333333,0.7695833333333333,0.5397338726788079,0.7694622609964434,0.8567756944444445,0.8364787154442687,0.7520029150088385,0.7853543150610275,0.7776634113962102,-0.008201150399766766,0.98945411307825
tax_434085,ck4_p,CK4+P,147,1.0,69,N_3pct,2400,0.71625,0.71625,0.4401671482148231,0.7137789082164402,0.8165270833333333,0.7950011166640046,0.6948359919687033,0.7320016119540098,0.7700714145250394,-0.056292506308599166,0.9268996287268773
