representation,representation_label,n_features,mean_baseline_macro_f1,mean_shifted_macro_f1,min_target_shifted_macro_f1,mean_retention,min_target_retention
ck5,CK5,512,0.8167126005692319,0.7947855091867813,0.6979048951972951,0.9722773995953508,0.9529329073914098
ck4_p,CK4+P,147,0.8177119160574374,0.7944622625344063,0.6982060568173651,0.9703119853001877,0.9357081535023807
ck4,CK4,136,0.8228794573786099,0.7935414097672293,0.693045718129853,0.9626630945003217,0.9250815229892172
ck4p_msp,CK4P-MSP,222,0.8158635099273829,0.793446649397597,0.6991885117109204,0.9713745369489623,0.9399387066092819
ck4_msp,CK4+MSP,211,0.8178643764956618,0.7933158328070046,0.6975258064425334,0.9686111837263739,0.9331893208601121
pseknc_k3_l3,PseKNC,67,0.8033329350496253,0.7832897130934513,0.6841477880889608,0.9738825613732178,0.9559246460010481
pseeiip,PseEIIP,64,0.8079960090724753,0.7814131147315768,0.6780200660248971,0.9654632722010484,0.9311406567482652
ncp_anf,NCP+ANF,400,0.6924938598197398,0.6605963278917693,0.5297782425195527,0.95293146384468,0.8967026002468085
hash_k15_d222,Hashed k=15,222,0.5052523472697842,0.5053047979014355,0.49885126240951505,1.0004014303050823,0.9794295438900659
