task,length,condition,model,input_name,seed,combo_seed,epoch,train_loss,val_loss
target_background,69,clean,tiny_transformer_property,property,606,2060,2,0.6916740338007609,0.7009351849555969
target_background,69,clean,tiny_transformer_property,property,606,2060,3,0.6986579100290934,0.6953855752944946
target_background,69,clean,tiny_transformer_property,property,606,2060,4,0.6959294974803925,0.6894407272338867
target_background,69,clean,tiny_transformer_property,property,606,2060,5,0.694727341334025,0.6978155970573425
target_background,69,clean,tiny_transformer_property,property,606,2060,6,0.6943138738473257,0.6838915944099426
target_background,69,clean,tiny_transformer_property,property,606,2060,7,0.6848000586032867,0.6859400868415833
target_background,69,clean,tiny_transformer_property,property,606,2060,8,0.6934335728486379,0.680350661277771
target_background,69,clean,tiny_transformer_property,property,606,2060,9,0.6908254524072012,0.6816374659538269
target_background,69,clean,tiny_transformer_property,property,606,2060,10,0.6843740244706472,0.6751863360404968
target_background,69,clean,tiny_transformer_property,property,606,2060,11,0.6908636291821798,0.6745601296424866
target_background,69,clean,tiny_transformer_property,property,606,2060,12,0.6846261421839396,0.674680233001709
target_background,69,clean,tiny_transformer_property,property,606,2060,13,0.683875153462092,0.6685323119163513
target_background,69,clean,tiny_transformer_property,property,606,2060,14,0.684014747540156,0.6678110361099243
target_background,69,clean,tiny_transformer_property,property,606,2060,15,0.6910020112991333,0.670559823513031
target_background,69,clean,tiny_transformer_property,property,606,2060,16,0.6959566871325175,0.6673431992530823
target_background,69,clean,tiny_transformer_property,property,606,2060,17,0.6721846063931783,0.6728506088256836
target_background,69,clean,tiny_transformer_property,property,606,2060,18,0.68158820271492,0.6716212630271912
target_background,69,clean,tiny_transformer_property,property,606,2060,19,0.6784414947032928,0.6654730439186096
target_background,69,clean,tiny_transformer_property,property,606,2060,20,0.67685400446256,0.66482013463974
target_background,69,clean,tiny_transformer_property,property,606,2060,21,0.6697635849316915,0.6639496684074402
target_background,69,clean,tiny_transformer_property,property,606,2060,22,0.6800057391325632,0.6703519821166992
target_background,69,clean,tiny_transformer_property,property,606,2060,23,0.6793112854162852,0.6604893803596497
target_background,69,clean,tiny_transformer_property,property,606,2060,24,0.6727870106697083,0.6621917486190796
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,1,3.0457573533058167,2.966738700866699
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,2,2.5846754908561707,2.867440938949585
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,3,2.2216081023216248,2.7739250659942627
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,4,1.8639082809289296,2.685678243637085
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,5,1.5087384283542633,2.6191892623901367
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,6,1.1734319925308228,2.57199764251709
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,7,0.8763011693954468,2.5441689491271973
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,8,0.6307075222333273,2.544173002243042
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,9,0.4485139921307564,2.559460401535034
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,10,0.3187850937247276,2.583206415176392
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,11,0.2319628285864989,2.609255075454712
global_species,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2006,12,0.174526313940684,2.6432130336761475
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,1,3.0522736310958862,3.0177011489868164
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,2,2.932902534802755,2.9748644828796387
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,3,2.8352203567822776,2.9305648803710938
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,4,2.7385762532552085,2.883711099624634
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,5,2.63977704445521,2.8354804515838623
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,6,2.540545662244161,2.7903194427490234
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,7,2.442712982495626,2.7494161128997803
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,8,2.3473536173502603,2.7161648273468018
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,9,2.256233811378479,2.686219453811645
