task,length,condition,model,family,input_name,macro_f1,accuracy,clean_macro_f1,clean_accuracy,macro_f1_drop_vs_clean,accuracy_drop_vs_clean
global_species,69,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.0950674029491763,0.1772727272727272,0.0840829026062508,0.1318181818181818,-0.010984500342925502,-0.045454545454545386
within_genus_species:Enterobacter,69,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.1736796536796536,0.2075471698113207,0.1562881562881563,0.1698113207547169,-0.017391497391497313,-0.03773584905660382
within_genus_species:Enterobacter,69,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1278569642410602,0.1886792452830188,0.1698708827404479,0.1886792452830188,0.04201391849938771,0.0
within_genus_species:Enterobacter,69,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1419047619047619,0.1698113207547169,0.3144669365721997,0.3584905660377358,0.1725621746674378,0.18867924528301894
within_genus_species:Enterobacter,69,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.0969963369963369,0.1698113207547169,0.1298474945533769,0.2075471698113207,0.03285115755704,0.03773584905660382
within_genus_species:Enterobacter,69,substitution_1pct_N_3pct,cnn_property,cnn1d,property,0.0947517730496454,0.1698113207547169,0.1384126984126984,0.2075471698113207,0.04366092536305301,0.03773584905660382
within_genus_species:Enterobacter,69,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.1480367585630743,0.2075471698113207,0.064516129032258,0.1886792452830188,-0.0835206295308163,-0.01886792452830191
within_genus_species:Enterobacter,69,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.1840993788819875,0.2264150943396226,0.1081818181818181,0.1886792452830188,-0.07591756070016939,-0.03773584905660379
target_background,75,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.5622288955622289,0.5729166666666666,0.5366388767003072,0.5416666666666666,-0.025590018861921693,-0.03125
target_background,75,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.52997497551953,0.53125,0.5508649766075508,0.5520833333333334,0.02089000108802086,0.02083333333333337
target_background,75,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.52997497551953,0.53125,0.4428571428571428,0.4583333333333333,-0.0871178326623872,-0.07291666666666669
target_background,75,N_3pct,cnn_onehot,cnn1d,onehot,0.5998244844229925,0.6041666666666666,0.5132275132275133,0.5208333333333334,-0.08659697119547927,-0.08333333333333326
target_background,75,N_3pct,cnn_property,cnn1d,property,0.5012711396042887,0.5104166666666666,0.5071428571428571,0.5208333333333334,0.005871717538568411,0.01041666666666674
target_background,75,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.4895279435702658,0.4895833333333333,0.4891352549889135,0.5,-0.000392688581352274,0.010416666666666685
target_background,75,N_3pct,tiny_transformer_property,tiny_transformer,property,0.530791788856305,0.53125,0.4352941176470588,0.4375,-0.09549767120924618,-0.09375
global_species,75,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.0761900725338732,0.0909090909090909,0.1067620660304255,0.1227272727272727,0.030571993496552305,0.0318181818181818
global_species,75,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.0854232589850848,0.1,0.090057600351718,0.1136363636363636,0.00463434136663321,0.0136363636363636
global_species,75,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.0909634143259977,0.1045454545454545,0.0775592399924531,0.0954545454545454,-0.0134041743335446,-0.009090909090909094
global_species,75,N_3pct,cnn_onehot,cnn1d,onehot,0.0925020314487765,0.1136363636363636,0.1005055143189017,0.1227272727272727,0.0080034828701252,0.009090909090909094
global_species,75,N_3pct,cnn_property,cnn1d,property,0.0885980647690219,0.1,0.126112923460603,0.1454545454545454,0.03751485869158108,0.045454545454545386
global_species,75,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.0891539809396952,0.1181818181818181,0.0965626501730188,0.1409090909090909,0.007408669233323589,0.022727272727272804
global_species,75,N_3pct,tiny_transformer_property,tiny_transformer,property,0.072490755162529,0.1136363636363636,0.0770926332934402,0.1318181818181818,0.004601878130911202,0.018181818181818202
within_genus_species:Enterobacter,75,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.0807207207207207,0.1132075471698113,0.1716666666666667,0.2264150943396226,0.09094594594594599,0.1132075471698113
within_genus_species:Enterobacter,75,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1883760683760683,0.2075471698113207,0.2325757575757575,0.2641509433962264,0.044199689199689196,0.0566037735849057
within_genus_species:Enterobacter,75,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1519813519813519,0.1698113207547169,0.2267113931072741,0.2264150943396226,0.07473004112592219,0.0566037735849057
within_genus_species:Enterobacter,75,N_3pct,cnn_onehot,cnn1d,onehot,0.3315032679738562,0.3396226415094339,0.0775757575757575,0.1509433962264151,-0.2539275103980987,-0.1886792452830188
within_genus_species:Enterobacter,75,N_3pct,cnn_property,cnn1d,property,0.1503196930946291,0.2264150943396226,0.0491228070175438,0.1320754716981132,-0.1011968860770853,-0.09433962264150939
within_genus_species:Enterobacter,75,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.1588235294117647,0.2075471698113207,0.1521739130434782,0.2075471698113207,-0.0066496163682865095,0.0
within_genus_species:Enterobacter,75,N_3pct,tiny_transformer_property,tiny_transformer,property,0.1146666666666666,0.2075471698113207,0.1445375494071146,0.2075471698113207,0.02987088274044801,0.0
target_background,75,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.510363537710255,0.5104166666666666,0.5366388767003072,0.5416666666666666,0.02627533899005219,0.03125
target_background,75,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.6334678738954947,0.6354166666666666,0.5508649766075508,0.5520833333333334,-0.0826028972879439,-0.08333333333333326
target_background,75,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.5287444092942075,0.53125,0.4428571428571428,0.4583333333333333,-0.08588726643706474,-0.07291666666666669
target_background,75,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.5414676508901433,0.5416666666666666,0.5132275132275133,0.5208333333333334,-0.028240137662630005,-0.02083333333333326
target_background,75,substitution_1pct_N_3pct,cnn_property,cnn1d,property,0.537582614540159,0.5520833333333334,0.5071428571428571,0.5208333333333334,-0.03043975739730187,-0.03125
target_background,75,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.464039408866995,0.46875,0.4891352549889135,0.5,0.025095846121918508,0.03125
target_background,75,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.5366388767003072,0.5416666666666666,0.4352941176470588,0.4375,-0.10134475905324841,-0.10416666666666663
global_species,75,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.1001218546983958,0.1181818181818181,0.1067620660304255,0.1227272727272727,0.006640211332029702,0.0045454545454546025
global_species,75,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.0907934269824289,0.1,0.090057600351718,0.1136363636363636,-0.0007358266307108952,0.0136363636363636
global_species,75,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1038112556916683,0.1227272727272727,0.0775592399924531,0.0954545454545454,-0.026252015699215203,-0.027272727272727296
global_species,75,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.0713628830088457,0.0954545454545454,0.1005055143189017,0.1227272727272727,0.029142631310055997,0.027272727272727296
global_species,75,substitution_1pct_N_3pct,cnn_property,cnn1d,property,0.0931017216270672,0.109090909090909,0.126112923460603,0.1454545454545454,0.033011201833535786,0.03636363636363639
global_species,75,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.1018121936858996,0.1590909090909091,0.0965626501730188,0.1409090909090909,-0.005249543512880803,-0.018181818181818188
global_species,75,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.0627944369077374,0.1272727272727272,0.0770926332934402,0.1318181818181818,0.014298196385702802,0.0045454545454546025
