task,label_col,length,condition,model,family,input_name,input_kind,seed,combo_seed,input_shape,n_features,density,n_samples,n_train,n_val,n_test,n_classes,epochs_ran,best_val_loss,final_train_loss,final_val_loss,accuracy,macro_f1
target_background,target_binary,69,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2067,5x69,345,0.5877989130434783,320,168,56,96,2,24,0.6855106353759766,0.694307267665863,0.6855106353759766,0.625,0.6
global_species,label,69,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2013,512,512,0.0977631241450068,731,383,128,220,21,11,2.7058420181274414,0.2311510145664215,2.8217337131500244,0.15,0.1264084426873515
global_species,label,69,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2010,147,147,0.3713299273197651,731,383,128,220,21,21,2.6142139434814453,1.3894722958405812,2.6473913192749023,0.0954545454545454,0.0880436354984795
global_species,label,69,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2013,659,659,0.1587863715906661,731,383,128,220,21,11,2.586338758468628,0.1472932671507199,2.719014883041382,0.1,0.0906040754337967
global_species,label,69,N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2013,5x69,345,0.2,731,383,128,220,21,24,2.513880729675293,2.265328903992971,2.513880729675293,0.0909090909090909,0.077573645906242
global_species,label,69,N_3pct,cnn_property,cnn1d,property,channels,606,2015,5x69,345,0.5895438053886873,731,383,128,220,21,24,2.702791213989258,2.5731868346532187,2.702791213989258,0.1363636363636363,0.094946349973624
global_species,label,69,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2026,5x69,345,0.2,731,383,128,220,21,24,2.571709156036377,2.4814425905545554,2.593459129333496,0.15,0.096275915941831
global_species,label,69,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2028,5x69,345,0.5895438053886873,731,383,128,220,21,24,2.5632665157318115,2.459719300270081,2.5671348571777344,0.1227272727272727,0.0738150028751532
within_genus_species:Enterobacter,label,69,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2260,508,508,0.1008098987626546,175,91,31,53,5,13,1.5638902187347412,0.1443727314472198,1.5766719579696655,0.1509433962264151,0.1419221129747445
within_genus_species:Enterobacter,label,69,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2257,147,147,0.3801360544217687,175,91,31,53,5,8,1.6472809314727783,1.3302212158838909,1.6510809659957886,0.2264150943396226,0.2222011385199241
within_genus_species:Enterobacter,label,69,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2260,655,655,0.1634983642311886,175,91,31,53,5,12,1.5524414777755735,0.1035912955800692,1.5727018117904663,0.2075471698113207,0.2024913733609386
within_genus_species:Enterobacter,label,69,N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2260,5x69,345,0.2,175,91,31,53,5,24,1.607972502708435,1.5174380938212078,1.608918070793152,0.1886792452830188,0.064516129032258
within_genus_species:Enterobacter,label,69,N_3pct,cnn_property,cnn1d,property,channels,606,2262,5x69,345,0.5975320910973085,175,91,31,53,5,10,1.613208889961243,1.583359162012736,1.6144614219665527,0.1698113207547169,0.06
within_genus_species:Enterobacter,label,69,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2273,5x69,345,0.2,175,91,31,53,5,7,1.6087754964828491,1.6108380158742268,1.6104357242584229,0.1698113207547169,0.0972462627852085
within_genus_species:Enterobacter,label,69,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2275,5x69,345,0.5975320910973085,175,91,31,53,5,6,1.6110053062438965,1.6174747943878174,1.6171919107437134,0.1886792452830188,0.0865071770334928
target_background,target_binary,69,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2178,512,512,0.098321533203125,320,168,56,96,2,7,0.7487316727638245,0.0768834302822748,0.909906804561615,0.4895833333333333,0.4868550234536926
target_background,target_binary,69,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2175,147,147,0.3712585034013605,320,168,56,96,2,6,0.6911386251449585,0.5104194184144338,0.6948853135108948,0.65625,0.6553149820476554
target_background,target_binary,69,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2178,659,659,0.159204286798179,320,168,56,96,2,7,0.7032859921455383,0.0494989765187104,0.8958139419555664,0.5833333333333334,0.5831524099001303
target_background,target_binary,69,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2178,5x69,345,0.2,320,168,56,96,2,24,0.6816374063491821,0.5834875404834747,0.6816374063491821,0.5833333333333334,0.5804195804195804
target_background,target_binary,69,substitution_1pct_N_3pct,cnn_property,cnn1d,property,channels,606,2180,5x69,345,0.5877898550724637,320,168,56,96,2,9,0.6912091374397278,0.6752961476643881,0.6918694376945496,0.5,0.4375
target_background,target_binary,69,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2191,5x69,345,0.2,320,168,56,96,2,13,0.6882277131080627,0.6700125237305959,0.6917237639427185,0.4791666666666667,0.4782608695652174
target_background,target_binary,69,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2193,5x69,345,0.5877898550724637,320,168,56,96,2,24,0.6806684732437134,0.6805170675118765,0.6822269558906555,0.5625,0.5607843137254902
global_species,label,69,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2139,512,512,0.0982253548221614,731,383,128,220,21,12,2.6012637615203857,0.1756864947577317,2.704549789428711,0.1272727272727272,0.1109555625522012
global_species,label,69,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2136,147,147,0.3719813506798068,731,383,128,220,21,19,2.6066734790802,1.5050041576226552,2.6300716400146484,0.1045454545454545,0.0875304094412143
global_species,label,69,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2139,659,659,0.1592908045809988,731,383,128,220,21,10,2.6681785583496094,0.1886542712648709,2.7806382179260254,0.1272727272727272,0.1104793462407446
global_species,label,69,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2139,5x69,345,0.2,731,383,128,220,21,24,2.564617156982422,2.307667990525564,2.564617156982422,0.0909090909090909,0.0786306691678517
global_species,label,69,substitution_1pct_N_3pct,cnn_property,cnn1d,property,channels,606,2141,5x69,345,0.5895636313170364,731,383,128,220,21,24,2.5671610832214355,2.413313627243042,2.5671610832214355,0.1318181818181818,0.1055622120973362
global_species,label,69,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2152,5x69,345,0.2,731,383,128,220,21,24,2.449782133102417,2.482105155785878,2.449782133102417,0.1045454545454545,0.0593050160450386
global_species,label,69,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2154,5x69,345,0.5895636313170364,731,383,128,220,21,24,2.5440964698791504,2.4588924646377563,2.5808794498443604,0.1772727272727272,0.0950674029491763
within_genus_species:Enterobacter,label,69,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2386,508,508,0.1012260967379077,175,91,31,53,5,8,1.6336519718170166,0.4434987306594848,1.6720079183578491,0.2075471698113207,0.1736796536796536
within_genus_species:Enterobacter,label,69,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2383,147,147,0.3807968901846453,175,91,31,53,5,10,1.621399164199829,1.1805763244628906,1.6257765293121338,0.1886792452830188,0.1278569642410602
within_genus_species:Enterobacter,label,69,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2386,655,655,0.1639694656488549,175,91,31,53,5,8,1.6678904294967651,0.3167049487431844,1.7072677612304688,0.1698113207547169,0.1419047619047619
within_genus_species:Enterobacter,label,69,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2386,5x69,345,0.2,175,91,31,53,5,7,1.6106549501419067,1.5819731950759888,1.611134648323059,0.1698113207547169,0.0969963369963369
within_genus_species:Enterobacter,label,69,substitution_1pct_N_3pct,cnn_property,cnn1d,property,channels,606,2388,5x69,345,0.5975320910973085,175,91,31,53,5,11,1.610368013381958,1.5747844378153484,1.6113847494125366,0.1698113207547169,0.0947517730496454
within_genus_species:Enterobacter,label,69,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2399,5x69,345,0.2,175,91,31,53,5,7,1.6184217929840088,1.6006440718968709,1.6251405477523804,0.2075471698113207,0.1480367585630743
within_genus_species:Enterobacter,label,69,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2401,5x69,345,0.5975320910973085,175,91,31,53,5,24,1.6052944660186768,1.5927119255065918,1.6052944660186768,0.2264150943396226,0.1840993788819875
