error,representation,classifier,n_classes,n_groups,task,genus,label_col,split,fold,length,condition,n_samples,n_features,accuracy,macro_f1
,ck4p_msp,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,75.0,clean,20.0,222.0,0.5714285714285714,0.4444444444444444
,ck4p_msp,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,75.0,clean,20.0,222.0,0.5,0.41269841269841273
,ck4p_msp,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,75.0,clean,20.0,222.0,0.3333333333333333,0.16666666666666666
,ck4,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,75.0,clean,20.0,136.0,0.42857142857142855,0.41666666666666663
,ck4,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,75.0,clean,20.0,136.0,0.5714285714285714,0.36363636363636365
,ck4,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,75.0,clean,20.0,136.0,0.8333333333333334,0.7777777777777777
,ck4,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,75.0,clean,20.0,136.0,0.8333333333333334,0.7777777777777777
,ck4,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,75.0,clean,20.0,136.0,0.42857142857142855,0.3
,ck4,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,75.0,clean,20.0,136.0,0.5714285714285714,0.36363636363636365
,ck4p_msp,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,75.0,clean,20.0,222.0,0.42857142857142855,0.41666666666666663
,ck4p_msp,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,75.0,clean,20.0,222.0,0.5714285714285714,0.36363636363636365
,ck4p_msp,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,75.0,clean,20.0,222.0,0.8333333333333334,0.7777777777777777
,ck4p_msp,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,75.0,clean,20.0,222.0,0.6666666666666666,0.625
,ck4p_msp,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,75.0,clean,20.0,222.0,0.42857142857142855,0.3
,ck4p_msp,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,75.0,clean,20.0,222.0,0.5714285714285714,0.36363636363636365
not enough labels or groups,ck4,all,4,13,within_genus_species,Candida,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,4,13,within_genus_species,Candida,label,,,,,,,,
,ck4,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,1.0,75.0,clean,13.0,136.0,0.8,0.7619047619047619
,ck4,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,1.0,75.0,clean,13.0,136.0,0.6,0.375
,ck4,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,2.0,75.0,clean,13.0,136.0,0.5,0.3333333333333333
,ck4,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,2.0,75.0,clean,13.0,136.0,0.75,0.7333333333333334
,ck4,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,3.0,75.0,clean,13.0,136.0,0.5,0.3333333333333333
,ck4,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,3.0,75.0,clean,13.0,136.0,0.75,0.7333333333333334
,ck4p_msp,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,1.0,75.0,clean,13.0,222.0,0.8,0.7619047619047619
,ck4p_msp,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,1.0,75.0,clean,13.0,222.0,0.6,0.375
,ck4p_msp,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,2.0,75.0,clean,13.0,222.0,0.75,0.7333333333333334
,ck4p_msp,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,2.0,75.0,clean,13.0,222.0,0.75,0.7333333333333334
,ck4p_msp,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,3.0,75.0,clean,13.0,222.0,0.5,0.3333333333333333
,ck4p_msp,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,3.0,75.0,clean,13.0,222.0,0.75,0.7333333333333334
,ck4,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,75.0,clean,29.0,136.0,0.1,0.05714285714285714
,ck4,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,75.0,clean,29.0,136.0,0.1,0.04444444444444444
,ck4,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,75.0,clean,29.0,136.0,0.2,0.19642857142857142
,ck4,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,75.0,clean,29.0,136.0,0.3,0.25
,ck4,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,75.0,clean,29.0,136.0,0.3333333333333333,0.27999999999999997
,ck4,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,75.0,clean,29.0,136.0,0.3333333333333333,0.26
,ck4p_msp,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,75.0,clean,29.0,222.0,0.1,0.05714285714285714
,ck4p_msp,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,75.0,clean,29.0,222.0,0.1,0.04
,ck4p_msp,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,75.0,clean,29.0,222.0,0.2,0.19642857142857142
,ck4p_msp,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,75.0,clean,29.0,222.0,0.2,0.15476190476190477
,ck4p_msp,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,75.0,clean,29.0,222.0,0.3333333333333333,0.27999999999999997
,ck4p_msp,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,75.0,clean,29.0,222.0,0.2222222222222222,0.14666666666666667
,ck4,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,75.0,clean,27.0,136.0,0.7777777777777778,0.4375
,ck4,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,75.0,clean,27.0,136.0,0.7777777777777778,0.4375
,ck4,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,75.0,clean,27.0,136.0,0.7777777777777778,0.6785714285714286
,ck4,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,75.0,clean,27.0,136.0,0.8888888888888888,0.8
,ck4,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,75.0,clean,27.0,136.0,0.5555555555555556,0.5
,ck4,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,75.0,clean,27.0,136.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,75.0,clean,27.0,222.0,0.7777777777777778,0.4375
,ck4p_msp,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,75.0,clean,27.0,222.0,0.7777777777777778,0.4375
,ck4p_msp,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,75.0,clean,27.0,222.0,0.7777777777777778,0.6785714285714286
,ck4p_msp,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,75.0,clean,27.0,222.0,0.7777777777777778,0.4375
,ck4p_msp,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,75.0,clean,27.0,222.0,0.5555555555555556,0.5
,ck4p_msp,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,75.0,clean,27.0,222.0,0.7777777777777778,0.6785714285714286
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,75.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,75.0,clean,9.0,222.0,0.6666666666666666,0.4
not enough labels or groups,ck4,all,3,12,within_genus_species,Klebsiella,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,3,12,within_genus_species,Klebsiella,label,,,,,,,,
not enough labels or groups,ck4,all,2,12,target_background,Klebsiella,target_binary,,,,,,,,
not enough labels or groups,ck4p_msp,all,2,12,target_background,Klebsiella,target_binary,,,,,,,,
,ck4,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,1.0,75.0,N_3pct,17.0,136.0,0.5,0.39285714285714285
,ck4,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,1.0,75.0,N_3pct,17.0,136.0,0.5,0.3333333333333333
,ck4,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,2.0,75.0,N_3pct,17.0,136.0,0.3333333333333333,0.125
,ck4,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,2.0,75.0,N_3pct,17.0,136.0,0.3333333333333333,0.125
,ck4,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,3.0,75.0,N_3pct,17.0,136.0,0.2,0.08333333333333333
,ck4,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,3.0,75.0,N_3pct,17.0,136.0,0.2,0.08333333333333333
,ck4p_msp,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,1.0,75.0,N_3pct,17.0,222.0,0.5,0.39285714285714285
,ck4p_msp,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,1.0,75.0,N_3pct,17.0,222.0,0.3333333333333333,0.16666666666666666
,ck4p_msp,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,2.0,75.0,N_3pct,17.0,222.0,0.3333333333333333,0.125
,ck4p_msp,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,2.0,75.0,N_3pct,17.0,222.0,0.16666666666666666,0.07142857142857142
,ck4p_msp,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,3.0,75.0,N_3pct,17.0,222.0,0.2,0.08333333333333333
,ck4p_msp,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,3.0,75.0,N_3pct,17.0,222.0,0.2,0.08333333333333333
,ck4,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,75.0,N_3pct,20.0,136.0,0.5714285714285714,0.38888888888888884
,ck4,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,75.0,N_3pct,20.0,136.0,0.2857142857142857,0.14814814814814814
,ck4,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,75.0,N_3pct,20.0,136.0,0.2857142857142857,0.2222222222222222
,ck4,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,75.0,N_3pct,20.0,136.0,0.7142857142857143,0.6
,ck4,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,75.0,N_3pct,20.0,136.0,0.5,0.41269841269841273
,ck4,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,75.0,N_3pct,20.0,136.0,0.3333333333333333,0.19047619047619047
,ck4p_msp,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,75.0,N_3pct,20.0,222.0,0.5714285714285714,0.38888888888888884
,ck4p_msp,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,75.0,N_3pct,20.0,222.0,0.2857142857142857,0.14814814814814814
,ck4p_msp,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,75.0,N_3pct,20.0,222.0,0.2857142857142857,0.2222222222222222
,ck4p_msp,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,75.0,N_3pct,20.0,222.0,0.7142857142857143,0.6
,ck4p_msp,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,75.0,N_3pct,20.0,222.0,0.5,0.41269841269841273
,ck4p_msp,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,75.0,N_3pct,20.0,222.0,0.3333333333333333,0.26666666666666666
,ck4,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,20.0,136.0,0.42857142857142855,0.41666666666666663
,ck4,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,20.0,136.0,0.5714285714285714,0.36363636363636365
,ck4,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,20.0,136.0,1.0,1.0
,ck4,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,20.0,136.0,1.0,1.0
,ck4,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,20.0,136.0,0.7142857142857143,0.4166666666666667
,ck4,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,20.0,136.0,0.5714285714285714,0.36363636363636365
,ck4p_msp,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,20.0,222.0,0.42857142857142855,0.41666666666666663
,ck4p_msp,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,20.0,222.0,0.7142857142857143,0.65
,ck4p_msp,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,20.0,222.0,1.0,1.0
,ck4p_msp,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,20.0,222.0,0.8333333333333334,0.7777777777777777
,ck4p_msp,nearest_centroid,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,20.0,222.0,0.7142857142857143,0.4166666666666667
,ck4p_msp,logistic,2,20,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,20.0,222.0,0.42857142857142855,0.3
not enough labels or groups,ck4,all,4,13,within_genus_species,Candida,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,4,13,within_genus_species,Candida,label,,,,,,,,
,ck4,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,13.0,136.0,0.6,0.375
,ck4,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,13.0,136.0,0.8,0.4444444444444444
,ck4,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,13.0,136.0,0.75,0.7333333333333334
,ck4,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,13.0,136.0,0.75,0.7333333333333334
,ck4,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,13.0,136.0,0.5,0.3333333333333333
,ck4,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,13.0,136.0,0.5,0.3333333333333333
,ck4p_msp,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,13.0,222.0,0.6,0.375
,ck4p_msp,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,13.0,222.0,0.8,0.4444444444444444
,ck4p_msp,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,13.0,222.0,0.75,0.7333333333333334
,ck4p_msp,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,13.0,222.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,13,target_background,Candida,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,13.0,222.0,0.5,0.3333333333333333
,ck4p_msp,logistic,2,13,target_background,Candida,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,13.0,222.0,0.75,0.7333333333333334
,ck4,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,75.0,N_3pct,29.0,136.0,0.0,0.0
,ck4,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,75.0,N_3pct,29.0,136.0,0.1,0.08
,ck4,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,75.0,N_3pct,29.0,136.0,0.1,0.05714285714285714
,ck4,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,75.0,N_3pct,29.0,136.0,0.3,0.21428571428571427
,ck4,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,75.0,N_3pct,29.0,136.0,0.3333333333333333,0.26
,ck4,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,75.0,N_3pct,29.0,136.0,0.2222222222222222,0.14666666666666667
,ck4p_msp,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,75.0,N_3pct,29.0,222.0,0.0,0.0
,ck4p_msp,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,75.0,N_3pct,29.0,222.0,0.0,0.0
,ck4p_msp,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,75.0,N_3pct,29.0,222.0,0.1,0.05714285714285714
,ck4p_msp,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,75.0,N_3pct,29.0,222.0,0.2,0.13333333333333333
,ck4p_msp,nearest_centroid,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,75.0,N_3pct,29.0,222.0,0.3333333333333333,0.26
,ck4p_msp,logistic,5,29,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,75.0,N_3pct,29.0,222.0,0.3333333333333333,0.21428571428571427
,ck4,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,27.0,136.0,0.7777777777777778,0.4375
,ck4,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,27.0,136.0,0.7777777777777778,0.4375
,ck4,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,27.0,136.0,0.8888888888888888,0.8
,ck4,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,27.0,136.0,0.8888888888888888,0.8
,ck4,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,27.0,136.0,0.5555555555555556,0.5
,ck4,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,27.0,136.0,0.7777777777777778,0.6785714285714286
,ck4p_msp,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,27.0,222.0,0.7777777777777778,0.4375
,ck4p_msp,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,27.0,222.0,0.7777777777777778,0.4375
,ck4p_msp,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,27.0,222.0,0.8888888888888888,0.8
,ck4p_msp,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,27.0,222.0,0.8888888888888888,0.8615384615384616
,ck4p_msp,nearest_centroid,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,27.0,222.0,0.5555555555555556,0.5
,ck4p_msp,logistic,2,27,target_background,Enterobacter,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,27.0,222.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,75.0,N_3pct,9.0,136.0,0.3333333333333333,0.25
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,75.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,75.0,N_3pct,9.0,222.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,75.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,75.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,75.0,N_3pct,9.0,222.0,0.3333333333333333,0.25
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,75.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,9.0,136.0,0.3333333333333333,0.25
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,9.0,136.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,75.0,N_3pct,9.0,222.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,75.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,9.0,222.0,0.3333333333333333,0.25
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,75.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
not enough labels or groups,ck4,all,3,12,within_genus_species,Klebsiella,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,3,12,within_genus_species,Klebsiella,label,,,,,,,,
not enough labels or groups,ck4,all,2,12,target_background,Klebsiella,target_binary,,,,,,,,
not enough labels or groups,ck4p_msp,all,2,12,target_background,Klebsiella,target_binary,,,,,,,,
