motif_position,first_length_pair_visible_ge_0_5,max_pair_visible_rate,lengths_tested
120,130,1.0,"110,115,120,125,130,135,138,140,142,145,148,150,155,160"
130,140,1.0,"110,115,120,125,130,135,138,140,142,145,148,150,155,160"
138,148,1.0,"110,115,120,125,130,135,138,140,142,145,148,150,155,160"
145,155,1.0,"110,115,120,125,130,135,138,140,142,145,148,150,155,160"
