retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,task,length,condition,representation,n_pairs,n_features,density
0.12777777777777777,0.9583645917932405,0.8479095585047404,0.19520255081675492,0.551525514925492,-6.183147292122363e-06,0.002777777777777778,arg_allele,69,substitution_1pct,ckmer5_count_l2,360,404,0.1376615786578658
0.125,0.9320088466949533,0.7570692849073095,0.2489998779405901,0.6970369755740272,-5.655358362568721e-06,0.002777777777777778,arg_allele,69,substitution_1pct,ckmer7_count_l2,360,1103,0.054519240455323865
0.1388888888888889,0.981481831804158,0.929345985566863,0.12796297496399747,0.3759096002370434,-0.00010024715462899748,0.002777777777777778,arg_allele,69,substitution_1pct,cspaced_count_l2,360,67,0.6854477611940298
0.1388888888888889,0.9979706918253299,0.9922699714879066,0.04238297188351824,0.12433845187059515,-1.1329394926159413e-05,0.002777777777777778,arg_allele,69,substitution_1pct,cspaced_property_l2,360,78,0.7169871794871795
0.14166666666666666,0.9781676418092853,0.9195162466909245,0.14133579935921445,0.40120741128707593,6.978806249853068e-06,0.002777777777777778,arg_allele,69,substitution_1pct,hybrid_ckmer5_csp,360,482,0.23141136468418627
0.14166666666666666,0.9649897692601416,0.8755965335737892,0.17866703418077917,0.4988050122906059,5.332662186642424e-06,0.002777777777777778,arg_allele,69,substitution_1pct,hybrid_ckmer7_csp,360,1181,0.09827241509078935
0.12777777777777777,0.9404448641928822,0.9168318108951359,0.3425830211074859,0.40784349072284604,-9.068303310426752e-05,0.002777777777777778,arg_allele,69,N_3pct,ckmer5_count_l2,360,95,0.547953216374269
0.1111111111111111,0.9001994079687023,0.8597269536210945,0.4429460638897058,0.5296660200143197,-9.183503161792802e-05,0.002777777777777778,arg_allele,69,N_3pct,ckmer7_count_l2,360,116,0.46847461685823755
0.12777777777777777,0.9647234173672309,0.9508133150895451,0.26367800553744186,0.3136452929997669,-0.0002619853754563183,0.002777777777777778,arg_allele,69,N_3pct,cspaced_count_l2,360,67,0.663785240464345
0.125,0.9944741159272311,0.9929101132978564,0.10475046784733821,0.11907882859411044,-2.82257681705006e-05,0.002777777777777778,arg_allele,69,N_3pct,cspaced_property_l2,360,78,0.704789886039886
0.12777777777777777,0.9674594900600566,0.9555451261046054,0.25343536439767334,0.29817735946373725,-4.60752397290891e-05,0.002777777777777778,arg_allele,69,N_3pct,hybrid_ckmer5_csp,360,173,0.6186657032755298
0.125,0.9473367619479667,0.9270495722592752,0.32195218503540446,0.38196969218794746,-5.113559501900196e-05,0.002777777777777778,arg_allele,69,N_3pct,hybrid_ckmer7_csp,360,194,0.5634879725085911
0.044444444444444446,0.970214253815369,0.9678372077779894,0.24396296291848843,0.25362488924398296,-1.8286960416984288e-05,0.0,arg_allele,69,trim_5bp,ckmer5_count_l2,360,95,0.562061403508772
0.044444444444444446,0.9630236412458288,0.9619631668251947,0.27192245461805487,0.2758145506488187,-2.1587669923266933e-18,0.0,arg_allele,69,trim_5bp,ckmer7_count_l2,360,116,0.49711446360153255
0.08611111111111111,0.9762442591720982,0.9735800003779151,0.2177768639203494,0.22986952656706808,-0.0003797459720711441,0.002777777777777778,arg_allele,69,trim_5bp,cspaced_count_l2,360,67,0.6713723051409619
