sample_id,length,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,paired_cosine,n_features
Enterobacter_bugandensis_L69_R0027,69,ck4,CK4,contiguous_property,contiguous,property,0.2455308944400117,0.9698572899377438,136
Enterobacter_cloacae_L69_R0004,69,ck4,CK4,dispersed_random,dispersed,random,0.30213078227427353,0.9543584952011679,136
Enterobacter_cloacae_L69_R0004,69,ck4,CK4,dispersed_property,dispersed,property,0.30213078227427353,0.9543584952011679,136
Enterobacter_cloacae_L69_R0004,69,ck4,CK4,contiguous_random,contiguous,random,0.325761461106421,0.946939735228905,136
Enterobacter_cloacae_L69_R0004,69,ck4,CK4,contiguous_property,contiguous,property,0.33179059491352775,0.9449575005634638,136
Acinetobacter_nosocomialis_L69_R0032,69,ck4,CK4,dispersed_random,dispersed,random,0.46418852179811176,0.892264508115442,136
Acinetobacter_nosocomialis_L69_R0032,69,ck4,CK4,dispersed_property,dispersed,property,0.4840599112404999,0.8828430011649198,136
Acinetobacter_nosocomialis_L69_R0032,69,ck4,CK4,contiguous_random,contiguous,random,0.30846670096033324,0.9524241471993243,136
Acinetobacter_nosocomialis_L69_R0032,69,ck4,CK4,contiguous_property,contiguous,property,0.309518506588491,0.9520991470396153,136
Burkholderia_multivorans_L69_R0061,69,ck4,CK4,dispersed_random,dispersed,random,0.36179603095630286,0.9345518159921331,136
Burkholderia_multivorans_L69_R0061,69,ck4,CK4,dispersed_property,dispersed,property,0.36493610183036246,0.9334108207904298,136
Burkholderia_multivorans_L69_R0061,69,ck4,CK4,contiguous_random,contiguous,random,0.28502175103325034,0.95938130071897,136
Burkholderia_multivorans_L69_R0061,69,ck4,CK4,contiguous_property,contiguous,property,0.28502175103325034,0.95938130071897,136
Enterobacter_asburiae_L69_R0041,69,ck4,CK4,dispersed_random,dispersed,random,0.35486075390578437,0.9370369226687092,136
Enterobacter_asburiae_L69_R0041,69,ck4,CK4,dispersed_property,dispersed,property,0.378768056959676,0.9282673795134959,136
Enterobacter_asburiae_L69_R0041,69,ck4,CK4,contiguous_random,contiguous,random,0.28050061592878595,0.9606597022317859,136
Enterobacter_asburiae_L69_R0041,69,ck4,CK4,contiguous_property,contiguous,property,0.28050061592878595,0.9606597022317859,136
Escherichia_coli_L69_R0068,69,ck4,CK4,dispersed_random,dispersed,random,0.3853790933609682,0.9257414772001391,136
Escherichia_coli_L69_R0068,69,ck4,CK4,dispersed_property,dispersed,property,0.39009474880274697,0.923913043478261,136
Escherichia_coli_L69_R0068,69,ck4,CK4,contiguous_random,contiguous,random,0.32550609681200193,0.9470228904691077,136
Escherichia_coli_L69_R0068,69,ck4,CK4,contiguous_property,contiguous,property,0.32774604204307783,0.9462912659625486,136
Acinetobacter_nosocomialis_L69_R0009,69,ck4,CK4,dispersed_random,dispersed,random,0.34342210939283446,0.9410306273900881,136
Acinetobacter_nosocomialis_L69_R0009,69,ck4,CK4,dispersed_property,dispersed,property,0.3428734561126348,0.9412188965466884,136
