length,representation,representation_label,n_templates,l2_drift_mean,l2_drift_p95,paired_cosine_mean,n_features,spatial_macro_f1,chemistry_macro_f1
69,ck4,CK4,250,0.3311036327782354,0.4199603348265227,0.9439145603538214,136,0.4984701777828654,0.4875858041174642
69,ck4_msp,CK4+MSP,250,0.23480192894172117,0.29729923601886965,0.9718023307970386,211,0.5136505807552183,0.5007927277006086
69,ck4_p,CK4+P,250,0.2342291939414186,0.29697777873204184,0.9719337790911163,147,0.5080809239683534,0.48731858419139584
69,ck4p_msp,CK4P-MSP,250,0.19179923702350468,0.242761517478579,0.9811858864741627,222,0.5188074002549639,0.49337833379372464
69,ncp_anf,NCP+ANF,250,0.19229060577126156,0.20865686647846593,0.9814619994605256,276,0.5121233192088226,0.4944346400363878
69,pseeiip,PseEIIP,250,0.24584698246279718,0.31872011366063596,0.9688993938395554,64,0.496656447584639,0.4968236676630641
69,pseknc_k3_l3,PseKNC,250,0.17965244374346503,0.23075232527084405,0.9834813124186644,67,0.500300062240163,0.489693680366028
75,ck4,CK4,250,0.31173977588885876,0.40089543112102494,0.9499695409735447,136,0.47941358556452246,0.5012709225545452
75,ck4_msp,CK4+MSP,250,0.2210606155973234,0.283999613136213,0.9748547296136547,211,0.48708698598998507,0.5062339394274776
75,ck4_p,CK4+P,250,0.2205353176024647,0.2834974804598624,0.9749649989016281,147,0.4792969241409043,0.5074598532446559
75,ck4p_msp,CK4P-MSP,250,0.1805734165921069,0.23190383079103918,0.9832233053523404,222,0.4851255190985066,0.5052880673451171
75,ncp_anf,NCP+ANF,250,0.183884448117113,0.19925621268971455,0.9830476287493783,300,0.5047029834974546,0.4998738892991138
75,pseeiip,PseEIIP,250,0.22761854518212388,0.2958142023582081,0.9731948257823956,64,0.49970635585632683,0.49395029323662387
75,pseknc_k3_l3,PseKNC,250,0.16569123878669198,0.21110506042770155,0.9859082606046621,67,0.5142301020969213,0.4989104810895807
100,ck4,CK4,250,0.29270637843455777,0.392279208960305,0.9553396767512584,136,0.5239705892777161,0.5019894615798303
100,ck4_msp,CK4+MSP,250,0.20753450860544695,0.27787531139067767,0.9775579424518699,211,0.4964806378509662,0.5136201800354993
100,ck4_p,CK4+P,250,0.20706624272155533,0.277414348047101,0.9776515698902124,147,0.5284482561793485,0.5133456314428472
100,ck4p_msp,CK4P-MSP,250,0.1695257054933615,0.22689580550320737,0.9850264493109687,222,0.5125387516676397,0.4985598428619028
100,ncp_anf,NCP+ANF,250,0.19483555864888794,0.21079492215062523,0.9809690634603284,400,0.49775392802207163,0.49390636023789664
100,pseeiip,PseEIIP,250,0.21144082505285497,0.2881854993985198,0.976617671459378,64,0.5077012200460767,0.4985685727675633
100,pseknc_k3_l3,PseKNC,250,0.14999965563820766,0.19999946138240232,0.9883246026464508,67,0.4933827137176131,0.4971502126922774
150,ck4,CK4,250,0.23453774610388312,0.3217842981539269,0.9709906417766657,136,0.4930568814843646,0.5198084867997903
150,ck4_msp,CK4+MSP,250,0.16629091058866652,0.2279746371710157,0.9854280011486569,211,0.49582019155515844,0.5057720763327971
150,ck4_p,CK4+P,250,0.16591168086257957,0.2275429774067205,0.985485289325838,147,0.4907830444364191,0.5171629305594919
150,ck4p_msp,CK4P-MSP,250,0.13582911693767402,0.18614631723027553,0.9902786463907747,222,0.4838813404041778,0.511884893902931
150,ncp_anf,NCP+ANF,250,0.18350314769962633,0.19892619179598217,0.9831234164701858,600,0.5210542434930043,0.5050974144303894
150,pseeiip,PseEIIP,250,0.16810897778674994,0.23299306470770006,0.9851645085153015,64,0.5026234058257248,0.49707671667022246
150,pseknc_k3_l3,PseKNC,250,0.11492568639086113,0.15512368908608118,0.9931185643981751,67,0.5150362524447444,0.4900623380618314
