retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,label,n_pairs,n_features,density
1.0,0.9934716970044379,0.9911619276763565,0.1135902279615775,0.1329516627236286,0.04682688626713152,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.35382142857142856
1.0,0.9938480137058378,0.9917138048423153,0.1102781964499828,0.12873377352348717,0.044450287684344926,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.3629225352112676
1.0,0.9938544916266898,0.9917246681572088,0.11022116876728118,0.12864936079092237,0.04437551358923353,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.37177083333333333
1.0,0.9938040152186598,0.9916661407385169,0.11068302460642467,0.12910350145079874,0.0443732425816336,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.3726551724137931
1.0,0.9940691102684044,0.9921206176390374,0.10835036071298075,0.12553391828226917,0.04087353415434267,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.37695205479452054
1.0,0.9941453556064855,0.9922279258358027,0.10765256184329108,0.12467617303490108,0.04034706290015119,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.3811904761904762
1.0,0.9941908611385792,0.9922747605242249,0.10722483219007363,0.12429995473126555,0.04034892072981767,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.38037671232876713
1.0,0.9940691102684044,0.9921206176390374,0.10835036071298075,0.12553391828226917,0.04087353415434267,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.37695205479452054
1.0,0.9941453556064855,0.9922279258358027,0.10765256184329108,0.12467617303490107,0.04034706290015119,1.0,69,N_3pct,cspaced_property_l2,full CSP,600,147,0.3811904761904762
1.0,0.9692986503738221,0.9630868246861538,0.24674154105779744,0.27171004881618344,0.5068214391941004,1.0,69,trim_5bp,spaced_count_l2,"spaced, no RC",600,256,0.20238932291666667
1.0,0.9744023101835018,0.9669875568304567,0.22490323438812596,0.2569530819801298,0.3737246595952383,1.0,69,trim_5bp,cspaced_count_l2,canonical spaced,600,136,0.3396323529411765
1.0,0.9965759751287495,0.9955395413787755,0.08219130179873617,0.09445060673719068,0.04989919820662669,1.0,69,trim_5bp,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.3492028985507246
1.0,0.982818599749058,0.9775417284968466,0.18411707331919977,0.2119352317074299,0.2505100280476518,1.0,69,trim_5bp,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.3492028985507246
1.0,0.982883422005862,0.9775955448083534,0.18388005776132715,0.21168115195311024,0.25031454744845016,1.0,69,trim_5bp,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.3492028985507246
1.0,0.9747669307227602,0.9674463745932849,0.2232956951610686,0.2551612251257335,0.36839021775158887,1.0,69,trim_5bp,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.3492028985507246
1.0,0.9744023101835018,0.9669875568304568,0.2249032343881259,0.2569530819801298,0.3737246595952383,1.0,69,trim_5bp,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.3371532846715328
1.0,0.9848249364306835,0.9804986775506704,0.17327099013716718,0.1974906626645817,0.22268569441216607,1.0,69,trim_5bp,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.3444525547445256
1.0,0.9766998129204713,0.9700239530473989,0.21460147166044463,0.24485116684468358,0.3364823264883083,1.0,69,trim_5bp,cspaced_property_selected:length,canonical spaced + length,600,137,0.3444525547445256
1.0,0.9965759751287495,0.9955395413787755,0.08219130179873617,0.09445060673719068,0.04989919820662669,1.0,69,trim_5bp,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.3492028985507246
1.0,0.9967726375769744,0.9957533241254553,0.0797834056813463,0.0921593749997591,0.04703732568088063,1.0,69,trim_5bp,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.3585
1.0,0.996949802646651,0.9960260396544184,0.0775731223918181,0.08915103544097103,0.04466683855716164,1.0,69,trim_5bp,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.36753521126760563
1.0,0.9969549661997966,0.996033883397223,0.07750776418458032,0.08906300968730155,0.044592136819091334,1.0,69,trim_5bp,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.37631944444444443
1.0,0.9969549661997966,0.996033883397223,0.07750776418458032,0.08906300968730155,0.044592136819091334,1.0,69,trim_5bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.3737241379310345
1.0,0.9971811494923086,0.9963578354240441,0.07459383650610105,0.08534823267013757,0.04133330414360354,1.0,69,trim_5bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.378013698630137
1.0,0.9971814381304328,0.9963693010248494,0.07460138060968283,0.08521379322774408,0.04083876277497115,1.0,69,trim_5bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.38224489795918365
1.0,0.9971814381304328,0.9963693010248494,0.07460138060968283,0.08521379322774408,0.04083876277497115,1.0,69,trim_5bp,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.38486301369863013
1.0,0.9971811494923086,0.9963578354240441,0.07459383650610105,0.08534823267013757,0.04133330414360354,1.0,69,trim_5bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.378013698630137
1.0,0.9971814381304328,0.9963693010248494,0.07460138060968283,0.08521379322774408,0.04083876277497115,1.0,69,trim_5bp,cspaced_property_l2,full CSP,600,147,0.38224489795918365
1.0,0.9260486570811931,0.851707528190174,0.3714902663646356,0.5445961099287111,0.4694046398084703,1.0,69,substitution_1pct_N_3pct,spaced_count_l2,"spaced, no RC",600,256,0.19948567708333334
1.0,0.9381607314951225,0.8728984724495101,0.33916563173091413,0.5041853995750656,0.342862900908028,1.0,69,substitution_1pct_N_3pct,cspaced_count_l2,canonical spaced,600,136,0.3351776960784314
1.0,0.9897938847126075,0.9810807179828517,0.13951235206312337,0.1945199280856199,0.04669058821930331,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.34481280193236713
1.0,0.9584553583863438,0.9141782889001144,0.27799622712476757,0.41429472571865983,0.23172943609257154,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.34481280193236713
1.0,0.9585125926965579,0.9137478961958668,0.277795142985173,0.4153362268081998,0.2305885178820928,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.34481280193236713
1.0,0.9389940981058971,0.8746824801594139,0.33688649978223945,0.5006344695598467,0.3380434415823774,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.34481280193236713
1.0,0.9377668772663901,0.8725320163156229,0.34042227546201087,0.5049117050763963,0.34271896181650063,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.33638077858880777
1.0,0.9638181638101053,0.9262399186486698,0.2598469639031877,0.3840826542459086,0.19891967283376977,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.3400304136253041
1.0,0.9447382600881324,0.8864176157364764,0.3206209845442888,0.47661792375491724,0.3063943172923107,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:length,canonical spaced + length,600,137,0.3400304136253041
1.0,0.9897938847126075,0.9810807179828517,0.13951235206312337,0.1945199280856199,0.04669058821930331,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.34481280193236713
1.0,0.9904042042867832,0.9820677082112558,0.13527309745241212,0.18937885244824165,0.04406972194094506,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.35417261904761904
1.0,0.9909571523990625,0.9830202432202355,0.13132798792437902,0.1842808214402686,0.04185386578078546,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.363268779342723
1.0,0.9909685067324576,0.983049057949628,0.13124852463017714,0.18412439261406663,0.041783608991840845,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.37211226851851853
1.0,0.9909181675266905,0.9829948464292952,0.13164897778109502,0.18441858129377411,0.04178146849464081,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.3729942528735632
1.0,0.991412036642021,0.9840101311145973,0.12819022784001688,0.17882879406882138,0.038520301362311285,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.3772888127853881
