retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,label,n_pairs,n_features,density,base_paired_cosine_mean,base_l2_delta_mean,base_retrieval_top1,delta_cosine_vs_cspaced_count,delta_l2_vs_cspaced_count,delta_top1_vs_cspaced_count
1.0,0.9722623078527706,0.8990321629942791,0.15768241887335582,0.4493720049879764,0.506345764931516,1.0,69,substitution_1pct,spaced_count_l2,"spaced, no RC",600,256,0.20955078125,0.9768619916625746,0.14368937776841512,1.0,-0.004599683809804023,0.013993041104940707,0.0
1.0,0.9768619916625746,0.9137905781837163,0.14368937776841512,0.41523330493036165,0.37097963838018205,1.0,69,substitution_1pct,cspaced_count_l2,canonical spaced,600,136,0.35003063725490197,0.9768619916625746,0.14368937776841512,1.0,0.0,0.0,0.0
1.0,0.9969141688099624,0.9885615708154364,0.052430893626827575,0.15125087841263543,0.049551744774687795,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.35945048309178745,0.9768619916625746,0.14368937776841512,1.0,0.02005217714738783,-0.09125848414158755,0.0
1.0,0.9845531226373619,0.9427460284293941,0.11731509052690285,0.3383900093546696,0.2488746671757937,1.0,69,substitution_1pct,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.35945048309178745,0.9768619916625746,0.14368937776841512,1.0,0.007691130974787352,-0.026374287241512265,0.0
1.0,0.9845346633035978,0.9445648801262759,0.11745286016045758,0.332971824996127,0.2484024641046956,1.0,69,substitution_1pct,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.35945048309178745,0.9768619916625746,0.14368937776841512,1.0,0.007672671641023254,-0.026236517607957532,0.0
1.0,0.9771924696117109,0.9150067444027241,0.14265987129677055,0.41229400223823737,0.3656890694437679,1.0,69,substitution_1pct,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.35945048309178745,0.9768619916625746,0.14368937776841512,1.0,0.0003304779491363208,-0.00102950647164457,0.0
1.0,0.9768619916625746,0.9137905781837163,0.14368937776841512,0.41523330493036165,0.37097963838018205,1.0,69,substitution_1pct,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.3474756690997567,0.9768619916625746,0.14368937776841512,1.0,0.0,0.0,0.0
1.0,0.9862833456921264,0.9495985218402873,0.11069621367554722,0.3174944221401826,0.22092874885626923,1.0,69,substitution_1pct,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.3547749391727494,0.9768619916625746,0.14368937776841512,1.0,0.009421354029551798,-0.0329931640928679,0.0
1.0,0.9793230639731682,0.9229602360838374,0.13583283640370789,0.3925294858530229,0.33152042034823365,1.0,69,substitution_1pct,cspaced_property_selected:length,canonical spaced + length,600,137,0.3547749391727494,0.9768619916625746,0.14368937776841512,1.0,0.0024610723105935595,-0.007856541364707231,0.0
1.0,0.9969141688099624,0.9885615708154364,0.052430893626827575,0.15125087841263543,0.049551744774687795,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.35945048309178745,0.9768619916625746,0.14368937776841512,1.0,0.02005217714738783,-0.09125848414158755,0.0
1.0,0.9971003771551186,0.9891020379062457,0.050818326640962204,0.14763440977807918,0.04673186545698825,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.3686011904761905,0.9768619916625746,0.14368937776841512,1.0,0.020238385492543975,-0.09287105112745292,0.0
1.0,0.9972672295108246,0.989757237624412,0.049351788488974487,0.14312765122016077,0.044371567329993256,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.37749413145539906,0.9768619916625746,0.14368937776841512,1.0,0.02040523784824999,-0.09433758927944064,0.0
