length,representation,classifier,mean_accuracy,sd_accuracy,mean_macro_f1,sd_macro_f1,n_features,n_folds
50,ck4,contract_logistic,0.6465608465608466,0.13895312195708628,0.6294434783147206,0.1480947212176797,136,5
50,ck4,nearest_centroid,0.5846560846560847,0.12340638930889526,0.5756855415956244,0.13164960579453489,136,5
50,ck4p_msp,contract_logistic,0.6317460317460317,0.10780869598317772,0.6079092548514141,0.10591214671203009,222,5
50,ck4p_msp,nearest_centroid,0.5883597883597884,0.12485259077867891,0.5805518904062456,0.13365528950779987,222,5
50,ckmer5_count_l2,contract_logistic,0.680952380952381,0.08624500923587286,0.6768192532389785,0.08160139635651803,397,5
50,ckmer5_count_l2,nearest_centroid,0.6566137566137566,0.12143980997201925,0.6504487383918892,0.12409705196165008,397,5
50,msp,contract_logistic,0.5677248677248677,0.07159005848819251,0.5674570682003355,0.07127330402070217,75,5
50,msp,nearest_centroid,0.5756613756613757,0.09565239106564817,0.5756089916377518,0.09521410889731603,75,5
50,p,contract_logistic,0.37777777777777777,0.03983216939706963,0.30080739617735547,0.03149789031970188,11,5
50,p,nearest_centroid,0.38095238095238093,0.05549253164921437,0.3447164882212471,0.05546992690192946,11,5
50,p_msp,contract_logistic,0.5793650793650793,0.08940076851172381,0.5774131817773511,0.08817942009366099,86,5
50,p_msp,nearest_centroid,0.5830687830687831,0.0923390330172485,0.5815929446667916,0.09134227748933023,86,5
75,ck4,contract_logistic,0.6216931216931216,0.0869803292210243,0.6124726569887861,0.08502671873746126,136,5
75,ck4,nearest_centroid,0.5698412698412698,0.10270889331527229,0.5643275099797094,0.10725085975839292,136,5
75,ck4p_msp,contract_logistic,0.6142857142857143,0.09339036518325594,0.5930937408577867,0.08813772659863987,222,5
75,ck4p_msp,nearest_centroid,0.5677248677248677,0.09034691714551032,0.562840398613641,0.09242152249090864,222,5
75,ckmer5_count_l2,contract_logistic,0.6825396825396826,0.0891459811930912,0.6726761601031289,0.09396459295417321,461,5
75,ckmer5_count_l2,nearest_centroid,0.6243386243386244,0.08807974505072216,0.6182898436034864,0.09189873104243453,461,5
75,msp,contract_logistic,0.5613756613756614,0.09983749849176032,0.5491124268264145,0.10840565377001926,75,5
75,msp,nearest_centroid,0.5777777777777777,0.1245017504738638,0.5744521900651466,0.12537886714304042,75,5
75,p,contract_logistic,0.3841269841269841,0.08035972844055939,0.3379079514710428,0.09699596369375296,11,5
75,p,nearest_centroid,0.38465608465608464,0.07929008802747561,0.34880894993137884,0.10163810962540877,11,5
75,p_msp,contract_logistic,0.5476190476190477,0.07438050751063252,0.5339210979974938,0.08122909228143345,86,5
75,p_msp,nearest_centroid,0.5613756613756614,0.06019317930512597,0.5543197400280944,0.06488496734035124,86,5
100,ck4,contract_logistic,0.7079365079365079,0.07725592486113853,0.7019496323200818,0.07100977213142683,136,5
100,ck4,nearest_centroid,0.6513227513227513,0.06435154597337817,0.6502222382575786,0.06557646537030544,136,5
100,ck4p_msp,contract_logistic,0.6825396825396826,0.08108800065605345,0.6711330535351033,0.07617589363842761,222,5
100,ck4p_msp,nearest_centroid,0.6550264550264551,0.060546765469081394,0.6532512579353938,0.061220763819239715,222,5
100,ckmer5_count_l2,contract_logistic,0.6904761904761905,0.06834926287176618,0.6769086984849874,0.06421855871968687,482,5
100,ckmer5_count_l2,nearest_centroid,0.6619047619047619,0.06388765649999398,0.6569054374938759,0.063645780535922,482,5
100,msp,contract_logistic,0.5111111111111111,0.06625386599999376,0.5074088488482337,0.07049408594419262,75,5
100,msp,nearest_centroid,0.5037037037037038,0.057675598157027524,0.5025630206305001,0.06040844219153476,75,5
100,p,contract_logistic,0.3587301587301587,0.05014605916796439,0.29843915707130597,0.04273170294652349,11,5
100,p,nearest_centroid,0.3296296296296296,0.027467401804057996,0.2955188205910088,0.032771313052616144,11,5
100,p_msp,contract_logistic,0.4719576719576719,0.05970284655844484,0.4602863092016647,0.06458751484559418,86,5
100,p_msp,nearest_centroid,0.48571428571428565,0.04712411815289284,0.48102059352859233,0.052059823092807066,86,5
150,ck4,contract_logistic,0.6984126984126984,0.05994851425198233,0.6884439277540447,0.06209872334022482,136,5
150,ck4,nearest_centroid,0.6079365079365079,0.07017815974267408,0.6072815304831531,0.0686868391001019,136,5
150,ck4p_msp,contract_logistic,0.6735449735449736,0.056356037045312564,0.6568866330175288,0.054650018736356686,222,5
150,ck4p_msp,nearest_centroid,0.6153439153439153,0.06761834380403935,0.6146215342980985,0.06714758919755486,222,5
150,ckmer5_count_l2,contract_logistic,0.7301587301587301,0.0597731403581746,0.717993745841419,0.06404368316799756,504,5
150,ckmer5_count_l2,nearest_centroid,0.6492063492063492,0.062452916113297396,0.6479399156949561,0.06032269965209927,504,5
150,msp,contract_logistic,0.46349206349206346,0.07935185074937533,0.45547981882811606,0.08163883619846181,75,5
150,msp,nearest_centroid,0.4603174603174603,0.07247421974498797,0.4553375035112075,0.0743494800095796,75,5
150,p,contract_logistic,0.4386243386243386,0.06219463629218118,0.3578396322827991,0.04904043963523453,11,5
150,p,nearest_centroid,0.44074074074074077,0.04611073925181011,0.4060364034444315,0.04271945053472375,11,5
150,p_msp,contract_logistic,0.4544973544973545,0.07629420481616253,0.43988979812713797,0.08136811488679312,86,5
150,p_msp,nearest_centroid,0.44021164021164016,0.08890227286490116,0.4331087021847403,0.08839814120112273,86,5
