fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes,label_control,permutation
1,nearest_centroid,0.38095238095238093,0.37591842855000746,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,0
2,contract_logistic,0.36507936507936506,0.352506194015628,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,0
2,nearest_centroid,0.3333333333333333,0.3051824964710627,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,0
3,contract_logistic,0.35185185185185186,0.32437417654808964,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,0
3,nearest_centroid,0.2777777777777778,0.27140406990219257,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,0
4,contract_logistic,0.3888888888888889,0.383610188261351,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,0
4,nearest_centroid,0.3333333333333333,0.3122084367245657,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,0
5,contract_logistic,0.2777777777777778,0.24953488372093025,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,0
5,nearest_centroid,0.2777777777777778,0.24953488372093025,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,0
1,contract_logistic,0.30158730158730157,0.2856033091202583,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,1
1,nearest_centroid,0.31746031746031744,0.2974825474825475,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,1
2,contract_logistic,0.2857142857142857,0.27800453514739226,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,1
2,nearest_centroid,0.2222222222222222,0.21126079640011527,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,1
3,contract_logistic,0.35185185185185186,0.33057471264367816,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,1
3,nearest_centroid,0.4074074074074074,0.38037462750106427,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,1
4,contract_logistic,0.2962962962962963,0.29448329448329447,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,1
4,nearest_centroid,0.2777777777777778,0.2714285714285714,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,1
5,contract_logistic,0.3333333333333333,0.3323308270676692,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,1
5,nearest_centroid,0.3148148148148148,0.3089285973073635,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,1
1,contract_logistic,0.2698412698412698,0.18326118326118324,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
1,nearest_centroid,0.31746031746031744,0.2607257165461934,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
2,contract_logistic,0.31746031746031744,0.3128037539802246,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
2,nearest_centroid,0.20634920634920634,0.186796395970111,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
3,contract_logistic,0.35185185185185186,0.33057471264367816,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
3,nearest_centroid,0.35185185185185186,0.32861531709457975,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
4,contract_logistic,0.24074074074074073,0.23097643097643097,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
4,nearest_centroid,0.25925925925925924,0.24709673586979122,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
5,contract_logistic,0.2962962962962963,0.2957393483709273,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
5,nearest_centroid,0.2777777777777778,0.2742799683976154,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,1
1,contract_logistic,0.3492063492063492,0.29988004349824554,11,225,63,25,7,50,p,288,32,3,within_source_permutation,1
1,nearest_centroid,0.3492063492063492,0.29988004349824554,11,225,63,25,7,50,p,288,32,3,within_source_permutation,1
2,contract_logistic,0.30158730158730157,0.27605244996549344,11,225,63,25,7,50,p,288,32,3,within_source_permutation,1
2,nearest_centroid,0.30158730158730157,0.2972582972582973,11,225,63,25,7,50,p,288,32,3,within_source_permutation,1
3,contract_logistic,0.2962962962962963,0.27544871794871795,11,234,54,26,6,50,p,288,32,3,within_source_permutation,1
3,nearest_centroid,0.2962962962962963,0.27544871794871795,11,234,54,26,6,50,p,288,32,3,within_source_permutation,1
4,contract_logistic,0.35185185185185186,0.31282726934900845,11,234,54,26,6,50,p,288,32,3,within_source_permutation,1
4,nearest_centroid,0.35185185185185186,0.31282726934900845,11,234,54,26,6,50,p,288,32,3,within_source_permutation,1
5,contract_logistic,0.2962962962962963,0.2938487658351835,11,234,54,26,6,50,p,288,32,3,within_source_permutation,1
5,nearest_centroid,0.2962962962962963,0.2938487658351835,11,234,54,26,6,50,p,288,32,3,within_source_permutation,1
1,contract_logistic,0.2222222222222222,0.21601581358911995,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,1
1,nearest_centroid,0.2222222222222222,0.21601581358911995,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,1
2,contract_logistic,0.31746031746031744,0.3080409356725146,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,1
2,nearest_centroid,0.31746031746031744,0.3080409356725146,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,1
3,contract_logistic,0.25925925925925924,0.23782216999608305,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,1
3,nearest_centroid,0.2777777777777778,0.2629134150873282,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,1
4,contract_logistic,0.35185185185185186,0.346998514334466,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,1
4,nearest_centroid,0.35185185185185186,0.346998514334466,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,1
5,contract_logistic,0.4444444444444444,0.4417771883289125,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,1
5,nearest_centroid,0.46296296296296297,0.4632478632478632,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,1
1,contract_logistic,0.2222222222222222,0.2172823362754713,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,1
1,nearest_centroid,0.2222222222222222,0.2172823362754713,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,1
