fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes
1,nearest_centroid,0.6825396825396826,0.6854561878952122,136,216,63,24,7,75,ck4,279,31,3
2,contract_logistic,0.6296296296296297,0.6055796055796056,136,225,54,25,6,75,ck4,279,31,3
2,nearest_centroid,0.5740740740740741,0.5523180988297268,136,225,54,25,6,75,ck4,279,31,3
3,contract_logistic,0.7037037037037037,0.6983102918586791,136,225,54,25,6,75,ck4,279,31,3
3,nearest_centroid,0.6481481481481481,0.6555555555555556,136,225,54,25,6,75,ck4,279,31,3
4,contract_logistic,0.6111111111111112,0.597951176983435,136,225,54,25,6,75,ck4,279,31,3
4,nearest_centroid,0.5185185185185185,0.5015873015873016,136,225,54,25,6,75,ck4,279,31,3
5,contract_logistic,0.48148148148148145,0.48223938223938223,136,225,54,25,6,75,ck4,279,31,3
5,nearest_centroid,0.42592592592592593,0.42672040603075084,136,225,54,25,6,75,ck4,279,31,3
1,contract_logistic,0.746031746031746,0.7457431457431457,461,216,63,24,7,75,ckmer5_count_l2,279,31,3
1,nearest_centroid,0.7142857142857143,0.719261523772802,461,216,63,24,7,75,ckmer5_count_l2,279,31,3
2,contract_logistic,0.6666666666666666,0.6536993326922517,461,225,54,25,6,75,ckmer5_count_l2,279,31,3
2,nearest_centroid,0.6666666666666666,0.6604205614248656,461,225,54,25,6,75,ckmer5_count_l2,279,31,3
3,contract_logistic,0.7592592592592593,0.7558471933471934,461,225,54,25,6,75,ckmer5_count_l2,279,31,3
3,nearest_centroid,0.6481481481481481,0.6477290687817003,461,225,54,25,6,75,ckmer5_count_l2,279,31,3
4,contract_logistic,0.7037037037037037,0.6855340188673522,461,225,54,25,6,75,ckmer5_count_l2,279,31,3
4,nearest_centroid,0.6111111111111112,0.5870610870610871,461,225,54,25,6,75,ckmer5_count_l2,279,31,3
5,contract_logistic,0.5370370370370371,0.5225571098657017,461,225,54,25,6,75,ckmer5_count_l2,279,31,3
5,nearest_centroid,0.48148148148148145,0.476976976976977,461,225,54,25,6,75,ckmer5_count_l2,279,31,3
1,contract_logistic,0.36507936507936506,0.2938907552569367,11,216,63,24,7,75,p,279,31,3
1,nearest_centroid,0.3492063492063492,0.28519668737060044,11,216,63,24,7,75,p,279,31,3
2,contract_logistic,0.35185185185185186,0.3042568542568543,11,225,54,25,6,75,p,279,31,3
2,nearest_centroid,0.37037037037037035,0.33286311389759665,11,225,54,25,6,75,p,279,31,3
3,contract_logistic,0.4444444444444444,0.40695652173913044,11,225,54,25,6,75,p,279,31,3
3,nearest_centroid,0.46296296296296297,0.44616087175610986,11,225,54,25,6,75,p,279,31,3
4,contract_logistic,0.48148148148148145,0.46419753086419746,11,225,54,25,6,75,p,279,31,3
4,nearest_centroid,0.46296296296296297,0.45692640692640696,11,225,54,25,6,75,p,279,31,3
