family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
canonical k-mer,k=7,7,,True,False,75,reverse_complement,120,4728,1.0000000000000009,0.9999999999999981,0.0,0.0
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,75,reverse_complement,120,136,1.0000000000000002,0.9999999999999994,0.0,0.0
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,75,reverse_complement,120,147,0.9991818422033792,0.9970686113540278,0.03161085391886099,0.07656108225854646
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,75,reverse_complement,120,136,1.0000000000000002,0.9999999999999994,0.0,0.0
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,75,reverse_complement,120,147,0.9991818422033791,0.9970686113540281,0.03161085391886099,0.07656108225854646
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,75,reverse_complement,120,136,0.4999138638904841,0.3403630672149679,0.992053607257652,1.1485964762635017
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,75,reverse_complement,120,147,0.9454591866366605,0.9287910154774649,0.32800717757556935,0.37738292651848093
k-mer,k=4,4,,False,False,75,N_3pct,120,256,0.9617333007624047,0.9458144959340683,0.27460253950895286,0.32919535812784023
k-mer,k=5,5,,False,False,75,N_3pct,120,1018,0.9405735667521701,0.926906106128051,0.3426653594730636,0.3823451160194138
k-mer,k=6,6,,False,False,75,N_3pct,120,3298,0.9225733138798223,0.9102589898327998,0.39064016460121814,0.42365318402485913
k-mer,k=7,7,,False,False,75,N_3pct,120,6045,0.9073852026560058,0.892805381522403,0.42677901098715604,0.46302185364753096
canonical k-mer,k=4,4,,True,False,75,N_3pct,120,136,0.969271727761556,0.9521434286187597,0.24585321706283114,0.3093753447560816
canonical k-mer,k=5,5,,True,False,75,N_3pct,120,511,0.9459305507307356,0.9257395794119014,0.3263976262074703,0.3853829520651266
canonical k-mer,k=6,6,,True,False,75,N_3pct,120,1933,0.9249538775869861,0.9102589898327998,0.38452774634585196,0.42365318402485913
canonical k-mer,k=7,7,,True,False,75,N_3pct,120,4728,0.9079775526841772,0.8869025265901105,0.42514598398826947,0.4755969988218735
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,75,N_3pct,120,136,0.969271727761556,0.9521434286187597,0.24585321706283114,0.3093753447560816
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,75,N_3pct,120,147,0.9951518148488973,0.9934039128757148,0.09809429717628151,0.11485654617917453
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,75,N_3pct,120,136,0.9669871474949149,0.9514610482070307,0.2537856476891827,0.3115728292129995
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,75,N_3pct,120,147,0.9949075767932626,0.9931024791224168,0.10036088190431211,0.11745223835904439
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,75,N_3pct,120,136,0.9669458046387156,0.9556464985176683,0.2544533401219625,0.2978253133449556
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,75,N_3pct,120,147,0.9949007845653465,0.9936302007441786,0.10051754563577425,0.11286965460594281
k-mer,k=4,4,,False,False,75,substitution_1pct,120,256,0.976713613906537,0.9113249077194244,0.14573662173066565,0.4211296368242527
k-mer,k=5,5,,False,False,75,substitution_1pct,120,1018,0.9631114472934674,0.8698705688409437,0.18396460662653227,0.510150996997277
