probe,genus,length,condition,method,parameter,k,pattern,canonical,add_property,n_samples,n_classes,accuracy,macro_f1,n_features,observed_vocab_size
within_genus_species,Candida,75,clean,canonical k-mer,k=5,5,,True,False,80,4,0.375,0.3694444444444444,487,487
within_genus_species,Candida,75,clean,canonical k-mer,k=6,6,,True,False,80,4,0.20833333333333334,0.19471153846153846,1380,1380
within_genus_species,Candida,75,clean,canonical k-mer,k=7,7,,True,False,80,4,0.2916666666666667,0.24632352941176472,2496,2496
within_genus_species,Candida,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,4,0.2916666666666667,0.28406593406593406,136,136
within_genus_species,Candida,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,4,0.3333333333333333,0.32867132867132864,147,147
within_genus_species,Candida,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,4,0.375,0.34325396825396826,136,136
within_genus_species,Candida,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,4,0.4583333333333333,0.4373015873015873,147,147
within_genus_species,Candida,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,4,0.20833333333333334,0.20116550116550116,136,136
within_genus_species,Candida,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,4,0.20833333333333334,0.19597069597069597,147,147
target_background,Candida,75,clean,k-mer,k=4,4,,False,False,80,2,0.7083333333333334,0.5213675213675213,256,256
target_background,Candida,75,clean,k-mer,k=5,5,,False,False,80,2,0.7083333333333334,0.5213675213675213,896,896
target_background,Candida,75,clean,k-mer,k=6,6,,False,False,80,2,0.7083333333333334,0.4146341463414634,2004,2004
target_background,Candida,75,clean,k-mer,k=7,7,,False,False,80,2,0.75,0.42857142857142855,2987,2987
target_background,Candida,75,clean,canonical k-mer,k=4,4,,True,False,80,2,0.5833333333333334,0.4444444444444444,136,136
target_background,Candida,75,clean,canonical k-mer,k=5,5,,True,False,80,2,0.5833333333333334,0.4957983193277311,490,490
target_background,Candida,75,clean,canonical k-mer,k=6,6,,True,False,80,2,0.6666666666666666,0.4,1383,1383
target_background,Candida,75,clean,canonical k-mer,k=7,7,,True,False,80,2,0.75,0.42857142857142855,2473,2473
target_background,Candida,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,2,0.5833333333333334,0.4444444444444444,136,136
target_background,Candida,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,2,0.5833333333333334,0.4444444444444444,147,147
target_background,Candida,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,2,0.5,0.4666666666666667,136,136
target_background,Candida,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,2,0.5,0.4666666666666667,147,147
target_background,Candida,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,2,0.75,0.6666666666666667,136,136
target_background,Candida,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,2,0.6666666666666666,0.5555555555555556,147,147
within_genus_species,Enterobacter,75,clean,k-mer,k=4,4,,False,False,80,5,0.125,0.11717171717171718,255,255
within_genus_species,Enterobacter,75,clean,k-mer,k=5,5,,False,False,80,5,0.16666666666666666,0.11648351648351647,942,942
within_genus_species,Enterobacter,75,clean,k-mer,k=6,6,,False,False,80,5,0.16666666666666666,0.10500000000000001,2267,2267
within_genus_species,Enterobacter,75,clean,k-mer,k=7,7,,False,False,80,5,0.20833333333333334,0.15158730158730158,3277,3277
within_genus_species,Enterobacter,75,clean,canonical k-mer,k=4,4,,True,False,80,5,0.125,0.11333333333333333,135,135
within_genus_species,Enterobacter,75,clean,canonical k-mer,k=5,5,,True,False,80,5,0.20833333333333334,0.16307692307692306,500,500
within_genus_species,Enterobacter,75,clean,canonical k-mer,k=6,6,,True,False,80,5,0.16666666666666666,0.10333333333333332,1580,1580
within_genus_species,Enterobacter,75,clean,canonical k-mer,k=7,7,,True,False,80,5,0.20833333333333334,0.12469635627530365,2835,2835
within_genus_species,Enterobacter,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,5,0.125,0.11333333333333333,135,135
within_genus_species,Enterobacter,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,5,0.125,0.11333333333333333,146,146
within_genus_species,Enterobacter,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,5,0.3333333333333333,0.27423687423687426,136,136
within_genus_species,Enterobacter,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,5,0.3333333333333333,0.2699418228829994,147,147
within_genus_species,Enterobacter,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,5,0.25,0.2275946275946276,136,136
within_genus_species,Enterobacter,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,5,0.20833333333333334,0.19897435897435897,147,147
target_background,Enterobacter,75,clean,k-mer,k=4,4,,False,False,80,2,0.7083333333333334,0.4146341463414634,255,255
target_background,Enterobacter,75,clean,k-mer,k=5,5,,False,False,80,2,0.8333333333333334,0.45454545454545453,944,944
target_background,Enterobacter,75,clean,k-mer,k=6,6,,False,False,80,2,0.8333333333333334,0.45454545454545453,2273,2273
target_background,Enterobacter,75,clean,k-mer,k=7,7,,False,False,80,2,0.8333333333333334,0.45454545454545453,3263,3263
target_background,Enterobacter,75,clean,canonical k-mer,k=4,4,,True,False,80,2,0.8333333333333334,0.6190476190476191,135,135
target_background,Enterobacter,75,clean,canonical k-mer,k=5,5,,True,False,80,2,0.8333333333333334,0.45454545454545453,505,505
target_background,Enterobacter,75,clean,canonical k-mer,k=6,6,,True,False,80,2,0.8333333333333334,0.45454545454545453,1582,1582
target_background,Enterobacter,75,clean,canonical k-mer,k=7,7,,True,False,80,2,0.8333333333333334,0.45454545454545453,2805,2805
target_background,Enterobacter,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,2,0.8333333333333334,0.6190476190476191,135,135
target_background,Enterobacter,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,2,0.7916666666666666,0.5818815331010453,146,146
target_background,Enterobacter,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,2,0.7916666666666666,0.5818815331010453,136,136
target_background,Enterobacter,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,2,0.7916666666666666,0.5818815331010453,147,147
target_background,Enterobacter,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,2,0.625,0.38461538461538464,136,136
target_background,Enterobacter,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,2,0.6666666666666666,0.49473684210526314,147,147
within_genus_species,Escherichia,75,clean,k-mer,k=4,4,,False,False,80,2,0.5416666666666666,0.5408695652173914,255,255
within_genus_species,Escherichia,75,clean,k-mer,k=5,5,,False,False,80,2,0.625,0.6243478260869566,962,962
within_genus_species,Escherichia,75,clean,k-mer,k=6,6,,False,False,80,2,0.7916666666666666,0.791304347826087,2303,2303
within_genus_species,Escherichia,75,clean,k-mer,k=7,7,,False,False,80,2,0.7916666666666666,0.791304347826087,3267,3267
within_genus_species,Escherichia,75,clean,canonical k-mer,k=4,4,,True,False,80,2,0.4583333333333333,0.45739130434782604,135,135
within_genus_species,Escherichia,75,clean,canonical k-mer,k=5,5,,True,False,80,2,0.4583333333333333,0.4497354497354497,505,505
within_genus_species,Escherichia,75,clean,canonical k-mer,k=6,6,,True,False,80,2,0.5833333333333334,0.5714285714285714,1574,1574
within_genus_species,Escherichia,75,clean,canonical k-mer,k=7,7,,True,False,80,2,0.6666666666666666,0.6571428571428571,2826,2826
within_genus_species,Escherichia,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,2,0.4583333333333333,0.45739130434782604,135,135
within_genus_species,Escherichia,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,2,0.5,0.49650349650349646,146,146
within_genus_species,Escherichia,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,2,0.3333333333333333,0.3142857142857143,136,136
within_genus_species,Escherichia,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,2,0.3333333333333333,0.3142857142857143,147,147
within_genus_species,Escherichia,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,2,0.625,0.6190476190476191,136,136
within_genus_species,Escherichia,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,2,0.625,0.6190476190476191,147,147
target_background,Escherichia,75,clean,k-mer,k=4,4,,False,False,80,2,0.5416666666666666,0.5408695652173914,255,255
target_background,Escherichia,75,clean,k-mer,k=5,5,,False,False,80,2,0.625,0.6243478260869566,962,962
target_background,Escherichia,75,clean,k-mer,k=6,6,,False,False,80,2,0.7916666666666666,0.791304347826087,2303,2303
target_background,Escherichia,75,clean,k-mer,k=7,7,,False,False,80,2,0.7916666666666666,0.791304347826087,3267,3267
target_background,Escherichia,75,clean,canonical k-mer,k=4,4,,True,False,80,2,0.4583333333333333,0.45739130434782604,135,135
target_background,Escherichia,75,clean,canonical k-mer,k=5,5,,True,False,80,2,0.4583333333333333,0.4497354497354497,505,505
target_background,Escherichia,75,clean,canonical k-mer,k=6,6,,True,False,80,2,0.5833333333333334,0.5714285714285714,1574,1574
target_background,Escherichia,75,clean,canonical k-mer,k=7,7,,True,False,80,2,0.6666666666666666,0.6571428571428571,2826,2826
target_background,Escherichia,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,2,0.4583333333333333,0.45739130434782604,135,135
target_background,Escherichia,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,2,0.5,0.49650349650349646,146,146
target_background,Escherichia,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,2,0.3333333333333333,0.3142857142857143,136,136
target_background,Escherichia,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,2,0.3333333333333333,0.3142857142857143,147,147
target_background,Escherichia,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,2,0.625,0.6190476190476191,136,136
target_background,Escherichia,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,2,0.625,0.6190476190476191,147,147
within_genus_species,Klebsiella,75,clean,k-mer,k=4,4,,False,False,80,3,0.3333333333333333,0.33134920634920634,255,255
within_genus_species,Klebsiella,75,clean,k-mer,k=5,5,,False,False,80,3,0.375,0.3724053724053724,932,932
within_genus_species,Klebsiella,75,clean,k-mer,k=6,6,,False,False,80,3,0.3333333333333333,0.31206804891015416,2161,2161
within_genus_species,Klebsiella,75,clean,k-mer,k=7,7,,False,False,80,3,0.3333333333333333,0.34385964912280703,3124,3124
within_genus_species,Klebsiella,75,clean,canonical k-mer,k=4,4,,True,False,80,3,0.25,0.2518518518518518,135,135
within_genus_species,Klebsiella,75,clean,canonical k-mer,k=5,5,,True,False,80,3,0.2916666666666667,0.2870915032679739,497,497
within_genus_species,Klebsiella,75,clean,canonical k-mer,k=6,6,,True,False,80,3,0.25,0.21666666666666667,1510,1510
within_genus_species,Klebsiella,75,clean,canonical k-mer,k=7,7,,True,False,80,3,0.2916666666666667,0.2771929824561403,2641,2641
within_genus_species,Klebsiella,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,3,0.25,0.2518518518518518,135,135
within_genus_species,Klebsiella,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,3,0.25,0.24700854700854702,146,146
within_genus_species,Klebsiella,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,3,0.4583333333333333,0.37566137566137564,136,136
within_genus_species,Klebsiella,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,3,0.4166666666666667,0.33868092691622104,147,147
within_genus_species,Klebsiella,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,3,0.3333333333333333,0.3166329284750337,136,136
within_genus_species,Klebsiella,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,3,0.3333333333333333,0.3221288515406162,147,147
target_background,Klebsiella,75,clean,k-mer,k=4,4,,False,False,80,2,0.4166666666666667,0.37777777777777777,255,255
target_background,Klebsiella,75,clean,k-mer,k=5,5,,False,False,80,2,0.5833333333333334,0.53125,937,937
target_background,Klebsiella,75,clean,k-mer,k=6,6,,False,False,80,2,0.6666666666666666,0.5555555555555556,2162,2162
target_background,Klebsiella,75,clean,k-mer,k=7,7,,False,False,80,2,0.6666666666666666,0.5555555555555556,3138,3138
target_background,Klebsiella,75,clean,canonical k-mer,k=4,4,,True,False,80,2,0.5,0.49650349650349646,135,135
target_background,Klebsiella,75,clean,canonical k-mer,k=5,5,,True,False,80,2,0.5833333333333334,0.5555555555555556,502,502
target_background,Klebsiella,75,clean,canonical k-mer,k=6,6,,True,False,80,2,0.5833333333333334,0.4957983193277311,1503,1503
target_background,Klebsiella,75,clean,canonical k-mer,k=7,7,,True,False,80,2,0.6666666666666666,0.49473684210526314,2663,2663
target_background,Klebsiella,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,2,0.5,0.49650349650349646,135,135
target_background,Klebsiella,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,2,0.4583333333333333,0.4497354497354497,146,146
target_background,Klebsiella,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,2,0.5416666666666666,0.5343915343915344,136,136
target_background,Klebsiella,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,2,0.5416666666666666,0.5343915343915344,147,147
target_background,Klebsiella,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,2,0.4583333333333333,0.3696969696969697,136,136
target_background,Klebsiella,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,2,0.4166666666666667,0.34375,147,147
within_genus_species,Acinetobacter,150,clean,k-mer,k=4,4,,False,False,80,4,0.16666666666666666,0.14835164835164835,256,256
within_genus_species,Acinetobacter,150,clean,k-mer,k=5,5,,False,False,80,4,0.2916666666666667,0.3011904761904762,1005,1005
within_genus_species,Acinetobacter,150,clean,k-mer,k=6,6,,False,False,80,4,0.25,0.2688348416289593,3051,3051
within_genus_species,Acinetobacter,150,clean,k-mer,k=7,7,,False,False,80,4,0.20833333333333334,0.22245670995670996,5649,5649
within_genus_species,Acinetobacter,150,clean,canonical k-mer,k=4,4,,True,False,80,4,0.20833333333333334,0.1717948717948718,136,136
within_genus_species,Acinetobacter,150,clean,canonical k-mer,k=5,5,,True,False,80,4,0.2916666666666667,0.2912087912087912,511,511
within_genus_species,Acinetobacter,150,clean,canonical k-mer,k=6,6,,True,False,80,4,0.25,0.24877899877899878,1846,1846
